reservoir,policy_type,metric_key,metric_label,runtime_sec,output_size_MB
beltzvilleCombined,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.41,68.92
beltzvilleCombined,RBFReservoirRelease,q20,Best q20 Bias,27.24,68.92
beltzvilleCombined,RBFReservoirRelease,q80,Best q80 Bias,27.23,68.92
beltzvilleCombined,RBFReservoirRelease,composite,Best Overall,27.34,68.92
prompton,STARFITReservoirRelease,Release_NSE,Best Release NSE,26.82,68.92
prompton,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,26.86,68.92
prompton,STARFITReservoirRelease,q20,Best q20 Bias,26.82,68.92
prompton,STARFITReservoirRelease,q80,Best q80 Bias,26.76,68.92
prompton,STARFITReservoirRelease,composite,Best Overall,26.78,68.92
prompton,PWLReservoirRelease,Release_NSE,Best Release NSE,26.85,68.92
prompton,PWLReservoirRelease,Storage_NSE,Best Storage NSE,26.97,68.92
prompton,PWLReservoirRelease,q20,Best q20 Bias,26.91,68.92
prompton,PWLReservoirRelease,q80,Best q80 Bias,26.78,68.92
prompton,PWLReservoirRelease,composite,Best Overall,26.78,68.92
prompton,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.14,68.92
prompton,RBFReservoirRelease,q20,Best q20 Bias,27.21,68.92
prompton,RBFReservoirRelease,q80,Best q80 Bias,27.09,68.92
prompton,RBFReservoirRelease,composite,Best Overall,27.09,68.92
fewalter,STARFITReservoirRelease,Release_NSE,Best Release NSE,26.48,68.92
fewalter,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,26.46,68.92
fewalter,STARFITReservoirRelease,q20,Best q20 Bias,26.51,68.92
fewalter,STARFITReservoirRelease,q80,Best q80 Bias,26.59,68.92
fewalter,STARFITReservoirRelease,composite,Best Overall,26.45,68.92
fewalter,PWLReservoirRelease,Release_NSE,Best Release NSE,26.64,68.92
fewalter,PWLReservoirRelease,q20,Best q20 Bias,26.73,68.92
fewalter,PWLReservoirRelease,q80,Best q80 Bias,30.01,68.92
fewalter,PWLReservoirRelease,composite,Best Overall,29.98,68.92
fewalter,RBFReservoirRelease,Release_NSE,Best Release NSE,30.38,68.92
fewalter,RBFReservoirRelease,Storage_NSE,Best Storage NSE,30.34,68.92
fewalter,RBFReservoirRelease,q20,Best q20 Bias,27.21,68.92
fewalter,RBFReservoirRelease,q80,Best q80 Bias,27.13,68.92
fewalter,RBFReservoirRelease,composite,Best Overall,27.17,68.92
beltzvilleCombined,STARFITReservoirRelease,Release_NSE,Best Release NSE,27.78,68.92
beltzvilleCombined,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,27.80,68.92
beltzvilleCombined,STARFITReservoirRelease,q20,Best q20 Bias,27.94,68.92
beltzvilleCombined,STARFITReservoirRelease,q80,Best q80 Bias,27.86,68.92
beltzvilleCombined,STARFITReservoirRelease,composite,Best Overall,27.37,68.92
beltzvilleCombined,PWLReservoirRelease,Release_NSE,Best Release NSE,27.70,68.92
beltzvilleCombined,PWLReservoirRelease,Storage_NSE,Best Storage NSE,27.25,68.92
beltzvilleCombined,PWLReservoirRelease,q20,Best q20 Bias,27.01,68.92
beltzvilleCombined,PWLReservoirRelease,q80,Best q80 Bias,26.69,68.92
beltzvilleCombined,PWLReservoirRelease,composite,Best Overall,26.67,68.92
beltzvilleCombined,RBFReservoirRelease,Release_NSE,Best Release NSE,27.01,68.92
beltzvilleCombined,RBFReservoirRelease,Storage_NSE,Best Storage NSE,26.99,68.92
beltzvilleCombined,RBFReservoirRelease,q20,Best q20 Bias,27.04,68.92
beltzvilleCombined,RBFReservoirRelease,q80,Best q80 Bias,26.98,68.92
beltzvilleCombined,RBFReservoirRelease,composite,Best Overall,27.11,68.92
prompton,STARFITReservoirRelease,Release_NSE,Best Release NSE,26.51,68.92
prompton,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,26.57,68.92
prompton,STARFITReservoirRelease,q20,Best q20 Bias,26.54,68.92
prompton,STARFITReservoirRelease,q80,Best q80 Bias,26.61,68.92
prompton,STARFITReservoirRelease,composite,Best Overall,26.62,68.92
prompton,PWLReservoirRelease,Release_NSE,Best Release NSE,26.62,68.92
prompton,PWLReservoirRelease,Storage_NSE,Best Storage NSE,26.77,68.92
prompton,PWLReservoirRelease,q20,Best q20 Bias,26.68,68.92
prompton,PWLReservoirRelease,q80,Best q80 Bias,26.57,68.92
prompton,PWLReservoirRelease,composite,Best Overall,26.71,68.92
prompton,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.20,68.92
prompton,RBFReservoirRelease,q20,Best q20 Bias,27.09,68.92
prompton,RBFReservoirRelease,q80,Best q80 Bias,27.10,68.92
prompton,RBFReservoirRelease,composite,Best Overall,27.08,68.92
fewalter,STARFITReservoirRelease,Release_NSE,Best Release NSE,26.73,68.92
fewalter,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,27.03,68.92
fewalter,STARFITReservoirRelease,q20,Best q20 Bias,27.06,68.92
fewalter,STARFITReservoirRelease,q80,Best q80 Bias,27.07,68.92
fewalter,STARFITReservoirRelease,composite,Best Overall,26.86,68.92
fewalter,PWLReservoirRelease,Release_NSE,Best Release NSE,27.06,68.92
fewalter,PWLReservoirRelease,q20,Best q20 Bias,26.85,68.92
fewalter,PWLReservoirRelease,q80,Best q80 Bias,27.03,68.92
fewalter,PWLReservoirRelease,composite,Best Overall,26.99,68.92
fewalter,RBFReservoirRelease,Release_NSE,Best Release NSE,27.54,68.92
fewalter,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.17,68.92
fewalter,RBFReservoirRelease,q20,Best q20 Bias,27.15,68.92
fewalter,RBFReservoirRelease,q80,Best q80 Bias,27.26,68.92
fewalter,RBFReservoirRelease,composite,Best Overall,27.16,68.92
beltzvilleCombined,STARFITReservoirRelease,Release_NSE,Best Release NSE,27.81,68.92
beltzvilleCombined,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,27.71,68.92
beltzvilleCombined,STARFITReservoirRelease,q20,Best q20 Bias,27.92,68.92
beltzvilleCombined,STARFITReservoirRelease,q80,Best q80 Bias,27.74,68.92
beltzvilleCombined,STARFITReservoirRelease,composite,Best Overall,27.35,68.92
beltzvilleCombined,PWLReservoirRelease,Release_NSE,Best Release NSE,29.48,68.92
beltzvilleCombined,PWLReservoirRelease,Storage_NSE,Best Storage NSE,27.73,68.92
beltzvilleCombined,PWLReservoirRelease,q20,Best q20 Bias,27.60,68.92
beltzvilleCombined,PWLReservoirRelease,q80,Best q80 Bias,27.47,68.92
beltzvilleCombined,PWLReservoirRelease,composite,Best Overall,27.11,68.92
beltzvilleCombined,RBFReservoirRelease,Release_NSE,Best Release NSE,27.38,68.92
beltzvilleCombined,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.48,68.92
beltzvilleCombined,RBFReservoirRelease,q20,Best q20 Bias,27.41,68.92
beltzvilleCombined,RBFReservoirRelease,q80,Best q80 Bias,27.42,68.92
beltzvilleCombined,RBFReservoirRelease,composite,Best Overall,27.38,68.92
prompton,STARFITReservoirRelease,Release_NSE,Best Release NSE,27.32,68.92
prompton,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,26.98,68.92
prompton,STARFITReservoirRelease,q20,Best q20 Bias,26.81,68.92
prompton,STARFITReservoirRelease,q80,Best q80 Bias,26.81,68.92
prompton,STARFITReservoirRelease,composite,Best Overall,26.86,68.92
prompton,PWLReservoirRelease,Release_NSE,Best Release NSE,26.99,68.92
prompton,PWLReservoirRelease,Storage_NSE,Best Storage NSE,27.05,68.92
prompton,PWLReservoirRelease,q20,Best q20 Bias,26.96,68.92
prompton,PWLReservoirRelease,q80,Best q80 Bias,26.74,68.92
prompton,PWLReservoirRelease,composite,Best Overall,26.91,68.92
prompton,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.41,68.92
prompton,RBFReservoirRelease,q20,Best q20 Bias,27.25,68.92
prompton,RBFReservoirRelease,q80,Best q80 Bias,27.26,68.92
prompton,RBFReservoirRelease,composite,Best Overall,27.16,68.92
fewalter,STARFITReservoirRelease,Release_NSE,Best Release NSE,26.73,68.92
fewalter,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,26.72,68.92
fewalter,STARFITReservoirRelease,q20,Best q20 Bias,26.88,68.92
fewalter,STARFITReservoirRelease,q80,Best q80 Bias,27.43,68.92
fewalter,STARFITReservoirRelease,composite,Best Overall,26.72,68.92
fewalter,PWLReservoirRelease,Release_NSE,Best Release NSE,26.90,68.92
fewalter,PWLReservoirRelease,q20,Best q20 Bias,26.92,68.92
fewalter,PWLReservoirRelease,q80,Best q80 Bias,26.96,68.92
fewalter,PWLReservoirRelease,composite,Best Overall,26.96,68.92
fewalter,RBFReservoirRelease,Release_NSE,Best Release NSE,27.41,68.92
fewalter,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.27,68.92
fewalter,RBFReservoirRelease,q20,Best q20 Bias,27.18,68.92
fewalter,RBFReservoirRelease,q80,Best q80 Bias,27.23,68.92
fewalter,RBFReservoirRelease,composite,Best Overall,27.19,68.92
beltzvilleCombined,STARFITReservoirRelease,Release_NSE,Best Release NSE,31.30,68.92
beltzvilleCombined,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,28.01,68.92
beltzvilleCombined,STARFITReservoirRelease,q20,Best q20 Bias,27.61,68.92
beltzvilleCombined,STARFITReservoirRelease,q80,Best q80 Bias,27.73,68.92
beltzvilleCombined,STARFITReservoirRelease,composite,Best Overall,27.32,68.92
beltzvilleCombined,PWLReservoirRelease,Release_NSE,Best Release NSE,27.54,68.92
beltzvilleCombined,PWLReservoirRelease,Storage_NSE,Best Storage NSE,27.11,68.92
beltzvilleCombined,PWLReservoirRelease,q20,Best q20 Bias,26.97,68.92
beltzvilleCombined,PWLReservoirRelease,q80,Best q80 Bias,27.18,68.92
beltzvilleCombined,PWLReservoirRelease,composite,Best Overall,26.93,68.92
beltzvilleCombined,RBFReservoirRelease,Release_NSE,Best Release NSE,27.40,68.92
beltzvilleCombined,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.36,68.92
beltzvilleCombined,RBFReservoirRelease,q20,Best q20 Bias,27.31,68.92
beltzvilleCombined,RBFReservoirRelease,q80,Best q80 Bias,27.29,68.92
beltzvilleCombined,RBFReservoirRelease,composite,Best Overall,27.27,68.92
prompton,STARFITReservoirRelease,Release_NSE,Best Release NSE,26.89,68.92
prompton,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,26.88,68.92
prompton,STARFITReservoirRelease,q20,Best q20 Bias,26.82,68.92
prompton,STARFITReservoirRelease,q80,Best q80 Bias,26.87,68.92
prompton,STARFITReservoirRelease,composite,Best Overall,26.97,68.92
prompton,PWLReservoirRelease,Release_NSE,Best Release NSE,26.98,68.92
prompton,PWLReservoirRelease,Storage_NSE,Best Storage NSE,27.11,68.92
prompton,PWLReservoirRelease,q20,Best q20 Bias,27.07,68.92
prompton,PWLReservoirRelease,q80,Best q80 Bias,26.95,68.92
prompton,PWLReservoirRelease,composite,Best Overall,27.02,68.92
prompton,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.35,68.92
prompton,RBFReservoirRelease,q20,Best q20 Bias,27.30,68.92
prompton,RBFReservoirRelease,q80,Best q80 Bias,27.25,68.92
prompton,RBFReservoirRelease,composite,Best Overall,27.01,68.92
fewalter,STARFITReservoirRelease,Release_NSE,Best Release NSE,26.50,68.92
fewalter,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,26.53,68.92
fewalter,STARFITReservoirRelease,q20,Best q20 Bias,26.53,68.92
fewalter,STARFITReservoirRelease,q80,Best q80 Bias,26.61,68.92
fewalter,STARFITReservoirRelease,composite,Best Overall,26.54,68.92
fewalter,PWLReservoirRelease,Release_NSE,Best Release NSE,26.77,68.92
fewalter,PWLReservoirRelease,q20,Best q20 Bias,26.73,68.92
fewalter,PWLReservoirRelease,q80,Best q80 Bias,26.64,68.92
fewalter,PWLReservoirRelease,composite,Best Overall,27.14,68.92
fewalter,RBFReservoirRelease,Release_NSE,Best Release NSE,27.47,68.92
fewalter,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.49,68.92
fewalter,RBFReservoirRelease,q20,Best q20 Bias,27.55,68.92
fewalter,RBFReservoirRelease,q80,Best q80 Bias,27.55,68.92
fewalter,RBFReservoirRelease,composite,Best Overall,27.38,68.92
beltzvilleCombined,STARFITReservoirRelease,Release_NSE,Best Release NSE,27.61,68.92
beltzvilleCombined,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,27.64,68.92
beltzvilleCombined,STARFITReservoirRelease,q20,Best q20 Bias,27.77,68.92
beltzvilleCombined,STARFITReservoirRelease,q80,Best q80 Bias,27.81,68.92
beltzvilleCombined,STARFITReservoirRelease,composite,Best Overall,27.67,68.92
beltzvilleCombined,PWLReservoirRelease,Release_NSE,Best Release NSE,27.58,68.92
beltzvilleCombined,PWLReservoirRelease,Storage_NSE,Best Storage NSE,27.24,68.92
beltzvilleCombined,PWLReservoirRelease,q20,Best q20 Bias,27.63,68.92
beltzvilleCombined,PWLReservoirRelease,q80,Best q80 Bias,27.15,68.92
beltzvilleCombined,PWLReservoirRelease,composite,Best Overall,27.01,68.92
beltzvilleCombined,RBFReservoirRelease,Release_NSE,Best Release NSE,26.99,68.92
beltzvilleCombined,RBFReservoirRelease,Storage_NSE,Best Storage NSE,26.90,68.92
beltzvilleCombined,RBFReservoirRelease,q20,Best q20 Bias,26.88,68.92
beltzvilleCombined,RBFReservoirRelease,q80,Best q80 Bias,26.89,68.92
beltzvilleCombined,RBFReservoirRelease,composite,Best Overall,26.94,68.92
prompton,STARFITReservoirRelease,Release_NSE,Best Release NSE,26.51,68.92
prompton,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,26.50,68.92
prompton,STARFITReservoirRelease,q20,Best q20 Bias,27.05,68.92
prompton,STARFITReservoirRelease,q80,Best q80 Bias,26.94,68.92
prompton,STARFITReservoirRelease,composite,Best Overall,27.04,68.92
prompton,PWLReservoirRelease,Release_NSE,Best Release NSE,27.03,68.92
prompton,PWLReservoirRelease,Storage_NSE,Best Storage NSE,27.09,68.92
prompton,PWLReservoirRelease,q20,Best q20 Bias,27.02,68.92
prompton,PWLReservoirRelease,q80,Best q80 Bias,27.05,68.92
prompton,PWLReservoirRelease,composite,Best Overall,27.07,68.92
prompton,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.15,68.92
prompton,RBFReservoirRelease,q20,Best q20 Bias,27.17,68.92
prompton,RBFReservoirRelease,q80,Best q80 Bias,27.22,68.92
prompton,RBFReservoirRelease,composite,Best Overall,27.27,68.92
fewalter,STARFITReservoirRelease,Release_NSE,Best Release NSE,26.71,68.92
fewalter,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,26.75,68.92
fewalter,STARFITReservoirRelease,q20,Best q20 Bias,26.75,68.92
fewalter,STARFITReservoirRelease,q80,Best q80 Bias,26.92,68.92
fewalter,STARFITReservoirRelease,composite,Best Overall,26.79,68.92
fewalter,PWLReservoirRelease,Release_NSE,Best Release NSE,26.73,68.92
fewalter,PWLReservoirRelease,q20,Best q20 Bias,26.67,68.92
fewalter,PWLReservoirRelease,q80,Best q80 Bias,26.72,68.92
fewalter,PWLReservoirRelease,composite,Best Overall,26.82,68.92
fewalter,RBFReservoirRelease,Release_NSE,Best Release NSE,27.14,68.92
fewalter,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.13,68.92
fewalter,RBFReservoirRelease,q20,Best q20 Bias,27.08,68.92
fewalter,RBFReservoirRelease,q80,Best q80 Bias,27.02,68.92
fewalter,RBFReservoirRelease,composite,Best Overall,27.03,68.92
beltzvilleCombined,STARFITReservoirRelease,Release_NSE,Best Release NSE,28.56,68.92
beltzvilleCombined,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,28.36,68.92
beltzvilleCombined,STARFITReservoirRelease,q20,Best q20 Bias,28.20,68.92
beltzvilleCombined,STARFITReservoirRelease,q80,Best q80 Bias,28.23,68.92
beltzvilleCombined,STARFITReservoirRelease,composite,Best Overall,28.01,68.92
beltzvilleCombined,PWLReservoirRelease,Release_NSE,Best Release NSE,28.25,68.92
beltzvilleCombined,PWLReservoirRelease,Storage_NSE,Best Storage NSE,27.85,68.92
beltzvilleCombined,PWLReservoirRelease,q20,Best q20 Bias,27.87,68.92
beltzvilleCombined,PWLReservoirRelease,q80,Best q80 Bias,27.83,68.92
beltzvilleCombined,PWLReservoirRelease,composite,Best Overall,27.35,68.92
beltzvilleCombined,RBFReservoirRelease,Release_NSE,Best Release NSE,27.66,68.92
beltzvilleCombined,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.64,68.92
beltzvilleCombined,RBFReservoirRelease,q20,Best q20 Bias,27.58,68.92
beltzvilleCombined,RBFReservoirRelease,q80,Best q80 Bias,27.64,68.92
beltzvilleCombined,RBFReservoirRelease,composite,Best Overall,27.65,68.92
prompton,STARFITReservoirRelease,Release_NSE,Best Release NSE,27.18,68.92
prompton,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,27.11,68.92
prompton,STARFITReservoirRelease,q20,Best q20 Bias,27.18,68.92
prompton,STARFITReservoirRelease,q80,Best q80 Bias,27.19,68.92
prompton,STARFITReservoirRelease,composite,Best Overall,27.26,68.92
prompton,PWLReservoirRelease,Release_NSE,Best Release NSE,27.69,68.92
prompton,PWLReservoirRelease,Storage_NSE,Best Storage NSE,27.55,68.92
prompton,PWLReservoirRelease,q20,Best q20 Bias,27.41,68.92
prompton,PWLReservoirRelease,q80,Best q80 Bias,27.47,68.92
prompton,PWLReservoirRelease,composite,Best Overall,27.51,68.92
prompton,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.85,68.92
prompton,RBFReservoirRelease,q20,Best q20 Bias,27.96,68.92
prompton,RBFReservoirRelease,q80,Best q80 Bias,27.90,68.92
prompton,RBFReservoirRelease,composite,Best Overall,28.00,68.92
fewalter,STARFITReservoirRelease,Release_NSE,Best Release NSE,27.28,68.92
fewalter,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,27.31,68.92
fewalter,STARFITReservoirRelease,q20,Best q20 Bias,27.26,68.92
fewalter,STARFITReservoirRelease,q80,Best q80 Bias,27.37,68.92
fewalter,STARFITReservoirRelease,composite,Best Overall,27.48,68.92
fewalter,PWLReservoirRelease,Release_NSE,Best Release NSE,27.59,68.92
fewalter,PWLReservoirRelease,q20,Best q20 Bias,27.58,68.92
fewalter,PWLReservoirRelease,q80,Best q80 Bias,27.44,68.92
fewalter,PWLReservoirRelease,composite,Best Overall,27.53,68.92
fewalter,RBFReservoirRelease,Release_NSE,Best Release NSE,27.74,68.92
fewalter,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.51,68.92
fewalter,RBFReservoirRelease,q20,Best q20 Bias,27.52,68.92
fewalter,RBFReservoirRelease,q80,Best q80 Bias,27.52,68.92
fewalter,RBFReservoirRelease,composite,Best Overall,27.47,68.92
beltzvilleCombined,STARFITReservoirRelease,Release_NSE,Best Release NSE,28.03,68.92
beltzvilleCombined,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,27.96,68.92
beltzvilleCombined,STARFITReservoirRelease,q20,Best q20 Bias,27.69,68.92
beltzvilleCombined,STARFITReservoirRelease,q80,Best q80 Bias,27.75,68.92
beltzvilleCombined,STARFITReservoirRelease,composite,Best Overall,27.50,68.92
beltzvilleCombined,PWLReservoirRelease,Release_NSE,Best Release NSE,27.60,68.92
beltzvilleCombined,PWLReservoirRelease,Storage_NSE,Best Storage NSE,27.31,68.92
beltzvilleCombined,PWLReservoirRelease,q20,Best q20 Bias,27.14,68.92
beltzvilleCombined,PWLReservoirRelease,q80,Best q80 Bias,27.16,68.92
beltzvilleCombined,PWLReservoirRelease,composite,Best Overall,27.15,68.92
beltzvilleCombined,RBFReservoirRelease,Release_NSE,Best Release NSE,27.53,68.92
beltzvilleCombined,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.65,68.92
beltzvilleCombined,RBFReservoirRelease,q20,Best q20 Bias,27.58,68.92
beltzvilleCombined,RBFReservoirRelease,q80,Best q80 Bias,27.51,68.92
beltzvilleCombined,RBFReservoirRelease,composite,Best Overall,27.50,68.92
prompton,STARFITReservoirRelease,Release_NSE,Best Release NSE,27.05,68.92
prompton,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,26.90,68.92
prompton,STARFITReservoirRelease,q20,Best q20 Bias,27.11,68.92
prompton,STARFITReservoirRelease,q80,Best q80 Bias,26.87,68.92
prompton,STARFITReservoirRelease,composite,Best Overall,26.93,68.92
prompton,PWLReservoirRelease,Release_NSE,Best Release NSE,26.91,68.92
prompton,PWLReservoirRelease,Storage_NSE,Best Storage NSE,27.07,68.92
prompton,PWLReservoirRelease,q20,Best q20 Bias,26.96,68.92
prompton,PWLReservoirRelease,q80,Best q80 Bias,30.25,68.92
prompton,PWLReservoirRelease,composite,Best Overall,30.48,68.92
prompton,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.48,68.92
prompton,RBFReservoirRelease,q20,Best q20 Bias,27.57,68.92
prompton,RBFReservoirRelease,q80,Best q80 Bias,27.57,68.92
prompton,RBFReservoirRelease,composite,Best Overall,27.48,68.92
fewalter,STARFITReservoirRelease,Release_NSE,Best Release NSE,26.96,68.92
fewalter,STARFITReservoirRelease,Storage_NSE,Best Storage NSE,27.03,68.92
fewalter,STARFITReservoirRelease,q20,Best q20 Bias,27.01,68.92
fewalter,STARFITReservoirRelease,q80,Best q80 Bias,27.05,68.92
fewalter,STARFITReservoirRelease,composite,Best Overall,26.90,68.92
fewalter,PWLReservoirRelease,Release_NSE,Best Release NSE,27.14,68.92
fewalter,PWLReservoirRelease,q20,Best q20 Bias,27.07,68.92
fewalter,PWLReservoirRelease,q80,Best q80 Bias,27.15,68.92
fewalter,PWLReservoirRelease,composite,Best Overall,27.19,68.92
fewalter,RBFReservoirRelease,Release_NSE,Best Release NSE,27.40,68.92
fewalter,RBFReservoirRelease,Storage_NSE,Best Storage NSE,27.65,68.92
fewalter,RBFReservoirRelease,q20,Best q20 Bias,27.50,68.92
fewalter,RBFReservoirRelease,q80,Best q80 Bias,27.61,68.92
fewalter,RBFReservoirRelease,composite,Best Overall,27.41,68.92
