# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-07-12 15:03:25 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01449790 Beltzville Lake near Parryville, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01449790
#            TS   parameter     statistic     Description
#        307657       00062     00003     Elevation of reservoir water surface above datum, feet (Mean)
#        307980       00062     00002     Elevation of reservoir water surface above datum, feet (Minimum)
#        307981       00062     00001     Elevation of reservoir water surface above datum, feet (Maximum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	307657_00062_00003	307657_00062_00003_cd	307980_00062_00002	307980_00062_00002_cd	307981_00062_00001	307981_00062_00001_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	01449790	2009-10-14	628.02	A	628.00	A	628.05	A
USGS	01449790	2009-10-15	627.99	A	627.97	A	628.00	A
USGS	01449790	2009-10-16	628.01	A	628.00	A	628.01	A
USGS	01449790	2009-10-17	628.01	A	628.00	A	628.03	A
USGS	01449790	2009-10-18	628.00	A	627.99	A	628.02	A
USGS	01449790	2009-10-19	627.99	A	627.98	A	627.99	A
USGS	01449790	2009-10-20	628.00	A	627.99	A	628.01	A
USGS	01449790	2009-10-21	628.01	A	628.00	A	628.02	A
USGS	01449790	2009-10-22	628.02	A	628.02	A	628.03	A
USGS	01449790	2009-10-23	628.04	A	628.02	A	628.06	A
USGS	01449790	2009-10-24	628.24	A	628.06	A	628.59	A
USGS	01449790	2009-10-25	628.90	A	628.59	A	629.17	A
USGS	01449790	2009-10-26	629.18	A	628.96	A	629.32	A
USGS	01449790	2009-10-27	628.68	A	628.44	A	628.96	A
USGS	01449790	2009-10-28	628.39	A	628.35	A	628.44	A
USGS	01449790	2009-10-29	628.42	A	628.38	A	628.44	A
USGS	01449790	2009-10-30	628.31	A	628.26	A	628.38	A
USGS	01449790	2009-10-31	628.27	A	628.26	A	628.28	A
USGS	01449790	2009-11-01	628.21	A	628.14	A	628.26	A
USGS	01449790	2009-11-02	628.06	A	628.00	A	628.14	A
USGS	01449790	2009-11-03	627.95	A	627.93	A	628.00	A
USGS	01449790	2009-11-04	627.94	A	627.92	A	627.98	A
USGS	01449790	2009-11-05	628.01	A	627.98	A	628.04	A
USGS	01449790	2009-11-06	628.06	A	628.03	A	628.09	A
USGS	01449790	2009-11-07	628.11	A	628.08	A	628.13	A
USGS	01449790	2009-11-08	628.14	A	628.12	A	628.15	A
USGS	01449790	2009-11-09	628.13	A	628.10	A	628.15	A
USGS	01449790	2009-11-10	628.07	A	628.06	A	628.10	A
USGS	01449790	2009-11-11	628.07	A	628.06	A	628.08	A
USGS	01449790	2009-11-12	628.04	A	628.01	A	628.06	A
USGS	01449790	2009-11-13	628.01	A	627.99	A	628.02	A
USGS	01449790	2009-11-14	628.03	A	628.01	A	628.05	A
USGS	01449790	2009-11-15	628.06	A	628.05	A	628.08	A
USGS	01449790	2009-11-16	628.07	A	628.04	A	628.08	A
USGS	01449790	2009-11-17	628.02	A	628.01	A	628.05	A
USGS	01449790	2009-11-18	628.01	A	628.00	A	628.02	A
USGS	01449790	2009-11-19	628.03	A	628.01	A	628.08	A
USGS	01449790	2009-11-20	628.22	A	628.08	A	628.25	A
USGS	01449790	2009-11-21	628.19	A	628.12	A	628.25	A
USGS	01449790	2009-11-22	628.05	A	627.97	A	628.12	A
USGS	01449790	2009-11-23	627.92	A	627.90	A	627.97	A
USGS	01449790	2009-11-24	627.91	A	627.90	A	627.93	A
USGS	01449790	2009-11-25	627.96	A	627.93	A	628.00	A
USGS	01449790	2009-11-26	628.03	A	628.00	A	628.06	A
USGS	01449790	2009-11-27	628.08	A	628.05	A	628.10	A
USGS	01449790	2009-11-28	628.09	A	628.08	A	628.10	A
USGS	01449790	2009-11-29	628.09	A	628.08	A	628.09	A
USGS	01449790	2009-11-30	628.09	A	628.08	A	628.10	A
USGS	01449790	2009-12-01	628.05	A	628.03	A	628.08	A
USGS	01449790	2009-12-02	628.01	A	627.98	A	628.07	A
USGS	01449790	2009-12-03	628.54	A	628.06	A	628.83	A
USGS	01449790	2009-12-04	628.81	A	628.78	A	628.84	A
USGS	01449790	2009-12-05	628.77	A	628.74	A	628.79	A
USGS	01449790	2009-12-06	628.66	A	628.57	A	628.74	A
USGS	01449790	2009-12-07	628.45	A	628.31	A	628.57	A
USGS	01449790	2009-12-08	628.18	A	628.08	A	628.31	A
USGS	01449790	2009-12-09	628.18	A	628.08	A	628.27	A
USGS	01449790	2009-12-10	628.30	A	628.27	A	628.34	A
USGS	01449790	2009-12-11	628.22	A	628.18	A	628.27	A
USGS	01449790	2009-12-12	628.22	A	628.22	A	628.23	A
USGS	01449790	2009-12-13	628.26	A	628.21	A	628.35	A
USGS	01449790	2009-12-14	628.36	A	628.25	A	628.43	A
USGS	01449790	2009-12-15	628.20	A	628.09	A	628.28	A
USGS	01449790	2009-12-16	628.37	A	628.24	A	628.52	A
USGS	01449790	2009-12-17	628.51	A	628.45	A	628.67	A
USGS	01449790	2009-12-18	628.64	A	628.56	A	628.74	A
USGS	01449790	2009-12-19	628.45	A	628.27	A	628.63	A
USGS	01449790	2009-12-20	628.06	A	627.84	A	628.27	A
USGS	01449790	2009-12-21	627.77	A	627.68	A	627.84	A
USGS	01449790	2009-12-22	627.84	A	627.82	A	627.87	A
USGS	01449790	2009-12-23	627.88	A	627.87	A	627.90	A
USGS	01449790	2009-12-24	627.90	A	627.88	A	627.92	A
USGS	01449790	2009-12-25	627.94	A	627.92	A	627.97	A
USGS	01449790	2009-12-26	628.10	A	627.97	A	628.33	A
USGS	01449790	2009-12-27	628.67	A	628.33	A	628.98	A
USGS	01449790	2009-12-28	629.11	A	628.98	A	629.19	A
USGS	01449790	2009-12-29	628.90	A	628.72	A	629.04	A
USGS	01449790	2009-12-30	628.51	A	628.29	A	628.72	A
USGS	01449790	2009-12-31	628.14	A	628.09	A	628.29	A
USGS	01449790	2010-01-01	628.11	A	628.10	A	628.11	A
USGS	01449790	2010-01-02	628.08	A	628.03	A	628.10	A
USGS	01449790	2010-01-03	627.99	A	627.92	A	628.05	A
USGS	01449790	2010-01-04	627.89	A	627.87	A	627.93	A
USGS	01449790	2010-01-05	627.92	A	627.90	A	627.94	A
USGS	01449790	2010-01-06	627.94	A	627.93	A	627.95	A
USGS	01449790	2010-01-07	627.95	A	627.93	A	627.97	A
USGS	01449790	2010-01-08	627.98	A	627.96	A	628.01	A
USGS	01449790	2010-01-09	628.01	A	628.00	A	628.03	A
USGS	01449790	2010-01-10	628.01	A	628.00	A	628.02	A
USGS	01449790	2010-01-11	628.00	A	627.99	A	628.01	A
USGS	01449790	2010-01-12	627.99	A	627.98	A	628.00	A
USGS	01449790	2010-01-13	627.99	A	627.98	A	628.00	A
USGS	01449790	2010-01-14	627.97	A	627.97	A	627.98	A
USGS	01449790	2010-01-15	627.97	A	627.95	A	627.99	A
USGS	01449790	2010-01-16	628.01	A	627.99	A	628.04	A
USGS	01449790	2010-01-17	628.09	A	628.04	A	628.18	A
USGS	01449790	2010-01-18	628.28	A	628.18	A	628.35	A
USGS	01449790	2010-01-19	628.36	A	628.29	A	628.40	A
USGS	01449790	2010-01-20	628.20	A	628.10	A	628.29	A
USGS	01449790	2010-01-21	628.03	A	628.01	A	628.10	A
USGS	01449790	2010-01-22	628.02	A	628.02	A	628.03	A
USGS	01449790	2010-01-23	628.03	A	628.02	A	628.03	A
USGS	01449790	2010-01-24	628.03	A	628.02	A	628.07	A
