# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-07-12 15:04:36 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01470870 Blue Marsh Lake near Bernville, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01470870
#            TS   parameter     statistic     Description
#        307658       00062     00003     Elevation of reservoir water surface above datum, feet (Mean)
#        307982       00062     00001     Elevation of reservoir water surface above datum, feet (Maximum)
#        307983       00062     00002     Elevation of reservoir water surface above datum, feet (Minimum)
#
# Data-value qualification codes included in this output:
#
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	307658_00062_00003	307658_00062_00003_cd	307982_00062_00001	307982_00062_00001_cd	307983_00062_00002	307983_00062_00002_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	01470870	2004-09-30	292.35	A	292.44	A	292.08	A
USGS	01470870	2004-10-01	291.63	A	292.08	A	291.36	A
USGS	01470870	2004-10-02	291.22	A	291.36	A	291.07	A
USGS	01470870	2004-10-03	290.98	A	291.07	A	290.83	A
USGS	01470870	2004-10-04	290.60	A	290.83	A	290.36	A
USGS	01470870	2004-10-05	290.19	A	290.36	A	290.10	A
USGS	01470870	2004-10-06	290.07	A	290.10	A	290.05	A
USGS	01470870	2004-10-07	290.10	A	290.11	A	290.08	A
USGS	01470870	2004-10-08	290.10	A	290.11	A	290.08	A
USGS	01470870	2004-10-09	290.06	A	290.09	A	290.04	A
USGS	01470870	2004-10-10	290.01	A	290.04	A	289.96	A
USGS	01470870	2004-10-11	289.92	A	289.97	A	289.86	A
USGS	01470870	2004-10-12	289.85	A	289.88	A	289.82	A
USGS	01470870	2004-10-13	289.92	A	289.97	A	289.87	A
USGS	01470870	2004-10-14	289.98	A	290.05	A	289.89	A
USGS	01470870	2004-10-15	289.79	A	289.89	A	289.75	A
USGS	01470870	2004-10-16	289.70	A	289.75	A	289.64	A
USGS	01470870	2004-10-17	289.57	A	289.65	A	289.48	A
USGS	01470870	2004-10-18	289.37	A	289.48	A	289.24	A
USGS	01470870	2004-10-19	289.14	A	289.25	A	288.89	A
USGS	01470870	2004-10-20	288.52	A	288.89	A	288.13	A
USGS	01470870	2004-10-21	287.84	A	288.13	A	287.58	A
USGS	01470870	2004-10-22	287.34	A	287.58	A	287.16	A
USGS	01470870	2004-10-23	286.99	A	287.16	A	286.81	A
USGS	01470870	2004-10-24	286.62	A	286.81	A	286.44	A
USGS	01470870	2004-10-25	286.31	A	286.44	A	286.24	A
USGS	01470870	2004-10-26	286.17	A	286.24	A	286.09	A
USGS	01470870	2004-10-27	286.01	A	286.10	A	285.93	A
USGS	01470870	2004-10-28	285.85	A	285.93	A	285.75	A
USGS	01470870	2004-10-29	285.67	A	285.76	A	285.59	A
USGS	01470870	2004-10-30	285.79	A	285.92	A	285.57	A
USGS	01470870	2004-10-31	285.92	A	285.95	A	285.90	A
USGS	01470870	2004-11-01	285.97	A	286.06	A	285.89	A
USGS	01470870	2004-11-02	285.80	A	285.96	A	285.63	A
USGS	01470870	2004-11-03	285.48	A	285.64	A	285.30	A
USGS	01470870	2004-11-04	285.21	A	285.30	A	285.16	A
USGS	01470870	2004-11-05	285.24	A	285.30	A	285.16	A
USGS	01470870	2004-11-06	285.07	A	285.16	A	284.97	A
USGS	01470870	2004-11-07	284.88	A	284.97	A	284.79	A
USGS	01470870	2004-11-08	284.75	A	284.81	A	284.72	A
USGS	01470870	2004-11-09	284.82	A	284.89	A	284.77	A
USGS	01470870	2004-11-10	284.95	A	285.01	A	284.89	A
USGS	01470870	2004-11-11	285.07	A	285.14	A	285.01	A
USGS	01470870	2004-11-12	285.23	A	285.34	A	285.14	A
USGS	01470870	2004-11-13	285.36	A	285.39	A	285.33	A
USGS	01470870	2004-11-14	285.30	A	285.34	A	285.25	A
USGS	01470870	2004-11-15	285.21	A	285.25	A	285.16	A
USGS	01470870	2004-11-16	285.11	A	285.16	A	285.06	A
USGS	01470870	2004-11-17	285.03	A	285.06	A	285.01	A
USGS	01470870	2004-11-18	285.04	A	285.07	A	285.03	A
USGS	01470870	2004-11-19	285.05	A	285.06	A	285.04	A
USGS	01470870	2004-11-20	285.06	A	285.09	A	285.04	A
USGS	01470870	2004-11-21	285.13	A	285.15	A	285.09	A
USGS	01470870	2004-11-22	285.15	A	285.16	A	285.15	A
USGS	01470870	2004-11-23	285.15	A	285.16	A	285.13	A
USGS	01470870	2004-11-24	285.13	A	285.17	A	285.12	A
USGS	01470870	2004-11-25	285.26	A	285.38	A	285.16	A
