Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Lake Nockamixon"
Cubic Meter
"Sources and Destinations","Increase in Storage for Lake Nockamixon","Inflow from Upstream","Outflow to Downstream"
8/12/2001,0,1181082,-1181080
8/13/2001,0,586205,-586205
8/14/2001,0,403112,-403112
8/15/2001,0,322351,-322351
8/16/2001,0,259144,-259144
8/17/2001,0,214742,-214742
8/18/2001,0,167297,-167297
8/19/2001,0,134923,-134923
8/20/2001,0,144285,-144285
8/21/2001,0,109434,-109434
8/22/2001,0,101530,-101530
8/23/2001,0,154301,-154301
8/24/2001,0,98441.4,-98441.4
8/25/2001,0,94547.8,-94547.8
8/26/2001,0,91545.9,-91545.9
8/27/2001,0,113603,-113603
8/28/2001,0,88983.5,-88983.5
8/29/2001,0,86081.9,-86081.9
8/30/2001,0,88591.4,-88591.4
8/31/2001,0,157834,-157834
9/1/2001,0,85033.6,-85033.6
9/2/2001,0,82986,-82986
9/3/2001,0,81167,-81167
9/4/2001,0,115712,-115712
9/5/2001,0,80254.4,-80254.4
9/6/2001,0,78488.4,-78488.4
9/7/2001,0,76784.8,-76784.8
9/8/2001,0,74595.5,-74595.5
9/9/2001,0,72793.8,-72793.8
9/10/2001,0,109557,-109557
9/11/2001,0,72217.1,-72217.1
9/12/2001,0,70494.6,-70494.6
9/13/2001,0,281609,-281609
9/14/2001,0,309746,-309746
9/15/2001,0,114934,-114934
9/16/2001,0,123252,-123252
9/17/2001,0,126395,-126395
9/18/2001,0,121291,-121291
9/19/2001,0,114507,-114507
9/20/2001,0,2764306,-2764310
9/21/2001,0,900414,-900414
9/22/2001,0,629146,-629146
9/23/2001,0,461425,-461425
9/24/2001,0,2011642,-2011640
9/25/2001,0,1261321,-1261320
9/26/2001,0,760591,-760591
9/27/2001,0,544665,-544665
9/28/2001,0,359966,-359966
9/29/2001,0,262474,-262474
9/30/2001,0,263506,-263506
10/1/2001,0,218730,-218730
10/2/2001,0,175536,-175536
10/3/2001,0,154141,-154141
10/4/2001,0,141545,-141545
10/5/2001,0,133297,-133297
10/6/2001,0,185323,-185323
10/7/2001,0,130696,-130696
10/8/2001,0,125278,-125278
10/9/2001,0,120939,-120939
10/10/2001,0,117109,-117109
10/11/2001,0,113582,-113582
10/12/2001,0,110305,-110305
10/13/2001,0,107277,-107277
10/14/2001,0,242587,-242587
10/15/2001,0,115483,-115483
10/16/2001,0,162491,-162491
10/17/2001,0,118008,-118008
10/18/2001,0,116504,-116504
10/19/2001,0,114946,-114946
10/20/2001,0,112999,-112999
10/21/2001,0,110540,-110540
10/22/2001,0,104667,-104667
10/23/2001,0,99818,-99818
10/24/2001,0,95261.3,-95261.3
10/25/2001,0,91540.7,-91540.7
10/26/2001,0,88544.3,-88544.3
10/27/2001,0,86104.9,-86104.9
10/28/2001,0,84022.9,-84022.9
10/29/2001,0,82187.4,-82187.4
10/30/2001,0,80520.8,-80520.8
10/31/2001,0,78957.4,-78957.4
11/1/2001,0,77509.5,-77509.5
11/2/2001,0,76146,-76146
11/3/2001,0,87452.5,-87452.5
11/4/2001,0,86927.3,-86927.3
11/5/2001,0,73652.7,-73652.7
11/6/2001,0,72462.4,-72462.4
11/7/2001,0,71413.6,-71413.6
11/8/2001,0,70389.3,-70389.3
11/9/2001,0,69399.6,-69399.6
11/10/2001,0,68452.7,-68452.7
11/11/2001,0,67478,-67478
11/12/2001,0,66495,-66495
11/13/2001,0,65563.9,-65563.9
11/14/2001,0,64670.3,-64670.3
11/15/2001,0,63809.3,-63809.3
11/16/2001,0,62977.3,-62977.3
11/17/2001,0,62179,-62179
11/18/2001,0,61414.8,-61414.8
11/19/2001,0,60678.9,-60678.9
11/20/2001,0,86687.7,-86687.7
11/21/2001,0,59949.9,-59949.9
11/22/2001,0,59370.7,-59370.7
11/23/2001,0,59385.5,-59385.5
11/24/2001,0,64304.7,-64304.7
11/25/2001,0,340551,-340551
11/26/2001,0,80668,-80668
11/27/2001,0,91716.9,-91716.9
11/28/2001,0,98919.9,-98919.9
11/29/2001,0,145413,-145413
11/30/2001,0,180791,-180791
12/1/2001,0,138022,-138022
12/2/2001,0,138074,-138074
12/3/2001,0,121484,-121484
12/4/2001,0,108933,-108933
12/5/2001,0,98688,-98688
12/6/2001,0,103569,-103569
12/7/2001,0,94578.2,-94578.2
12/8/2001,0,614053,-614053
12/9/2001,0,234502,-234502
12/10/2001,0,217211,-217211
12/11/2001,0,218186,-218186
12/12/2001,0,240727,-240727
12/13/2001,0,296935,-296935
12/14/2001,0,567693,-567693
12/15/2001,0,351943,-351943
12/16/2001,0,276264,-276264
12/17/2001,0,542719,-542719
12/18/2001,0,565137,-565137
12/19/2001,0,361131,-361131
12/20/2001,0,306922,-306922
12/21/2001,0,261108,-261108
12/22/2001,0,217141,-217141
12/23/2001,0,227816,-227816
12/24/2001,0,432912,-432912
12/25/2001,0,265303,-265303
12/26/2001,0,225987,-225987
12/27/2001,0,198970,-198970
12/28/2001,0,180664,-180664
12/29/2001,0,167000,-167000
12/30/2001,0,156177,-156177
12/31/2001,0,146476,-146476
1/1/2002,0,133131,-133131
1/2/2002,0,123047,-123047
1/3/2002,0,115198,-115198
1/4/2002,0,108924,-108924
1/5/2002,0,103725,-103725
1/6/2002,0,580242,-580242
1/7/2002,0,243907,-243907
1/8/2002,0,138808,-138808
1/9/2002,0,145626,-145626
1/10/2002,0,139721,-139721
1/11/2002,0,510155,-510155
1/12/2002,0,236199,-236199
1/13/2002,0,345024,-345024
1/14/2002,0,383748,-383748
1/15/2002,0,293937,-293937
1/16/2002,0,238969,-238969
1/17/2002,0,215561,-215561
1/18/2002,0,193495,-193495
1/19/2002,0,302189,-302189
1/20/2002,0,177750,-177750
1/21/2002,0,244010,-244010
1/22/2002,0,382446,-382446
1/23/2002,0,389945,-389945
1/24/2002,0,662228,-662228
1/25/2002,0,303925,-303925
1/26/2002,0,289242,-289242
1/27/2002,0,265317,-265317
1/28/2002,0,240682,-240682
1/29/2002,0,215472,-215472
1/30/2002,0,437709,-437709
1/31/2002,0,339387,-339387
2/1/2002,0,495898,-495898
2/2/2002,0,213672,-213672
2/3/2002,0,190430,-190430
2/4/2002,0,201419,-201419
2/5/2002,0,171451,-171451
2/6/2002,0,169600,-169600
2/7/2002,0,173093,-173093
2/8/2002,0,163888,-163888
2/9/2002,0,142378,-142378
2/10/2002,0,246217,-246217
2/11/2002,0,152431,-152431
2/12/2002,0,143624,-143624
2/13/2002,0,136354,-136354
2/14/2002,0,129947,-129947
2/15/2002,0,123683,-123683
2/16/2002,0,117521,-117521
2/17/2002,0,111849,-111849
2/18/2002,0,105052,-105052
2/19/2002,0,99682.2,-99682.2
2/20/2002,0,236436,-236436
2/21/2002,0,105097,-105097
2/22/2002,0,100673,-100673
2/23/2002,0,96910.9,-96910.9
2/24/2002,0,93797.4,-93797.4
2/25/2002,0,90988.1,-90988.1
2/26/2002,0,163910,-163910
2/27/2002,0,90774.1,-90774.1
2/28/2002,0,87026.2,-87026.2
3/1/2002,0,84043,-84043
3/2/2002,0,320323,-320323
3/3/2002,0,460162,-460162
3/4/2002,0,197748,-197748
3/5/2002,0,213322,-213322
3/6/2002,0,216192,-216192
3/7/2002,0,209573,-209573
3/8/2002,0,196066,-196066
3/9/2002,0,252048,-252048
3/10/2002,0,206376,-206376
3/11/2002,0,156671,-156671
3/12/2002,0,134355,-134355
3/13/2002,0,318646,-318646
3/14/2002,0,142454,-142454
3/15/2002,0,127882,-127882
3/16/2002,0,123204,-123204
3/17/2002,0,204193,-204193
3/18/2002,0,401265,-401265
3/19/2002,0,227719,-227719
3/20/2002,0,1280847,-1280850
3/21/2002,0,529862,-529862
3/22/2002,0,469030,-469030
3/23/2002,0,412571,-412571
3/24/2002,0,354334,-354334
3/25/2002,0,302665,-302665
3/26/2002,0,701257,-701257
3/27/2002,0,425861,-425861
3/28/2002,0,294563,-294563
3/29/2002,0,229450,-229450
3/30/2002,0,189336,-189336
3/31/2002,0,317602,-317602
4/1/2002,0,204312,-204312
4/2/2002,0,175725,-175725
4/3/2002,0,281439,-281439
4/4/2002,0,171036,-171036
4/5/2002,0,156127,-156127
4/6/2002,0,145355,-145355
4/7/2002,0,136929,-136929
4/8/2002,0,126604,-126604
4/9/2002,0,197761,-197761
4/10/2002,0,132978,-132978
4/11/2002,0,118675,-118675
4/12/2002,0,130482,-130482
4/13/2002,0,166454,-166454
4/14/2002,0,395176,-395176
4/15/2002,0,197121,-197121
4/16/2002,0,160547,-160547
4/17/2002,0,144267,-144267
4/18/2002,0,220644,-220644
4/19/2002,0,216426,-216426
4/20/2002,0,157079,-157079
4/21/2002,0,161997,-161997
4/22/2002,0,297486,-297486
4/23/2002,0,157607,-157607
4/24/2002,0,142972,-142972
4/25/2002,0,351780,-351780
4/26/2002,0,180715,-180715
4/27/2002,0,363780,-363780
4/28/2002,0,1714487,-1714490
4/29/2002,0,629603,-629603
4/30/2002,0,800864,-800864
5/1/2002,0,524340,-524340
5/2/2002,0,1060528,-1060530
5/3/2002,0,568197,-568197
5/4/2002,0,419492,-419492
5/5/2002,0,316267,-316267
5/6/2002,0,227519,-227519
5/7/2002,0,182269,-182269
5/8/2002,0,154591,-154591
5/9/2002,0,442661,-442661
5/10/2002,0,194293,-194293
5/11/2002,0,170104,-170104
5/12/2002,0,417988,-417988
5/13/2002,0,3290447,-3290450
5/14/2002,0,985960,-985960
5/15/2002,0,836211,-836211
5/16/2002,0,664383,-664383
5/17/2002,0,741003,-741003
5/18/2002,0,2093574,-2093570
5/19/2002,0,1046630,-1046630
5/20/2002,0,687756,-687756
5/21/2002,0,429964,-429964
5/22/2002,0,322559,-322559
5/23/2002,0,267715,-267715
5/24/2002,0,234727,-234727
5/25/2002,0,210538,-210538
5/26/2002,0,200401,-200401
5/27/2002,0,177967,-177967
5/28/2002,0,282211,-282211
5/29/2002,0,174807,-174807
5/30/2002,0,168679,-168679
5/31/2002,0,234712,-234712
6/1/2002,0,160287,-160287
6/2/2002,0,153137,-153137
6/3/2002,0,146730,-146730
6/4/2002,0,141141,-141141
6/5/2002,0,185883,-185883
6/6/2002,0,1673727,-1673730
6/7/2002,0,410243,-410243
6/8/2002,0,382214,-382214
6/9/2002,0,351298,-351298
6/10/2002,0,305015,-305015
6/11/2002,0,274766,-274766
6/12/2002,0,696932,-696932
6/13/2002,0,404387,-404387
6/14/2002,0,900619,-900619
6/15/2002,0,477100,-477100
6/16/2002,0,326020,-326020
6/17/2002,0,259222,-259222
6/18/2002,0,379174,-379174
6/19/2002,0,464055,-464055
6/20/2002,0,266542,-266542
6/21/2002,0,220437,-220437
6/22/2002,0,180767,-180767
6/23/2002,0,157628,-157628
6/24/2002,0,175855,-175855
6/25/2002,0,141720,-141720
6/26/2002,0,216581,-216581
6/27/2002,0,1351027,-1351030
6/28/2002,0,418209,-418209
6/29/2002,0,308601,-308601
6/30/2002,0,273029,-273029
7/1/2002,0,234710,-234710
7/2/2002,0,199115,-199115
7/3/2002,0,171712,-171712
7/4/2002,0,149607,-149607
7/5/2002,0,129336,-129336
7/6/2002,0,119288,-119288
7/7/2002,0,113487,-113487
7/8/2002,0,109514,-109514
7/9/2002,0,120959,-120959
7/10/2002,0,104648,-104648
7/11/2002,0,101767,-101767
7/12/2002,0,99497.6,-99497.6
7/13/2002,0,97383.8,-97383.8
7/14/2002,0,95620.3,-95620.3
7/15/2002,0,93534.6,-93534.6
7/16/2002,0,91681.1,-91681.1
7/17/2002,0,89943.6,-89943.6
7/18/2002,0,88278.6,-88278.6
7/19/2002,0,238448,-238448
7/20/2002,0,90604.8,-90604.8
7/21/2002,0,86249.6,-86249.6
7/22/2002,0,85005.3,-85005.3
7/23/2002,0,194742,-194742
7/24/2002,0,92853.9,-92853.9
7/25/2002,0,89359.4,-89359.4
7/26/2002,0,87450.8,-87450.8
7/27/2002,0,82778,-82778
7/28/2002,0,79849.9,-79849.9
7/29/2002,0,76791,-76791
7/30/2002,0,74757.5,-74757.5
7/31/2002,0,72926.9,-72926.9
8/1/2002,0,73106.2,-73106.2
8/2/2002,0,243481,-243481
8/3/2002,0,82229.4,-82229.4
8/4/2002,0,74678.3,-74678.3
8/5/2002,0,89257,-89257
8/6/2002,0,72260.8,-72260.8
8/7/2002,0,70659.7,-70659.7
8/8/2002,0,69170.6,-69170.6
8/9/2002,0,67693.8,-67693.8
8/10/2002,0,65460.8,-65460.8
8/11/2002,0,63867.9,-63867.9
8/12/2002,0,62656.2,-62656.2
8/13/2002,0,61651.1,-61651.1
8/14/2002,0,60790.6,-60790.6
8/15/2002,0,62703.7,-62703.7
8/16/2002,0,59323.8,-59323.8
8/17/2002,0,58632.5,-58632.5
8/18/2002,0,57973.4,-57973.4
8/19/2002,0,57339.2,-57339.2
8/20/2002,0,123271,-123271
8/21/2002,0,56662.7,-56662.7
8/22/2002,0,158991,-158991
8/23/2002,0,68310.3,-68310.3
8/24/2002,0,305188,-305188
8/25/2002,0,93488.2,-93488.2
8/26/2002,0,89034.1,-89034.1
8/27/2002,0,89712.8,-89712.8
8/28/2002,0,191912,-191912
8/29/2002,0,887602,-887602
8/30/2002,0,321283,-321283
8/31/2002,0,268844,-268844
9/1/2002,0,1357858,-1357860
9/2/2002,0,561009,-561009
9/3/2002,0,415447,-415447
9/4/2002,0,311057,-311057
9/5/2002,0,229748,-229748
9/6/2002,0,163781,-163781
9/7/2002,0,129559,-129559
9/8/2002,0,109752,-109752
9/9/2002,0,92295.9,-92295.9
9/10/2002,0,83275.9,-83275.9
9/11/2002,0,78334.9,-78334.9
9/12/2002,0,75411.8,-75411.8
9/13/2002,0,73383.9,-73383.9
9/14/2002,0,79482.5,-79482.5
9/15/2002,0,387112,-387112
9/16/2002,0,127424,-127424
9/17/2002,0,96572.8,-96572.8
9/18/2002,0,97585,-97585
9/19/2002,0,96801.8,-96801.8
9/20/2002,0,94460.8,-94460.8
9/21/2002,0,99259.8,-99259.8
9/22/2002,0,89891.3,-89891.3
9/23/2002,0,79846.5,-79846.5
9/24/2002,0,73966.1,-73966.1
9/25/2002,0,70092.7,-70092.7
9/26/2002,0,1433510,-1433510
9/27/2002,0,2593510,-2593510
9/28/2002,0,750317,-750317
9/29/2002,0,728673,-728673
9/30/2002,0,607026,-607026
10/1/2002,0,474278,-474278
10/2/2002,0,365609,-365609
10/3/2002,0,343958,-343958
10/4/2002,0,392480,-392480
10/5/2002,0,273005,-273005
10/6/2002,0,182658,-182658
10/7/2002,0,150288,-150288
10/8/2002,0,132859,-132859
10/9/2002,0,124861,-124861
10/10/2002,0,928913,-928913
10/11/2002,0,4620455,-4620460
10/12/2002,0,1269255,-1269250
10/13/2002,0,1104724,-1104720
10/14/2002,0,826138,-826138
10/15/2002,0,634625,-634625
10/16/2002,0,2247273,-2247270
10/17/2002,0,1280623,-1280620
10/18/2002,0,750681,-750681
10/19/2002,0,501213,-501213
10/20/2002,0,361801,-361801
10/21/2002,0,299417,-299417
10/22/2002,0,264423,-264423
10/23/2002,0,241625,-241625
10/24/2002,0,245248,-245248
10/25/2002,0,585031,-585031
10/26/2002,0,641740,-641740
10/27/2002,0,360588,-360588
10/28/2002,0,352743,-352743
10/29/2002,0,845955,-845955
10/30/2002,0,925256,-925256
10/31/2002,0,678711,-678711
11/1/2002,0,617430,-617430
11/2/2002,0,480092,-480092
11/3/2002,0,386983,-386983
11/4/2002,0,332213,-332213
11/5/2002,0,576918,-576918
11/6/2002,0,432269,-432269
11/7/2002,0,328653,-328653
11/8/2002,0,287729,-287729
11/9/2002,0,259479,-259479
11/10/2002,0,245440,-245440
11/11/2002,0,329068,-329068
11/12/2002,0,942239,-942239
11/13/2002,0,440695,-440695
11/14/2002,0,399464,-399464
11/15/2002,0,365148,-365148
11/16/2002,0,2148738,-2148740
11/17/2002,0,2815388,-2815390
11/18/2002,0,1387668,-1387670
11/19/2002,0,998772,-998772
11/20/2002,0,696514,-696514
11/21/2002,0,641295,-641295
11/22/2002,0,797550,-797550
11/23/2002,0,581019,-581019
11/24/2002,0,439613,-439613
11/25/2002,0,351446,-351446
11/26/2002,0,399972,-399972
11/27/2002,0,347480,-347480
11/28/2002,0,305278,-305278
11/29/2002,0,285866,-285866
11/30/2002,0,265205,-265205
12/1/2002,0,260321,-260321
12/2/2002,0,250894,-250894
12/3/2002,0,229683,-229683
12/4/2002,0,218600,-218600
12/5/2002,0,208246,-208246
12/6/2002,0,199121,-199121
12/7/2002,0,191055,-191055
12/8/2002,0,183825,-183825
12/9/2002,0,177160,-177160
12/10/2002,0,171006,-171006
12/11/2002,0,287762,-287762
12/12/2002,0,164408,-164408
12/13/2002,0,523273,-523273
12/14/2002,0,352080,-352080
12/15/2002,0,205145,-205145
12/16/2002,0,304477,-304477
12/17/2002,0,221003,-221003
12/18/2002,0,201838,-201838
12/19/2002,0,203969,-203969
12/20/2002,0,2122528,-2122530
12/21/2002,0,471124,-471124
12/22/2002,0,676888,-676888
12/23/2002,0,787815,-787815
12/24/2002,0,994092,-994092
12/25/2002,0,2224708,-2224710
12/26/2002,0,783311,-783311
12/27/2002,0,644102,-644102
12/28/2002,0,484280,-484280
12/29/2002,0,392673,-392673
12/30/2002,0,340705,-340705
12/31/2002,0,291629,-291629
1/1/2003,0,1683520,-1683520
1/2/2003,0,669405,-669405
1/3/2003,0,987570,-987570
1/4/2003,0,600663,-600663
1/5/2003,0,634744,-634744
1/6/2003,0,582722,-582722
1/7/2003,0,470429,-470429
1/8/2003,0,417842,-417842
1/9/2003,0,343683,-343683
1/10/2003,0,295189,-295189
1/11/2003,0,257714,-257714
1/12/2003,0,233338,-233338
1/13/2003,0,215245,-215245
1/14/2003,0,201397,-201397
1/15/2003,0,190664,-190664
1/16/2003,0,181998,-181998
1/17/2003,0,174667,-174667
1/18/2003,0,168284,-168284
1/19/2003,0,162550,-162550
1/20/2003,0,157255,-157255
1/21/2003,0,152320,-152320
1/22/2003,0,147734,-147734
1/23/2003,0,143445,-143445
1/24/2003,0,139412,-139412
1/25/2003,0,135581,-135581
1/26/2003,0,164009,-164009
1/27/2003,0,129143,-129143
1/28/2003,0,125926,-125926
1/29/2003,0,122853,-122853
1/30/2003,0,119887,-119887
1/31/2003,0,168462,-168462
2/1/2003,0,324995,-324995
2/2/2003,0,542349,-542349
2/3/2003,0,866440,-866440
2/4/2003,0,1728604,-1728600
2/5/2003,0,1009975,-1009980
2/6/2003,0,546721,-546721
2/7/2003,0,551958,-551958
2/8/2003,0,515710,-515710
2/9/2003,0,450974,-450974
2/10/2003,0,537756,-537756
2/11/2003,0,328860,-328860
2/12/2003,0,263346,-263346
2/13/2003,0,218272,-218272
2/14/2003,0,190616,-190616
2/15/2003,0,172606,-172606
2/16/2003,0,160313,-160313
2/17/2003,0,151473,-151473
2/18/2003,0,144089,-144089
2/19/2003,0,138080,-138080
2/20/2003,0,269564,-269564
2/21/2003,0,524816,-524816
2/22/2003,0,3834483,-3834480
2/23/2003,0,3160327,-3160330
2/24/2003,0,1204031,-1204030
2/25/2003,0,986916,-986916
2/26/2003,0,725582,-725582
2/27/2003,0,564376,-564376
2/28/2003,0,832746,-832746
3/1/2003,0,1370750,-1370750
3/2/2003,0,2582305,-2582310
3/3/2003,0,678322,-678322
3/4/2003,0,498655,-498655
3/5/2003,0,1250590,-1250590
3/6/2003,0,1270916,-1270920
3/7/2003,0,609611,-609611
3/8/2003,0,1012864,-1012860
3/9/2003,0,769706,-769706
3/10/2003,0,445192,-445192
3/11/2003,0,383148,-383148
3/12/2003,0,436950,-436950
3/13/2003,0,605095,-605095
3/14/2003,0,319239,-319239
3/15/2003,0,286708,-286708
3/16/2003,0,268765,-268765
3/17/2003,0,244339,-244339
3/18/2003,0,222478,-222478
3/19/2003,0,209182,-209182
3/20/2003,0,2163906,-2163910
3/21/2003,0,515345,-515345
3/22/2003,0,389219,-389219
3/23/2003,0,367435,-367435
3/24/2003,0,340903,-340903
3/25/2003,0,313398,-313398
3/26/2003,0,520010,-520010
3/27/2003,0,363891,-363891
3/28/2003,0,304280,-304280
3/29/2003,0,703717,-703717
3/30/2003,0,703673,-703673
3/31/2003,0,430150,-430150
4/1/2003,0,449635,-449635
4/2/2003,0,398158,-398158
4/3/2003,0,329400,-329400
4/4/2003,0,312600,-312600
4/5/2003,0,373006,-373006
4/6/2003,0,273067,-273067
4/7/2003,0,691677,-691677
4/8/2003,0,469080,-469080
4/9/2003,0,513343,-513343
4/10/2003,0,396913,-396913
4/11/2003,0,901119,-901119
4/12/2003,0,648424,-648424
4/13/2003,0,479199,-479199
4/14/2003,0,402469,-402469
4/15/2003,0,321948,-321948
4/16/2003,0,266755,-266755
4/17/2003,0,241792,-241792
4/18/2003,0,275171,-275171
4/19/2003,0,205809,-205809
4/20/2003,0,184866,-184866
4/21/2003,0,197641,-197641
4/22/2003,0,266463,-266463
4/23/2003,0,175030,-175030
4/24/2003,0,166865,-166865
4/25/2003,0,215218,-215218
4/26/2003,0,284941,-284941
4/27/2003,0,178505,-178505
4/28/2003,0,169960,-169960
4/29/2003,0,192323,-192323
4/30/2003,0,156145,-156145
5/1/2003,0,146106,-146106
5/2/2003,0,145508,-145508
5/3/2003,0,131096,-131096
5/4/2003,0,123722,-123722
5/5/2003,0,142977,-142977
5/6/2003,0,120431,-120431
5/7/2003,0,187416,-187416
5/8/2003,0,124581,-124581
5/9/2003,0,146286,-146286
5/10/2003,0,113277,-113277
5/11/2003,0,124917,-124917
5/12/2003,0,107958,-107958
5/13/2003,0,104229,-104229
5/14/2003,0,100914,-100914
5/15/2003,0,97229.1,-97229.1
5/16/2003,0,170839,-170839
5/17/2003,0,99336.5,-99336.5
5/18/2003,0,96060.9,-96060.9
5/19/2003,0,92932.6,-92932.6
5/20/2003,0,100951,-100951
5/21/2003,0,163995,-163995
5/22/2003,0,94774.7,-94774.7
5/23/2003,0,162777,-162777
5/24/2003,0,195087,-195087
5/25/2003,0,344046,-344046
5/26/2003,0,1578426,-1578430
5/27/2003,0,517971,-517971
5/28/2003,0,542305,-542305
5/29/2003,0,420095,-420095
5/30/2003,0,359959,-359959
5/31/2003,0,1063882,-1063880
6/1/2003,0,1604360,-1604360
6/2/2003,0,760426,-760426
6/3/2003,0,1536568,-1536570
6/4/2003,0,2384737,-2384740
6/5/2003,0,1267316,-1267320
6/6/2003,0,731215,-731215
6/7/2003,0,1669204,-1669200
6/8/2003,0,816560,-816560
6/9/2003,0,534226,-534226
6/10/2003,0,385201,-385201
6/11/2003,0,462272,-462272
6/12/2003,0,572686,-572686
6/13/2003,0,589451,-589451
6/14/2003,0,399555,-399555
6/15/2003,0,286750,-286750
6/16/2003,0,244172,-244172
6/17/2003,0,325896,-325896
6/18/2003,0,401842,-401842
6/19/2003,0,836946,-836946
6/20/2003,0,4285160,-4285160
6/21/2003,0,1400749,-1400750
6/22/2003,0,1143088,-1143090
6/23/2003,0,736966,-736966
6/24/2003,0,531596,-531596
6/25/2003,0,398313,-398313
6/26/2003,0,316206,-316206
6/27/2003,0,262799,-262799
6/28/2003,0,225332,-225332
6/29/2003,0,206855,-206855
6/30/2003,0,195176,-195176
7/1/2003,0,186644,-186644
7/2/2003,0,180400,-180400
7/3/2003,0,173630,-173630
7/4/2003,0,167546,-167546
7/5/2003,0,184429,-184429
7/6/2003,0,158775,-158775
7/7/2003,0,238095,-238095
7/8/2003,0,149912,-149912
7/9/2003,0,159793,-159793
7/10/2003,0,174991,-174991
7/11/2003,0,201283,-201283
7/12/2003,0,165061,-165061
7/13/2003,0,138690,-138690
7/14/2003,0,134142,-134142
7/15/2003,0,128541,-128541
7/16/2003,0,123901,-123901
7/17/2003,0,119854,-119854
7/18/2003,0,156328,-156328
7/19/2003,0,115463,-115463
7/20/2003,0,111716,-111716
7/21/2003,0,2410106,-2410110
7/22/2003,0,4003545,-4003550
7/23/2003,0,1381834,-1381830
7/24/2003,0,1080243,-1080240
7/25/2003,0,740751,-740751
7/26/2003,0,517192,-517192
7/27/2003,0,684578,-684578
7/28/2003,0,446952,-446952
7/29/2003,0,284929,-284929
7/30/2003,0,209464,-209464
7/31/2003,0,184978,-184978
8/1/2003,0,380745,-380745
8/2/2003,0,193021,-193021
8/3/2003,0,316395,-316395
8/4/2003,0,691697,-691697
8/5/2003,0,1904040,-1904040
8/6/2003,0,1749499,-1749500
8/7/2003,0,955769,-955769
8/8/2003,0,699415,-699415
8/9/2003,0,1347796,-1347800
8/10/2003,0,740884,-740884
8/11/2003,0,1152674,-1152670
8/12/2003,0,620563,-620563
8/13/2003,0,484217,-484217
8/14/2003,0,317611,-317611
8/15/2003,0,256271,-256271
8/16/2003,0,346603,-346603
8/17/2003,0,372412,-372412
8/18/2003,0,242208,-242208
8/19/2003,0,214670,-214670
8/20/2003,0,194502,-194502
8/21/2003,0,180961,-180961
8/22/2003,0,183964,-183964
8/23/2003,0,164948,-164948
8/24/2003,0,157460,-157460
8/25/2003,0,150885,-150885
8/26/2003,0,145434,-145434
8/27/2003,0,150859,-150859
8/28/2003,0,136960,-136960
8/29/2003,0,147145,-147145
8/30/2003,0,180425,-180425
8/31/2003,0,128349,-128349
9/1/2003,0,630849,-630849
9/2/2003,0,464620,-464620
9/3/2003,0,497499,-497499
9/4/2003,0,600642,-600642
9/5/2003,0,382329,-382329
9/6/2003,0,352037,-352037
9/7/2003,0,302059,-302059
9/8/2003,0,258352,-258352
9/9/2003,0,205258,-205258
9/10/2003,0,170645,-170645
9/11/2003,0,148275,-148275
9/12/2003,0,135063,-135063
9/13/2003,0,641115,-641115
9/14/2003,0,755491,-755491
9/15/2003,0,3899572,-3899570
9/16/2003,0,1025910,-1025910
9/17/2003,0,886357,-886357
9/18/2003,0,1751986,-1751990
9/19/2003,0,1627764,-1627760
9/20/2003,0,926938,-926938
9/21/2003,0,578015,-578015
9/22/2003,0,591374,-591374
9/23/2003,0,2183286,-2183290
9/24/2003,0,968705,-968705
9/25/2003,0,735646,-735646
9/26/2003,0,532554,-532554
9/27/2003,0,790513,-790513
9/28/2003,0,686510,-686510
9/29/2003,0,500729,-500729
9/30/2003,0,422886,-422886
10/1/2003,0,337198,-337198
10/2/2003,0,291886,-291886
10/3/2003,0,263569,-263569
10/4/2003,0,363231,-363231
10/5/2003,0,257016,-257016
10/6/2003,0,235112,-235112
10/7/2003,0,219254,-219254
10/8/2003,0,206778,-206778
10/9/2003,0,196137,-196137
10/10/2003,0,186836,-186836
10/11/2003,0,178780,-178780
10/12/2003,0,170670,-170670
10/13/2003,0,163701,-163701
10/14/2003,0,1240834,-1240830
10/15/2003,0,484351,-484351
10/16/2003,0,488920,-488920
10/17/2003,0,830135,-830135
10/18/2003,0,557859,-557859
10/19/2003,0,514583,-514583
10/20/2003,0,455472,-455472
10/21/2003,0,397263,-397263
10/22/2003,0,367754,-367754
10/23/2003,0,276742,-276742
10/24/2003,0,236762,-236762
10/25/2003,0,207527,-207527
10/26/2003,0,467742,-467742
10/27/2003,0,5134379,-5134380
10/28/2003,0,2486687,-2486690
10/29/2003,0,3945885,-3945880
10/30/2003,0,1708893,-1708890
10/31/2003,0,1148933,-1148930
11/1/2003,0,814077,-814077
11/2/2003,0,637551,-637551
11/3/2003,0,496302,-496302
11/4/2003,0,377312,-377312
11/5/2003,0,648605,-648605
11/6/2003,0,506258,-506258
11/7/2003,0,364632,-364632
11/8/2003,0,330985,-330985
11/9/2003,0,310854,-310854
11/10/2003,0,296370,-296370
11/11/2003,0,314796,-314796
11/12/2003,0,513008,-513008
11/13/2003,0,384517,-384517
11/14/2003,0,323783,-323783
11/15/2003,0,301379,-301379
11/16/2003,0,283710,-283710
11/17/2003,0,267129,-267129
11/18/2003,0,258286,-258286
11/19/2003,0,2596323,-2596320
11/20/2003,0,997821,-997821
11/21/2003,0,818315,-818315
11/22/2003,0,695450,-695450
