Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Assenpink Lake"
Cubic Meter
"Sources and Destinations","Increase in Storage for Assenpink Lake","Inflow from Upstream","Outflow to Downstream"
7/9/2001,0,101157,-101157
7/10/2001,0,66563.4,-66563.4
7/11/2001,0,47682.8,-47682.8
7/12/2001,0,43051.9,-43051.9
7/13/2001,0,39510.2,-39510.2
7/14/2001,0,36470.3,-36470.3
7/15/2001,0,34019.1,-34019.1
7/16/2001,0,31243.8,-31243.8
7/17/2001,0,278385,-278385
7/18/2001,0,184970,-184970
7/19/2001,0,64306.3,-64306.3
7/20/2001,0,61874.1,-61874.1
7/21/2001,0,42824.8,-42824.8
7/22/2001,0,38441.1,-38441.1
7/23/2001,0,34905.8,-34905.8
7/24/2001,0,31488.5,-31488.5
7/25/2001,0,27666.6,-27666.6
7/26/2001,0,46613.6,-46613.6
7/27/2001,0,27854.6,-27854.6
7/28/2001,0,25540.3,-25540.3
7/29/2001,0,25497.6,-25497.6
7/30/2001,0,22546.4,-22546.4
7/31/2001,0,21478.9,-21478.9
8/1/2001,0,20110.3,-20110.3
8/2/2001,0,19180.8,-19180.8
8/3/2001,0,33777.6,-33777.6
8/4/2001,0,115148,-115148
8/5/2001,0,35905.4,-35905.4
8/6/2001,0,18004.5,-18004.5
8/7/2001,0,14705.6,-14705.6
8/8/2001,0,13478.1,-13478.1
8/9/2001,0,12246.2,-12246.2
8/10/2001,0,154846,-154846
8/11/2001,0,391992,-391992
8/12/2001,0,451569,-451569
8/13/2001,0,515542,-515542
8/14/2001,0,129970,-129970
8/15/2001,0,124018,-124018
8/16/2001,0,115606,-115606
8/17/2001,0,92861.2,-92861.2
8/18/2001,0,76486.4,-76486.4
8/19/2001,0,123340,-123340
8/20/2001,0,66395.5,-66395.5
8/21/2001,0,45973.5,-45973.5
8/22/2001,0,38476.5,-38476.5
8/23/2001,0,74861.7,-74861.7
8/24/2001,0,34117.7,-34117.7
8/25/2001,0,30409.3,-30409.3
8/26/2001,0,28195,-28195
8/27/2001,0,124761,-124761
8/28/2001,0,43835.1,-43835.1
8/29/2001,0,28128.1,-28128.1
8/30/2001,0,25406.7,-25406.7
8/31/2001,0,31337.9,-31337.9
9/1/2001,0,40588.2,-40588.2
9/2/2001,0,39129.8,-39129.8
9/3/2001,0,37833.4,-37833.4
9/4/2001,0,63051.2,-63051.2
9/5/2001,0,36367.5,-36367.5
9/6/2001,0,35124.7,-35124.7
9/7/2001,0,34019.8,-34019.8
9/8/2001,0,32995.9,-32995.9
9/9/2001,0,32065,-32065
9/10/2001,0,52767.2,-52767.2
9/11/2001,0,31341.4,-31341.4
9/12/2001,0,30255.9,-30255.9
9/13/2001,0,31995.8,-31995.8
9/14/2001,0,218172,-218172
9/15/2001,0,34903.7,-34903.7
9/16/2001,0,35954.6,-35954.6
9/17/2001,0,36620.1,-36620.1
9/18/2001,0,36294.2,-36294.2
9/19/2001,0,35690.4,-35690.4
9/20/2001,0,168905,-168905
9/21/2001,0,93139.4,-93139.4
9/22/2001,0,48329.3,-48329.3
9/23/2001,0,44345.2,-44345.2
9/24/2001,0,139116,-139116
9/25/2001,0,90012.7,-90012.7
9/26/2001,0,51277.9,-51277.9
9/27/2001,0,49640.3,-49640.3
9/28/2001,0,48926.6,-48926.6
9/29/2001,0,42775.6,-42775.6
9/30/2001,0,110469,-110469
10/1/2001,0,121391,-121391
10/2/2001,0,51231.8,-51231.8
10/3/2001,0,47624.2,-47624.2
10/4/2001,0,44272,-44272
10/5/2001,0,42127.6,-42127.6
10/6/2001,0,80032.8,-80032.8
10/7/2001,0,41825.9,-41825.9
10/8/2001,0,39560.6,-39560.6
10/9/2001,0,37087,-37087
10/10/2001,0,35000.5,-35000.5
10/11/2001,0,33164,-33164
10/12/2001,0,31568.7,-31568.7
10/13/2001,0,30187,-30187
10/14/2001,0,91416.8,-91416.8
10/15/2001,0,56900.2,-56900.2
10/16/2001,0,38901.1,-38901.1
10/17/2001,0,32182.8,-32182.8
10/18/2001,0,31417,-31417
10/19/2001,0,30740,-30740
10/20/2001,0,30052.7,-30052.7
10/21/2001,0,29321.6,-29321.6
10/22/2001,0,28051.6,-28051.6
10/23/2001,0,26784.9,-26784.9
10/24/2001,0,25649.3,-25649.3
10/25/2001,0,24665.6,-24665.6
10/26/2001,0,23836.7,-23836.7
10/27/2001,0,23137.7,-23137.7
10/28/2001,0,22525.8,-22525.8
10/29/2001,0,21975.7,-21975.7
10/30/2001,0,21466.4,-21466.4
10/31/2001,0,20990.3,-20990.3
11/1/2001,0,20546.1,-20546.1
11/2/2001,0,20122.3,-20122.3
11/3/2001,0,24606.9,-24606.9
11/4/2001,0,23118.5,-23118.5
11/5/2001,0,19208.4,-19208.4
11/6/2001,0,18871.5,-18871.5
11/7/2001,0,18547.5,-18547.5
11/8/2001,0,18231.8,-18231.8
11/9/2001,0,17926.7,-17926.7
11/10/2001,0,17634.9,-17634.9
11/11/2001,0,17343.1,-17343.1
11/12/2001,0,17055.9,-17055.9
11/13/2001,0,16780,-16780
11/14/2001,0,16511.2,-16511.2
11/15/2001,0,16248.4,-16248.4
11/16/2001,0,15991.4,-15991.4
11/17/2001,0,15742.8,-15742.8
11/18/2001,0,15503.4,-15503.4
11/19/2001,0,15271,-15271
11/20/2001,0,22390.8,-22390.8
11/21/2001,0,14918.6,-14918.6
11/22/2001,0,14711.9,-14711.9
11/23/2001,0,14509.1,-14509.1
11/24/2001,0,28274.1,-28274.1
11/25/2001,0,103747,-103747
11/26/2001,0,16318.7,-16318.7
11/27/2001,0,17051.3,-17051.3
11/28/2001,0,18199.6,-18199.6
11/29/2001,0,21526.8,-21526.8
11/30/2001,0,23430.6,-23430.6
12/1/2001,0,19477.4,-19477.4
12/2/2001,0,19545.6,-19545.6
12/3/2001,0,18660.1,-18660.1
12/4/2001,0,17904.7,-17904.7
12/5/2001,0,17207.5,-17207.5
12/6/2001,0,16553.8,-16553.8
12/7/2001,0,15953.1,-15953.1
12/8/2001,0,228971,-228971
12/9/2001,0,63064.6,-63064.6
12/10/2001,0,34091.4,-34091.4
12/11/2001,0,61938.1,-61938.1
12/12/2001,0,47925.4,-47925.4
12/13/2001,0,58501.6,-58501.6
12/14/2001,0,144916,-144916
12/15/2001,0,64527.7,-64527.7
12/16/2001,0,61679.9,-61679.9
12/17/2001,0,180917,-180917
12/18/2001,0,163106,-163106
12/19/2001,0,80231.2,-80231.2
12/20/2001,0,76401.9,-76401.9
12/21/2001,0,72580.5,-72580.5
12/22/2001,0,67434.4,-67434.4
12/23/2001,0,91742.2,-91742.2
12/24/2001,0,262672,-262672
12/25/2001,0,92356.9,-92356.9
12/26/2001,0,85049.1,-85049.1
12/27/2001,0,79889.7,-79889.7
12/28/2001,0,75615.6,-75615.6
12/29/2001,0,72018.4,-72018.4
12/30/2001,0,68686.2,-68686.2
12/31/2001,0,65486.8,-65486.8
1/1/2002,0,60317.7,-60317.7
1/2/2002,0,56124.2,-56124.2
1/3/2002,0,52642.8,-52642.8
1/4/2002,0,49727.3,-49727.3
1/5/2002,0,47223.9,-47223.9
1/6/2002,0,505106,-505106
1/7/2002,0,141568,-141568
1/8/2002,0,65096.4,-65096.4
1/9/2002,0,97929.4,-97929.4
1/10/2002,0,69063,-69063
1/11/2002,0,463502,-463502
1/12/2002,0,134411,-134411
1/13/2002,0,136165,-136165
1/14/2002,0,92540,-92540
1/15/2002,0,87624.4,-87624.4
1/16/2002,0,82953.8,-82953.8
1/17/2002,0,78478.8,-78478.8
1/18/2002,0,74486,-74486
1/19/2002,0,148096,-148096
1/20/2002,0,77517.5,-77517.5
1/21/2002,0,91367.6,-91367.6
1/22/2002,0,88169.4,-88169.4
1/23/2002,0,77409.3,-77409.3
1/24/2002,0,238757,-238757
1/25/2002,0,86849.1,-86849.1
1/26/2002,0,85885.1,-85885.1
1/27/2002,0,83197.6,-83197.6
1/28/2002,0,80161.3,-80161.3
1/29/2002,0,76552.1,-76552.1
1/30/2002,0,181042,-181042
1/31/2002,0,141928,-141928
2/1/2002,0,162063,-162063
2/2/2002,0,82849.9,-82849.9
2/3/2002,0,78814.4,-78814.4
2/4/2002,0,76279.2,-76279.2
2/5/2002,0,72618,-72618
2/6/2002,0,70319.6,-70319.6
2/7/2002,0,93731.2,-93731.2
2/8/2002,0,77020.5,-77020.5
2/9/2002,0,65423.6,-65423.6
2/10/2002,0,155784,-155784
2/11/2002,0,70530.6,-70530.6
2/12/2002,0,68239.5,-68239.5
2/13/2002,0,66178.8,-66178.8
2/14/2002,0,64249.6,-64249.6
2/15/2002,0,61991.2,-61991.2
2/16/2002,0,59589.8,-59589.8
2/17/2002,0,57277.9,-57277.9
2/18/2002,0,54283.1,-54283.1
2/19/2002,0,51730.7,-51730.7
2/20/2002,0,63111,-63111
2/21/2002,0,48563,-48563
2/22/2002,0,46537,-46537
2/23/2002,0,44784,-44784
2/24/2002,0,43246.5,-43246.5
2/25/2002,0,41830,-41830
2/26/2002,0,40479,-40479
2/27/2002,0,42646.4,-42646.4
2/28/2002,0,38217.9,-38217.9
3/1/2002,0,37128.4,-37128.4
3/2/2002,0,153059,-153059
3/3/2002,0,209763,-209763
3/4/2002,0,54523,-54523
3/5/2002,0,57690.9,-57690.9
3/6/2002,0,60426,-60426
3/7/2002,0,61934.1,-61934.1
3/8/2002,0,62310.5,-62310.5
3/9/2002,0,62886.4,-62886.4
3/10/2002,0,95764.4,-95764.4
3/11/2002,0,58933.8,-58933.8
3/12/2002,0,54741.1,-54741.1
3/13/2002,0,131674,-131674
3/14/2002,0,56542.3,-56542.3
3/15/2002,0,53237.7,-53237.7
3/16/2002,0,50231.5,-50231.5
3/17/2002,0,129731,-129731
3/18/2002,0,230687,-230687
3/19/2002,0,84654.9,-84654.9
3/20/2002,0,703465,-703465
3/21/2002,0,158359,-158359
3/22/2002,0,152385,-152385
3/23/2002,0,152706,-152706
3/24/2002,0,149402,-149402
3/25/2002,0,159103,-159103
3/26/2002,0,374211,-374211
3/27/2002,0,201256,-201256
3/28/2002,0,145474,-145474
3/29/2002,0,125567,-125567
3/30/2002,0,110326,-110326
3/31/2002,0,270982,-270982
4/1/2002,0,120900,-120900
4/2/2002,0,109384,-109384
4/3/2002,0,110610,-110610
4/4/2002,0,91852.2,-91852.2
4/5/2002,0,85483.7,-85483.7
4/6/2002,0,79796.1,-79796.1
4/7/2002,0,70541.1,-70541.1
4/8/2002,0,64392,-64392
4/9/2002,0,95030.7,-95030.7
4/10/2002,0,63130.9,-63130.9
4/11/2002,0,55895.4,-55895.4
4/12/2002,0,67987,-67987
4/13/2002,0,57684.8,-57684.8
4/14/2002,0,53336.6,-53336.6
4/15/2002,0,44416.7,-44416.7
4/16/2002,0,41491.8,-41491.8
4/17/2002,0,38700.2,-38700.2
4/18/2002,0,47668,-47668
4/19/2002,0,63021.4,-63021.4
4/20/2002,0,44323.2,-44323.2
4/21/2002,0,41925.9,-41925.9
4/22/2002,0,90313.7,-90313.7
4/23/2002,0,45140.5,-45140.5
4/24/2002,0,40288.1,-40288.1
4/25/2002,0,129269,-129269
4/26/2002,0,47476.1,-47476.1
4/27/2002,0,77669.9,-77669.9
4/28/2002,0,619277,-619277
4/29/2002,0,98295.7,-98295.7
4/30/2002,0,202631,-202631
5/1/2002,0,119933,-119933
5/2/2002,0,424083,-424083
5/3/2002,0,156259,-156259
5/4/2002,0,147238,-147238
5/5/2002,0,135691,-135691
5/6/2002,0,106005,-106005
5/7/2002,0,81997.4,-81997.4
5/8/2002,0,69492,-69492
5/9/2002,0,177397,-177397
5/10/2002,0,81171.6,-81171.6
5/11/2002,0,62361,-62361
5/12/2002,0,181811,-181811
5/13/2002,0,377364,-377364
5/14/2002,0,141130,-141130
5/15/2002,0,104336,-104336
5/16/2002,0,100993,-100993
5/17/2002,0,189387,-189387
5/18/2002,0,989793,-989793
5/19/2002,0,223559,-223559
5/20/2002,0,212257,-212257
5/21/2002,0,187203,-187203
5/22/2002,0,166134,-166134
5/23/2002,0,139488,-139488
5/24/2002,0,116727,-116727
5/25/2002,0,102403,-102403
5/26/2002,0,89000.7,-89000.7
5/27/2002,0,166478,-166478
5/28/2002,0,84363.4,-84363.4
5/29/2002,0,68592.8,-68592.8
5/30/2002,0,62030.8,-62030.8
5/31/2002,0,130357,-130357
6/1/2002,0,59021.1,-59021.1
6/2/2002,0,54364.9,-54364.9
6/3/2002,0,52576.3,-52576.3
6/4/2002,0,55744.5,-55744.5
6/5/2002,0,113197,-113197
6/6/2002,0,687578,-687578
6/7/2002,0,155074,-155074
6/8/2002,0,116351,-116351
6/9/2002,0,109419,-109419
6/10/2002,0,97504.3,-97504.3
6/11/2002,0,97075.1,-97075.1
6/12/2002,0,263013,-263013
6/13/2002,0,173400,-173400
6/14/2002,0,467305,-467305
6/15/2002,0,176927,-176927
6/16/2002,0,157144,-157144
6/17/2002,0,128936,-128936
6/18/2002,0,195943,-195943
6/19/2002,0,265563,-265563
6/20/2002,0,112855,-112855
6/21/2002,0,90762.1,-90762.1
6/22/2002,0,75563,-75563
6/23/2002,0,65162.9,-65162.9
6/24/2002,0,65683.3,-65683.3
6/25/2002,0,51523.9,-51523.9
6/26/2002,0,45975.2,-45975.2
6/27/2002,0,207795,-207795
6/28/2002,0,79582.4,-79582.4
6/29/2002,0,52296.7,-52296.7
6/30/2002,0,43789.1,-43789.1
7/1/2002,0,40167.2,-40167.2
7/2/2002,0,36663.3,-36663.3
7/3/2002,0,33094.4,-33094.4
7/4/2002,0,30812.4,-30812.4
7/5/2002,0,31830.9,-31830.9
7/6/2002,0,31386.9,-31386.9
7/7/2002,0,29881,-29881
7/8/2002,0,28024.2,-28024.2
7/9/2002,0,85925.1,-85925.1
7/10/2002,0,37410.3,-37410.3
7/11/2002,0,28378.8,-28378.8
7/12/2002,0,26368.8,-26368.8
7/13/2002,0,25326.2,-25326.2
7/14/2002,0,30913.4,-30913.4
7/15/2002,0,20822.2,-20822.2
7/16/2002,0,20255.1,-20255.1
7/17/2002,0,18859.1,-18859.1
7/18/2002,0,17082,-17082
7/19/2002,0,374926,-374926
7/20/2002,0,48864.3,-48864.3
7/21/2002,0,46995.4,-46995.4
7/22/2002,0,38979.3,-38979.3
7/23/2002,0,67530.4,-67530.4
7/24/2002,0,31291.2,-31291.2
7/25/2002,0,25513.2,-25513.2
7/26/2002,0,24760.5,-24760.5
7/27/2002,0,20299,-20299
7/28/2002,0,16646.8,-16646.8
7/29/2002,0,13588.7,-13588.7
7/30/2002,0,12949.5,-12949.5
7/31/2002,0,13190.3,-13190.3
8/1/2002,0,16665.7,-16665.7
8/2/2002,0,182494,-182494
8/3/2002,0,86062,-86062
8/4/2002,0,37704,-37704
8/5/2002,0,24956.4,-24956.4
8/6/2002,0,17375.2,-17375.2
8/7/2002,0,17164.8,-17164.8
8/8/2002,0,16053.3,-16053.3
8/9/2002,0,14739.5,-14739.5
8/10/2002,0,12781,-12781
8/11/2002,0,11144.8,-11144.8
8/12/2002,0,9624.73,-9624.73
8/13/2002,0,7956.58,-7956.58
8/14/2002,0,6916.65,-6916.65
8/15/2002,0,6885.52,-6885.52
8/16/2002,0,5929.87,-5929.87
8/17/2002,0,6027.23,-6027.23
8/18/2002,0,5224.94,-5224.94
8/19/2002,0,4900.79,-4900.79
8/20/2002,0,41662.9,-41662.9
8/21/2002,0,9098.7,-9098.7
8/22/2002,0,37214.3,-37214.3
8/23/2002,0,9087.04,-9087.04
8/24/2002,0,105967,-105967
8/25/2002,0,26068.2,-26068.2
8/26/2002,0,10121.9,-10121.9
8/27/2002,0,7414.85,-7414.85
8/28/2002,0,67506.6,-67506.6
8/29/2002,0,884492,-884492
8/30/2002,0,79387.2,-79387.2
8/31/2002,0,91962.1,-91962.1
9/1/2002,0,1522019,-1522020
9/2/2002,0,574294,-574294
9/3/2002,0,316557,-316557
9/4/2002,0,266161,-266161
9/5/2002,0,227423,-227423
9/6/2002,0,171770,-171770
9/7/2002,0,137419,-137419
9/8/2002,0,114707,-114707
9/9/2002,0,92270.7,-92270.7
9/10/2002,0,77852,-77852
9/11/2002,0,68979.2,-68979.2
9/12/2002,0,63437,-63437
9/13/2002,0,59592.2,-59592.2
9/14/2002,0,71731.8,-71731.8
9/15/2002,0,125118,-125118
9/16/2002,0,80437.2,-80437.2
9/17/2002,0,61646.3,-61646.3
9/18/2002,0,54267.2,-54267.2
9/19/2002,0,52496.3,-52496.3
9/20/2002,0,50792.1,-50792.1
9/21/2002,0,49140.3,-49140.3
9/22/2002,0,47442.8,-47442.8
9/23/2002,0,45564.1,-45564.1
9/24/2002,0,43891.9,-43891.9
9/25/2002,0,42424.7,-42424.7
9/26/2002,0,394704,-394704
9/27/2002,0,489945,-489945
9/28/2002,0,85702.1,-85702.1
9/29/2002,0,95794,-95794
9/30/2002,0,102520,-102520
10/1/2002,0,105361,-105361
10/2/2002,0,104596,-104596
10/3/2002,0,108026,-108026
10/4/2002,0,90466.9,-90466.9
10/5/2002,0,97974.1,-97974.1
10/6/2002,0,70016.5,-70016.5
10/7/2002,0,62920.6,-62920.6
10/8/2002,0,57751.1,-57751.1
10/9/2002,0,53910.8,-53910.8
10/10/2002,0,356091,-356091
10/11/2002,0,1759168,-1759170
10/12/2002,0,335717,-335717
10/13/2002,0,301930,-301930
10/14/2002,0,279162,-279162
10/15/2002,0,295334,-295334
10/16/2002,0,847757,-847757
10/17/2002,0,394062,-394062
10/18/2002,0,316636,-316636
10/19/2002,0,245781,-245781
10/20/2002,0,201823,-201823
10/21/2002,0,173525,-173525
10/22/2002,0,154572,-154572
10/23/2002,0,140677,-140677
10/24/2002,0,131524,-131524
10/25/2002,0,315076,-315076
10/26/2002,0,486707,-486707
10/27/2002,0,171574,-171574
10/28/2002,0,169182,-169182
10/29/2002,0,431204,-431204
10/30/2002,0,370995,-370995
10/31/2002,0,231362,-231362
11/1/2002,0,227550,-227550
11/2/2002,0,212567,-212567
11/3/2002,0,192095,-192095
11/4/2002,0,176015,-176015
11/5/2002,0,375458,-375458
11/6/2002,0,312047,-312047
11/7/2002,0,192735,-192735
11/8/2002,0,178846,-178846
11/9/2002,0,167374,-167374
11/10/2002,0,157214,-157214
11/11/2002,0,235481,-235481
11/12/2002,0,597143,-597143
11/13/2002,0,314061,-314061
11/14/2002,0,216875,-216875
11/15/2002,0,205962,-205962
11/16/2002,0,655126,-655126
11/17/2002,0,1119168,-1119170
11/18/2002,0,401817,-401817
11/19/2002,0,375662,-375662
11/20/2002,0,332813,-332813
11/21/2002,0,512420,-512420
11/22/2002,0,510793,-510793
11/23/2002,0,342336,-342336
11/24/2002,0,297692,-297692
11/25/2002,0,259860,-259860
11/26/2002,0,267762,-267762
11/27/2002,0,271920,-271920
11/28/2002,0,217577,-217577
11/29/2002,0,202541,-202541
11/30/2002,0,189578,-189578
12/1/2002,0,187631,-187631
12/2/2002,0,175675,-175675
12/3/2002,0,161631,-161631
12/4/2002,0,154012,-154012
12/5/2002,0,190684,-190684
12/6/2002,0,144552,-144552
12/7/2002,0,138952,-138952
12/8/2002,0,133795,-133795
12/9/2002,0,128853,-128853
12/10/2002,0,124175,-124175
12/11/2002,0,439890,-439890
12/12/2002,0,139330,-139330
12/13/2002,0,522863,-522863
12/14/2002,0,238160,-238160
12/15/2002,0,164928,-164928
12/16/2002,0,272544,-272544
12/17/2002,0,332878,-332878
12/18/2002,0,212526,-212526
12/19/2002,0,320022,-320022
12/20/2002,0,933421,-933421
12/21/2002,0,299363,-299363
12/22/2002,0,237544,-237544
12/23/2002,0,240099,-240099
12/24/2002,0,281764,-281764
12/25/2002,0,1138551,-1138550
12/26/2002,0,290881,-290881
12/27/2002,0,279669,-279669
12/28/2002,0,258438,-258438
12/29/2002,0,239893,-239893
12/30/2002,0,228577,-228577
12/31/2002,0,209852,-209852
1/1/2003,0,1080200,-1080200
1/2/2003,0,361471,-361471
1/3/2003,0,666452,-666452
1/4/2003,0,352376,-352376
1/5/2003,0,419181,-419181
1/6/2003,0,358917,-358917
1/7/2003,0,312092,-312092
1/8/2003,0,291924,-291924
1/9/2003,0,258862,-258862
1/10/2003,0,234193,-234193
1/11/2003,0,212347,-212347
1/12/2003,0,195913,-195913
1/13/2003,0,182278,-182278
1/14/2003,0,170921,-170921
1/15/2003,0,161390,-161390
1/16/2003,0,153217,-153217
1/17/2003,0,146022,-146022
1/18/2003,0,139592,-139592
1/19/2003,0,133744,-133744
1/20/2003,0,128320,-128320
1/21/2003,0,123261,-123261
1/22/2003,0,118548,-118548
1/23/2003,0,114140,-114140
1/24/2003,0,109994,-109994
1/25/2003,0,106062,-106062
1/26/2003,0,128956,-128956
1/27/2003,0,99364.5,-99364.5
1/28/2003,0,96084.3,-96084.3
1/29/2003,0,96193,-96193
1/30/2003,0,99373,-99373
1/31/2003,0,202828,-202828
2/1/2003,0,193680,-193680
2/2/2003,0,145281,-145281
2/3/2003,0,160964,-160964
2/4/2003,0,311658,-311658
2/5/2003,0,99727.3,-99727.3
2/6/2003,0,119362,-119362
2/7/2003,0,102266,-102266
2/8/2003,0,102154,-102154
2/9/2003,0,100829,-100829
2/10/2003,0,235632,-235632
2/11/2003,0,119732,-119732
2/12/2003,0,96192.6,-96192.6
2/13/2003,0,91950.6,-91950.6
2/14/2003,0,88179.9,-88179.9
2/15/2003,0,84787.6,-84787.6
2/16/2003,0,81729.2,-81729.2
2/17/2003,0,86381,-86381
2/18/2003,0,76129.1,-76129.1
2/19/2003,0,73264.4,-73264.4
2/20/2003,0,120674,-120674
2/21/2003,0,190825,-190825
2/22/2003,0,2049108,-2049110
2/23/2003,0,982617,-982617
2/24/2003,0,557855,-557855
2/25/2003,0,267991,-267991
2/26/2003,0,268190,-268190
2/27/2003,0,425099,-425099
2/28/2003,0,820984,-820984
3/1/2003,0,685768,-685768
3/2/2003,0,1386813,-1386810
3/3/2003,0,329258,-329258
3/4/2003,0,285272,-285272
3/5/2003,0,634606,-634606
3/6/2003,0,722120,-722120
3/7/2003,0,281888,-281888
3/8/2003,0,662449,-662449
3/9/2003,0,275854,-275854
3/10/2003,0,242487,-242487
3/11/2003,0,223469,-223469
3/12/2003,0,208007,-208007
3/13/2003,0,309401,-309401
3/14/2003,0,186381,-186381
3/15/2003,0,173697,-173697
3/16/2003,0,161610,-161610
3/17/2003,0,151159,-151159
3/18/2003,0,142049,-142049
3/19/2003,0,134294,-134294
3/20/2003,0,910780,-910780
3/21/2003,0,319082,-319082
3/22/2003,0,158532,-158532
3/23/2003,0,153996,-153996
3/24/2003,0,149280,-149280
3/25/2003,0,144384,-144384
3/26/2003,0,235574,-235574
3/27/2003,0,149994,-149994
3/28/2003,0,138747,-138747
3/29/2003,0,298640,-298640
3/30/2003,0,216155,-216155
3/31/2003,0,146368,-146368
4/1/2003,0,165917,-165917
4/2/2003,0,142165,-142165
4/3/2003,0,131605,-131605
4/4/2003,0,129623,-129623
4/5/2003,0,139723,-139723
4/6/2003,0,115081,-115081
4/7/2003,0,376620,-376620
4/8/2003,0,146951,-146951
4/9/2003,0,405271,-405271
4/10/2003,0,180461,-180461
4/11/2003,0,298051,-298051
4/12/2003,0,509606,-509606
4/13/2003,0,225539,-225539
4/14/2003,0,215902,-215902
4/15/2003,0,193906,-193906
4/16/2003,0,173916,-173916
4/17/2003,0,153964,-153964
4/18/2003,0,136464,-136464
4/19/2003,0,118466,-118466
4/20/2003,0,106931,-106931
4/21/2003,0,117597,-117597
4/22/2003,0,110105,-110105
4/23/2003,0,90262.5,-90262.5
4/24/2003,0,85012.9,-85012.9
4/25/2003,0,119907,-119907
4/26/2003,0,128750,-128750
4/27/2003,0,84764.4,-84764.4
4/28/2003,0,74027.7,-74027.7
4/29/2003,0,73096.7,-73096.7
4/30/2003,0,67624.9,-67624.9
5/1/2003,0,67391.9,-67391.9
5/2/2003,0,111946,-111946
5/3/2003,0,66814,-66814
5/4/2003,0,59960.1,-59960.1
5/5/2003,0,69834.5,-69834.5
5/6/2003,0,64005,-64005
5/7/2003,0,115767,-115767
5/8/2003,0,79670.3,-79670.3
5/9/2003,0,79026.4,-79026.4
5/10/2003,0,51099.8,-51099.8
5/11/2003,0,51167.3,-51167.3
5/12/2003,0,46376.1,-46376.1
5/13/2003,0,45252.2,-45252.2
5/14/2003,0,43484.9,-43484.9
5/15/2003,0,41006.2,-41006.2
5/16/2003,0,79608.3,-79608.3
5/17/2003,0,43479.7,-43479.7
5/18/2003,0,38664.2,-38664.2
5/19/2003,0,36153.4,-36153.4
5/20/2003,0,33928.2,-33928.2
5/21/2003,0,93749.2,-93749.2
5/22/2003,0,50470.1,-50470.1
5/23/2003,0,122487,-122487
5/24/2003,0,62380.6,-62380.6
5/25/2003,0,80952.7,-80952.7
5/26/2003,0,801775,-801775
5/27/2003,0,140454,-140454
5/28/2003,0,147286,-147286
5/29/2003,0,127101,-127101
5/30/2003,0,139265,-139265
5/31/2003,0,379317,-379317
6/1/2003,0,400497,-400497
6/2/2003,0,183512,-183512
6/3/2003,0,673795,-673795
6/4/2003,0,1408067,-1408070
6/5/2003,0,399745,-399745
6/6/2003,0,296588,-296588
6/7/2003,0,1294125,-1294130
6/8/2003,0,392417,-392417
6/9/2003,0,314280,-314280
6/10/2003,0,253497,-253497
6/11/2003,0,234769,-234769
6/12/2003,0,463847,-463847
6/13/2003,0,526442,-526442
6/14/2003,0,397229,-397229
6/15/2003,0,218092,-218092
6/16/2003,0,177886,-177886
6/17/2003,0,217123,-217123
6/18/2003,0,611487,-611487
6/19/2003,0,321710,-321710
6/20/2003,0,516633,-516633
6/21/2003,0,534701,-534701
6/22/2003,0,284242,-284242
6/23/2003,0,228683,-228683
6/24/2003,0,186663,-186663
6/25/2003,0,159706,-159706
6/26/2003,0,137184,-137184
6/27/2003,0,123071,-123071
6/28/2003,0,111753,-111753
6/29/2003,0,102795,-102795
6/30/2003,0,97928,-97928
7/1/2003,0,90065.3,-90065.3
7/2/2003,0,85470.4,-85470.4
7/3/2003,0,106535,-106535
7/4/2003,0,77820.8,-77820.8
7/5/2003,0,93787,-93787
7/6/2003,0,75208.1,-75208.1
7/7/2003,0,67652,-67652
7/8/2003,0,63562.3,-63562.3
7/9/2003,0,61410.8,-61410.8
7/10/2003,0,97328.2,-97328.2
7/11/2003,0,80886.2,-80886.2
7/12/2003,0,59742.2,-59742.2
7/13/2003,0,53692,-53692
7/14/2003,0,51562.6,-51562.6
7/15/2003,0,49154.2,-49154.2
7/16/2003,0,46713.6,-46713.6
7/17/2003,0,45154.8,-45154.8
7/18/2003,0,160946,-160946
7/19/2003,0,64385.1,-64385.1
7/20/2003,0,49164,-49164
7/21/2003,0,179315,-179315
7/22/2003,0,425490,-425490
7/23/2003,0,125516,-125516
7/24/2003,0,177400,-177400
7/25/2003,0,95735,-95735
7/26/2003,0,71401.7,-71401.7
7/27/2003,0,105656,-105656
7/28/2003,0,71605.7,-71605.7
7/29/2003,0,56414,-56414
7/30/2003,0,49012.5,-49012.5
7/31/2003,0,62494.9,-62494.9
8/1/2003,0,427176,-427176
8/2/2003,0,101326,-101326
8/3/2003,0,93010.7,-93010.7
8/4/2003,0,225569,-225569
8/5/2003,0,433796,-433796
8/6/2003,0,162493,-162493
8/7/2003,0,435102,-435102
8/8/2003,0,202076,-202076
8/9/2003,0,529431,-529431
8/10/2003,0,372081,-372081
8/11/2003,0,190336,-190336
8/12/2003,0,150489,-150489
8/13/2003,0,112404,-112404
8/14/2003,0,94772.2,-94772.2
8/15/2003,0,77458.6,-77458.6
8/16/2003,0,68055.5,-68055.5
8/17/2003,0,165385,-165385
8/18/2003,0,72804.1,-72804.1
8/19/2003,0,59142.2,-59142.2
8/20/2003,0,53196.4,-53196.4
8/21/2003,0,49205.1,-49205.1
8/22/2003,0,65717.8,-65717.8
