Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Lake Wallenpoupack"
Cubic Meter
"Sources and Destinations","Increase in Storage for Lake Wallenpoupack","Inflow from Upstream","Outflow to Downstream"
8/18/2001,0,110324,-110324
8/19/2001,0,133199,-133199
8/20/2001,0,99115.8,-99115.8
8/21/2001,0,103643,-103643
8/22/2001,0,80862.2,-80862.2
8/23/2001,0,294426,-294426
8/24/2001,0,92552.1,-92552.1
8/25/2001,0,82025.3,-82025.3
8/26/2001,0,77915.6,-77915.6
8/27/2001,0,130768,-130768
8/28/2001,0,308286,-308286
8/29/2001,0,85771.5,-85771.5
8/30/2001,0,82509.9,-82509.9
8/31/2001,0,1411615,-1411620
9/1/2001,0,208023,-208023
9/2/2001,0,181725,-181725
9/3/2001,0,183321,-183321
9/4/2001,0,843130,-843130
9/5/2001,0,261163,-261163
9/6/2001,0,242421,-242421
9/7/2001,0,221614,-221614
9/8/2001,0,172707,-172707
9/9/2001,0,138368,-138368
9/10/2001,0,405772,-405772
9/11/2001,0,164323,-164323
9/12/2001,0,120424,-120424
9/13/2001,0,840448,-840448
9/14/2001,0,722323,-722323
9/15/2001,0,287504,-287504
9/16/2001,0,234216,-234216
9/17/2001,0,222972,-222972
9/18/2001,0,198623,-198623
9/19/2001,0,176147,-176147
9/20/2001,0,3851093,-3851090
9/21/2001,0,829205,-829205
9/22/2001,0,677866,-677866
9/23/2001,0,577179,-577179
9/24/2001,0,10733657,-10733700
9/25/2001,0,5255193,-5255190
9/26/2001,0,2665919,-2665920
9/27/2001,0,2327694,-2327690
9/28/2001,0,2132900,-2132900
9/29/2001,0,1470756,-1470760
9/30/2001,0,1040802,-1040800
10/1/2001,0,806435,-806435
10/2/2001,0,532299,-532299
10/3/2001,0,368772,-368772
10/4/2001,0,277493,-277493
10/5/2001,0,224139,-224139
10/6/2001,0,482308,-482308
10/7/2001,0,212487,-212487
10/8/2001,0,192254,-192254
10/9/2001,0,178113,-178113
10/10/2001,0,166930,-166930
10/11/2001,0,157264,-157264
10/12/2001,0,148812,-148812
10/13/2001,0,141548,-141548
10/14/2001,0,636929,-636929
10/15/2001,0,212153,-212153
10/16/2001,0,538184,-538184
10/17/2001,0,230225,-230225
10/18/2001,0,213334,-213334
10/19/2001,0,212548,-212548
10/20/2001,0,209879,-209879
10/21/2001,0,204997,-204997
10/22/2001,0,229587,-229587
10/23/2001,0,460311,-460311
10/24/2001,0,257092,-257092
10/25/2001,0,190389,-190389
10/26/2001,0,174672,-174672
10/27/2001,0,163035,-163035
10/28/2001,0,154036,-154036
10/29/2001,0,146612,-146612
10/30/2001,0,139507,-139507
10/31/2001,0,130478,-130478
11/1/2001,0,122610,-122610
11/2/2001,0,142151,-142151
11/3/2001,0,126036,-126036
11/4/2001,0,163270,-163270
11/5/2001,0,146818,-146818
11/6/2001,0,111389,-111389
11/7/2001,0,106953,-106953
11/8/2001,0,103131,-103131
11/9/2001,0,100309,-100309
11/10/2001,0,97625.5,-97625.5
11/11/2001,0,95154.2,-95154.2
11/12/2001,0,92521.5,-92521.5
11/13/2001,0,89891.7,-89891.7
11/14/2001,0,87430.1,-87430.1
11/15/2001,0,85064.5,-85064.5
11/16/2001,0,82800.5,-82800.5
11/17/2001,0,80759.2,-80759.2
11/18/2001,0,78944.3,-78944.3
11/19/2001,0,80010.1,-80010.1
11/20/2001,0,161342,-161342
11/21/2001,0,77984.2,-77984.2
11/22/2001,0,76851,-76851
11/23/2001,0,75732.4,-75732.4
11/24/2001,0,82576.4,-82576.4
11/25/2001,0,901798,-901798
11/26/2001,0,127420,-127420
11/27/2001,0,144157,-144157
11/28/2001,0,227356,-227356
11/29/2001,0,253728,-253728
11/30/2001,0,1621840,-1621840
12/1/2001,0,458826,-458826
12/2/2001,0,508039,-508039
12/3/2001,0,475863,-475863
12/4/2001,0,442769,-442769
12/5/2001,0,407183,-407183
12/6/2001,0,367947,-367947
12/7/2001,0,336888,-336888
12/8/2001,0,1090880,-1090880
12/9/2001,0,474813,-474813
12/10/2001,0,409901,-409901
12/11/2001,0,371553,-371553
12/12/2001,0,366020,-366020
12/13/2001,0,530408,-530408
12/14/2001,0,1339210,-1339210
12/15/2001,0,739363,-739363
12/16/2001,0,596270,-596270
12/17/2001,0,1369370,-1369370
12/18/2001,0,1861510,-1861510
12/19/2001,0,928308,-928308
12/20/2001,0,890127,-890127
12/21/2001,0,843494,-843494
12/22/2001,0,709473,-709473
12/23/2001,0,617987,-617987
12/24/2001,0,657668,-657668
12/25/2001,0,475585,-475585
12/26/2001,0,393637,-393637
12/27/2001,0,335165,-335165
12/28/2001,0,292346,-292346
12/29/2001,0,259649,-259649
12/30/2001,0,234513,-234513
12/31/2001,0,214983,-214983
1/1/2002,0,198802,-198802
1/2/2002,0,185691,-185691
1/3/2002,0,174690,-174690
1/4/2002,0,165181,-165181
1/5/2002,0,156717,-156717
1/6/2002,0,582743,-582743
1/7/2002,0,261140,-261140
1/8/2002,0,163640,-163640
1/9/2002,0,159200,-159200
1/10/2002,0,169634,-169634
1/11/2002,0,741843,-741843
1/12/2002,0,192987,-192987
1/13/2002,0,177738,-177738
1/14/2002,0,172456,-172456
1/15/2002,0,183196,-183196
1/16/2002,0,161275,-161275
1/17/2002,0,158082,-158082
1/18/2002,0,150619,-150619
1/19/2002,0,142550,-142550
1/20/2002,0,135548,-135548
1/21/2002,0,129333,-129333
1/22/2002,0,123577,-123577
1/23/2002,0,119319,-119319
1/24/2002,0,679901,-679901
1/25/2002,0,824379,-824379
1/26/2002,0,1553133,-1553130
1/27/2002,0,2218560,-2218560
1/28/2002,0,2772147,-2772150
1/29/2002,0,3383003,-3383000
1/30/2002,0,3368520,-3368520
1/31/2002,0,1799394,-1799390
2/1/2002,0,2872547,-2872550
2/2/2002,0,1603861,-1603860
2/3/2002,0,1242784,-1242780
2/4/2002,0,998528,-998528
2/5/2002,0,807193,-807193
2/6/2002,0,644323,-644323
2/7/2002,0,546215,-546215
2/8/2002,0,489111,-489111
2/9/2002,0,412139,-412139
2/10/2002,0,1969020,-1969020
2/11/2002,0,873409,-873409
2/12/2002,0,567191,-567191
2/13/2002,0,543556,-543556
2/14/2002,0,508250,-508250
2/15/2002,0,782072,-782072
2/16/2002,0,1233131,-1233130
2/17/2002,0,552567,-552567
2/18/2002,0,450496,-450496
2/19/2002,0,412152,-412152
2/20/2002,0,722354,-722354
2/21/2002,0,741666,-741666
2/22/2002,0,336643,-336643
2/23/2002,0,303960,-303960
2/24/2002,0,272360,-272360
2/25/2002,0,245954,-245954
2/26/2002,0,631800,-631800
2/27/2002,0,280290,-280290
2/28/2002,0,218618,-218618
3/1/2002,0,203914,-203914
3/2/2002,0,498241,-498241
3/3/2002,0,2186822,-2186820
3/4/2002,0,421052,-421052
3/5/2002,0,365958,-365958
3/6/2002,0,376947,-376947
3/7/2002,0,379949,-379949
3/8/2002,0,344883,-344883
3/9/2002,0,2140065,-2140060
3/10/2002,0,470319,-470319
3/11/2002,0,411879,-411879
3/12/2002,0,367078,-367078
3/13/2002,0,385170,-385170
3/14/2002,0,309918,-309918
3/15/2002,0,267525,-267525
3/16/2002,0,1171469,-1171470
3/17/2002,0,421616,-421616
3/18/2002,0,502070,-502070
3/19/2002,0,560274,-560274
3/20/2002,0,1769598,-1769600
3/21/2002,0,1020560,-1020560
3/22/2002,0,622920,-622920
3/23/2002,0,589814,-589814
3/24/2002,0,746911,-746911
3/25/2002,0,769397,-769397
3/26/2002,0,3360960,-3360960
3/27/2002,0,2999252,-2999250
3/28/2002,0,1703734,-1703730
3/29/2002,0,1587266,-1587270
3/30/2002,0,1099278,-1099280
3/31/2002,0,2202080,-2202080
4/1/2002,0,1072432,-1072430
4/2/2002,0,765237,-765237
4/3/2002,0,1442356,-1442360
4/4/2002,0,552882,-552882
4/5/2002,0,441256,-441256
4/6/2002,0,366717,-366717
4/7/2002,0,316590,-316590
4/8/2002,0,273335,-273335
4/9/2002,0,750635,-750635
4/10/2002,0,300400,-300400
4/11/2002,0,266005,-266005
4/12/2002,0,239988,-239988
4/13/2002,0,1054737,-1054740
4/14/2002,0,2353089,-2353090
4/15/2002,0,976523,-976523
4/16/2002,0,638912,-638912
4/17/2002,0,572618,-572618
4/18/2002,0,464485,-464485
4/19/2002,0,895410,-895410
4/20/2002,0,737012,-737012
4/21/2002,0,624960,-624960
4/22/2002,0,693783,-693783
4/23/2002,0,391503,-391503
4/24/2002,0,332947,-332947
4/25/2002,0,1127522,-1127520
4/26/2002,0,428293,-428293
4/27/2002,0,577634,-577634
4/28/2002,0,6589808,-6589810
4/29/2002,0,1888980,-1888980
4/30/2002,0,2179532,-2179530
5/1/2002,0,1478604,-1478600
5/2/2002,0,4700516,-4700520
5/3/2002,0,1931128,-1931130
5/4/2002,0,1529750,-1529750
5/5/2002,0,1190512,-1190510
5/6/2002,0,798853,-798853
5/7/2002,0,563178,-563178
5/8/2002,0,517443,-517443
5/9/2002,0,1104440,-1104440
5/10/2002,0,441433,-441433
5/11/2002,0,357011,-357011
5/12/2002,0,2849926,-2849930
5/13/2002,0,7566448,-7566450
5/14/2002,0,2647751,-2647750
5/15/2002,0,1813483,-1813480
5/16/2002,0,1650495,-1650490
5/17/2002,0,2203937,-2203940
5/18/2002,0,5560099,-5560100
5/19/2002,0,2400641,-2400640
5/20/2002,0,1731283,-1731280
5/21/2002,0,1204015,-1204020
5/22/2002,0,850042,-850042
5/23/2002,0,647972,-647972
5/24/2002,0,514542,-514542
5/25/2002,0,420375,-420375
5/26/2002,0,602931,-602931
5/27/2002,0,370846,-370846
5/28/2002,0,3132860,-3132860
5/29/2002,0,675082,-675082
5/30/2002,0,595183,-595183
5/31/2002,0,1294116,-1294120
6/1/2002,0,601440,-601440
6/2/2002,0,537448,-537448
6/3/2002,0,463966,-463966
6/4/2002,0,427166,-427166
6/5/2002,0,913250,-913250
6/6/2002,0,6897084,-6897080
6/7/2002,0,2440021,-2440020
6/8/2002,0,1300698,-1300700
6/9/2002,0,1083826,-1083830
6/10/2002,0,877033,-877033
6/11/2002,0,700694,-700694
6/12/2002,0,1163687,-1163690
6/13/2002,0,643428,-643428
6/14/2002,0,4609132,-4609130
6/15/2002,0,3121299,-3121300
6/16/2002,0,1805246,-1805250
6/17/2002,0,1310463,-1310460
6/18/2002,0,1290390,-1290390
6/19/2002,0,1024457,-1024460
6/20/2002,0,710085,-710085
6/21/2002,0,567926,-567926
6/22/2002,0,490143,-490143
6/23/2002,0,359693,-359693
6/24/2002,0,285374,-285374
6/25/2002,0,278452,-278452
6/26/2002,0,752289,-752289
6/27/2002,0,1155645,-1155640
6/28/2002,0,337142,-337142
6/29/2002,0,296394,-296394
6/30/2002,0,269843,-269843
7/1/2002,0,247814,-247814
7/2/2002,0,229406,-229406
7/3/2002,0,213728,-213728
7/4/2002,0,204466,-204466
7/5/2002,0,187247,-187247
7/6/2002,0,179504,-179504
7/7/2002,0,173813,-173813
7/8/2002,0,169214,-169214
7/9/2002,0,273849,-273849
7/10/2002,0,163833,-163833
7/11/2002,0,159993,-159993
7/12/2002,0,156510,-156510
7/13/2002,0,153238,-153238
7/14/2002,0,150124,-150124
7/15/2002,0,147157,-147157
7/16/2002,0,144321,-144321
7/17/2002,0,141548,-141548
7/18/2002,0,139867,-139867
7/19/2002,0,301488,-301488
7/20/2002,0,135316,-135316
7/21/2002,0,132834,-132834
7/22/2002,0,130369,-130369
7/23/2002,0,1044121,-1044120
7/24/2002,0,153611,-153611
7/25/2002,0,158891,-158891
7/26/2002,0,160113,-160113
7/27/2002,0,152318,-152318
7/28/2002,0,221744,-221744
7/29/2002,0,144602,-144602
7/30/2002,0,135790,-135790
7/31/2002,0,124275,-124275
8/1/2002,0,179286,-179286
8/2/2002,0,576897,-576897
8/3/2002,0,136882,-136882
8/4/2002,0,128149,-128149
8/5/2002,0,273460,-273460
8/6/2002,0,125433,-125433
8/7/2002,0,120335,-120335
8/8/2002,0,115950,-115950
8/9/2002,0,111175,-111175
8/10/2002,0,104971,-104971
8/11/2002,0,100550,-100550
8/12/2002,0,97262.7,-97262.7
8/13/2002,0,94498.7,-94498.7
8/14/2002,0,112015,-112015
8/15/2002,0,145127,-145127
8/16/2002,0,107318,-107318
8/17/2002,0,92693,-92693
8/18/2002,0,87102.9,-87102.9
8/19/2002,0,175574,-175574
8/20/2002,0,152709,-152709
8/21/2002,0,85783.5,-85783.5
8/22/2002,0,445597,-445597
8/23/2002,0,160237,-160237
8/24/2002,0,1114041,-1114040
8/25/2002,0,160049,-160049
8/26/2002,0,170449,-170449
8/27/2002,0,166349,-166349
8/28/2002,0,183316,-183316
8/29/2002,0,3479676,-3479680
8/30/2002,0,644508,-644508
8/31/2002,0,621416,-621416
9/1/2002,0,1256315,-1256320
9/2/2002,0,580388,-580388
9/3/2002,0,534162,-534162
9/4/2002,0,664699,-664699
9/5/2002,0,403609,-403609
9/6/2002,0,287025,-287025
9/7/2002,0,216336,-216336
9/8/2002,0,171052,-171052
9/9/2002,0,137610,-137610
9/10/2002,0,116426,-116426
9/11/2002,0,103128,-103128
9/12/2002,0,94486.7,-94486.7
9/13/2002,0,88864.6,-88864.6
9/14/2002,0,84696.8,-84696.8
9/15/2002,0,5037597,-5037600
9/16/2002,0,798039,-798039
9/17/2002,0,562368,-562368
9/18/2002,0,604720,-604720
9/19/2002,0,624680,-624680
9/20/2002,0,599024,-599024
9/21/2002,0,677381,-677381
9/22/2002,0,1182677,-1182680
9/23/2002,0,667807,-667807
9/24/2002,0,408270,-408270
9/25/2002,0,305575,-305575
9/26/2002,0,1238781,-1238780
9/27/2002,0,9377386,-9377390
9/28/2002,0,1747152,-1747150
9/29/2002,0,1658048,-1658050
9/30/2002,0,1426624,-1426620
10/1/2002,0,1178790,-1178790
10/2/2002,0,952718,-952718
10/3/2002,0,999451,-999451
10/4/2002,0,1056247,-1056250
10/5/2002,0,619247,-619247
10/6/2002,0,412382,-412382
10/7/2002,0,317006,-317006
10/8/2002,0,257952,-257952
10/9/2002,0,227211,-227211
10/10/2002,0,1430052,-1430050
10/11/2002,0,18849018,-18849000
10/12/2002,0,6230394,-6230390
10/13/2002,0,3578310,-3578310
10/14/2002,0,2932725,-2932730
10/15/2002,0,2506541,-2506540
10/16/2002,0,15520397,-15520400
10/17/2002,0,5373842,-5373840
10/18/2002,0,3476548,-3476550
10/19/2002,0,2094894,-2094890
10/20/2002,0,1333420,-1333420
10/21/2002,0,953229,-953229
10/22/2002,0,747333,-747333
10/23/2002,0,623726,-623726
10/24/2002,0,513007,-513007
10/25/2002,0,1184739,-1184740
10/26/2002,0,2029765,-2029760
10/27/2002,0,757195,-757195
10/28/2002,0,726751,-726751
10/29/2002,0,778456,-778456
10/30/2002,0,822433,-822433
10/31/2002,0,788340,-788340
11/1/2002,0,872247,-872247
11/2/2002,0,721634,-721634
11/3/2002,0,641451,-641451
11/4/2002,0,564372,-564372
11/5/2002,0,1027768,-1027770
11/6/2002,0,1538698,-1538700
11/7/2002,0,787951,-787951
11/8/2002,0,683469,-683469
11/9/2002,0,630341,-630341
11/10/2002,0,642811,-642811
11/11/2002,0,1139498,-1139500
11/12/2002,0,5562298,-5562300
11/13/2002,0,1155428,-1155430
11/14/2002,0,938296,-938296
11/15/2002,0,841002,-841002
11/16/2002,0,5039498,-5039500
11/17/2002,0,3815148,-3815150
11/18/2002,0,2059338,-2059340
11/19/2002,0,1780138,-1780140
11/20/2002,0,1439998,-1440000
11/21/2002,0,1836088,-1836090
11/22/2002,0,3036128,-3036130
11/23/2002,0,2255838,-2255840
11/24/2002,0,1819228,-1819230
11/25/2002,0,1451588,-1451590
11/26/2002,0,1264598,-1264600
11/27/2002,0,1072808,-1072810
11/28/2002,0,891664,-891664
11/29/2002,0,786439,-786439
11/30/2002,0,721514,-721514
12/1/2002,0,598932,-598932
12/2/2002,0,531826,-531826
12/3/2002,0,482664,-482664
12/4/2002,0,443868,-443868
12/5/2002,0,412078,-412078
12/6/2002,0,386031,-386031
12/7/2002,0,364636,-364636
12/8/2002,0,346237,-346237
12/9/2002,0,330384,-330384
12/10/2002,0,316745,-316745
12/11/2002,0,304274,-304274
12/12/2002,0,343407,-343407
12/13/2002,0,562680,-562680
12/14/2002,0,887059,-887059
12/15/2002,0,308781,-308781
12/16/2002,0,338186,-338186
12/17/2002,0,298544,-298544
12/18/2002,0,293104,-293104
12/19/2002,0,287586,-287586
12/20/2002,0,2723728,-2723730
12/21/2002,0,431074,-431074
12/22/2002,0,430293,-430293
12/23/2002,0,426730,-426730
12/24/2002,0,425609,-425609
12/25/2002,0,544303,-544303
12/26/2002,0,414032,-414032
12/27/2002,0,404561,-404561
12/28/2002,0,370084,-370084
12/29/2002,0,341205,-341205
12/30/2002,0,316613,-316613
12/31/2002,0,350390,-350390
1/1/2003,0,4142785,-4142780
1/2/2003,0,610303,-610303
1/3/2003,0,587282,-587282
1/4/2003,0,594940,-594940
1/5/2003,0,591487,-591487
1/6/2003,0,578742,-578742
1/7/2003,0,560182,-560182
1/8/2003,0,536447,-536447
1/9/2003,0,483067,-483067
1/10/2003,0,400098,-400098
1/11/2003,0,354190,-354190
1/12/2003,0,319616,-319616
1/13/2003,0,292589,-292589
1/14/2003,0,271195,-271195
1/15/2003,0,254039,-254039
1/16/2003,0,240087,-240087
1/17/2003,0,228384,-228384
1/18/2003,0,218595,-218595
1/19/2003,0,210123,-210123
1/20/2003,0,202459,-202459
1/21/2003,0,195525,-195525
1/22/2003,0,189314,-189314
1/23/2003,0,183654,-183654
1/24/2003,0,178402,-178402
1/25/2003,0,173410,-173410
1/26/2003,0,168535,-168535
1/27/2003,0,163922,-163922
1/28/2003,0,159764,-159764
1/29/2003,0,155768,-155768
1/30/2003,0,151782,-151782
1/31/2003,0,147869,-147869
2/1/2003,0,284652,-284652
2/2/2003,0,697401,-697401
2/3/2003,0,1508818,-1508820
2/4/2003,0,4760412,-4760410
2/5/2003,0,2174256,-2174260
2/6/2003,0,672929,-672929
2/7/2003,0,783889,-783889
2/8/2003,0,860468,-860468
2/9/2003,0,892564,-892564
2/10/2003,0,868362,-868362
2/11/2003,0,791363,-791363
2/12/2003,0,653949,-653949
2/13/2003,0,533673,-533673
2/14/2003,0,445552,-445552
2/15/2003,0,380179,-380179
2/16/2003,0,331609,-331609
2/17/2003,0,295321,-295321
2/18/2003,0,267414,-267414
2/19/2003,0,245217,-245217
2/20/2003,0,800481,-800481
2/21/2003,0,260065,-260065
2/22/2003,0,3923768,-3923770
2/23/2003,0,2536122,-2536120
2/24/2003,0,724837,-724837
2/25/2003,0,750483,-750483
2/26/2003,0,753267,-753267
2/27/2003,0,734579,-734579
2/28/2003,0,676547,-676547
3/1/2003,0,1598284,-1598280
3/2/2003,0,4270556,-4270560
3/3/2003,0,984913,-984913
3/4/2003,0,832191,-832191
3/5/2003,0,2072193,-2072190
3/6/2003,0,2557065,-2557060
3/7/2003,0,945503,-945503
3/8/2003,0,908067,-908067
3/9/2003,0,2154551,-2154550
3/10/2003,0,854061,-854061
3/11/2003,0,735952,-735952
3/12/2003,0,2365868,-2365870
3/13/2003,0,6809480,-6809480
3/14/2003,0,1310852,-1310850
3/15/2003,0,3399694,-3399690
3/16/2003,0,6736686,-6736690
3/17/2003,0,9932288,-9932290
3/18/2003,0,12656490,-12656500
3/19/2003,0,9172132,-9172130
3/20/2003,0,13824194,-13824200
3/21/2003,0,7061206,-7061210
3/22/2003,0,6410528,-6410530
3/23/2003,0,3049381,-3049380
3/24/2003,0,1804363,-1804360
3/25/2003,0,1249405,-1249400
3/26/2003,0,1481707,-1481710
3/27/2003,0,841989,-841989
3/28/2003,0,652276,-652276
3/29/2003,0,2184054,-2184050
3/30/2003,0,1470986,-1470990
3/31/2003,0,862465,-862465
4/1/2003,0,819931,-819931
4/2/2003,0,1856812,-1856810
4/3/2003,0,1222034,-1222030
4/4/2003,0,1234216,-1234220
4/5/2003,0,1586488,-1586490
4/6/2003,0,1067370,-1067370
4/7/2003,0,1256662,-1256660
4/8/2003,0,1178364,-1178360
4/9/2003,0,1086657,-1086660
4/10/2003,0,1066519,-1066520
4/11/2003,0,1878711,-1878710
4/12/2003,0,1114403,-1114400
4/13/2003,0,844537,-844537
4/14/2003,0,729415,-729415
4/15/2003,0,624260,-624260
4/16/2003,0,529530,-529530
4/17/2003,0,461596,-461596
4/18/2003,0,621876,-621876
4/19/2003,0,417498,-417498
4/20/2003,0,350814,-350814
4/21/2003,0,444988,-444988
4/22/2003,0,550150,-550150
4/23/2003,0,355291,-355291
4/24/2003,0,313198,-313198
4/25/2003,0,296202,-296202
4/26/2003,0,1461102,-1461100
4/27/2003,0,413541,-413541
4/28/2003,0,402964,-402964
4/29/2003,0,505122,-505122
4/30/2003,0,377072,-377072
5/1/2003,0,389376,-389376
5/2/2003,0,570231,-570231
5/3/2003,0,346063,-346063
5/4/2003,0,304067,-304067
5/5/2003,0,361668,-361668
5/6/2003,0,263971,-263971
5/7/2003,0,553879,-553879
5/8/2003,0,460221,-460221
5/9/2003,0,277591,-277591
5/10/2003,0,251086,-251086
5/11/2003,0,591134,-591134
5/12/2003,0,306235,-306235
5/13/2003,0,346674,-346674
5/14/2003,0,252449,-252449
5/15/2003,0,234574,-234574
5/16/2003,0,230904,-230904
5/17/2003,0,204793,-204793
5/18/2003,0,193310,-193310
5/19/2003,0,181279,-181279
5/20/2003,0,200432,-200432
5/21/2003,0,325016,-325016
5/22/2003,0,171279,-171279
5/23/2003,0,316113,-316113
5/24/2003,0,465588,-465588
5/25/2003,0,299178,-299178
5/26/2003,0,1412696,-1412700
5/27/2003,0,331043,-331043
5/28/2003,0,498223,-498223
5/29/2003,0,368780,-368780
5/30/2003,0,365530,-365530
5/31/2003,0,4527646,-4527650
6/1/2003,0,6707287,-6707290
6/2/2003,0,2731834,-2731830
6/3/2003,0,3334991,-3334990
6/4/2003,0,2387868,-2387870
6/5/2003,0,1634305,-1634300
6/6/2003,0,1168612,-1168610
6/7/2003,0,4697009,-4697010
6/8/2003,0,1858806,-1858810
6/9/2003,0,1321813,-1321810
6/10/2003,0,789873,-789873
6/11/2003,0,857729,-857729
6/12/2003,0,1484764,-1484760
6/13/2003,0,702191,-702191
6/14/2003,0,2079488,-2079490
6/15/2003,0,683862,-683862
6/16/2003,0,531431,-531431
6/17/2003,0,528918,-528918
6/18/2003,0,962820,-962820
6/19/2003,0,456027,-456027
6/20/2003,0,9594011,-9594010
6/21/2003,0,12995978,-12996000
6/22/2003,0,7189645,-7189640
6/23/2003,0,2968692,-2968690
6/24/2003,0,2155009,-2155010
6/25/2003,0,1507076,-1507080
6/26/2003,0,1038473,-1038470
6/27/2003,0,750286,-750286
6/28/2003,0,509248,-509248
6/29/2003,0,396346,-396346
6/30/2003,0,324205,-324205
7/1/2003,0,276168,-276168
7/2/2003,0,256536,-256536
7/3/2003,0,244254,-244254
7/4/2003,0,317412,-317412
7/5/2003,0,265247,-265247
7/6/2003,0,225484,-225484
7/7/2003,0,435879,-435879
7/8/2003,0,245478,-245478
7/9/2003,0,308042,-308042
7/10/2003,0,475849,-475849
7/11/2003,0,657653,-657653
7/12/2003,0,252929,-252929
7/13/2003,0,234834,-234834
7/14/2003,0,225990,-225990
7/15/2003,0,212680,-212680
7/16/2003,0,275460,-275460
7/17/2003,0,200065,-200065
7/18/2003,0,390244,-390244
7/19/2003,0,199454,-199454
7/20/2003,0,182548,-182548
7/21/2003,0,1490449,-1490450
7/22/2003,0,2572906,-2572910
7/23/2003,0,2363313,-2363310
7/24/2003,0,880341,-880341
7/25/2003,0,692104,-692104
7/26/2003,0,606524,-606524
7/27/2003,0,2126782,-2126780
7/28/2003,0,845362,-845362
7/29/2003,0,623750,-623750
7/30/2003,0,442777,-442777
7/31/2003,0,334514,-334514
8/1/2003,0,1254527,-1254530
8/2/2003,0,467787,-467787
8/3/2003,0,764313,-764313
8/4/2003,0,3234148,-3234150
8/5/2003,0,3948575,-3948580
8/6/2003,0,1711882,-1711880
8/7/2003,0,1073689,-1073690
8/8/2003,0,1288126,-1288130
8/9/2003,0,1745303,-1745300
8/10/2003,0,1290120,-1290120
8/11/2003,0,4625588,-4625590
8/12/2003,0,1450724,-1450720
8/13/2003,0,1115901,-1115900
8/14/2003,0,684675,-684675
8/15/2003,0,502974,-502974
8/16/2003,0,530152,-530152
8/17/2003,0,424890,-424890
8/18/2003,0,305972,-305972
8/19/2003,0,246447,-246447
8/20/2003,0,213687,-213687
8/21/2003,0,193754,-193754
8/22/2003,0,213345,-213345
8/23/2003,0,175310,-175310
8/24/2003,0,168306,-168306
8/25/2003,0,162745,-162745
8/26/2003,0,158135,-158135
8/27/2003,0,155360,-155360
8/28/2003,0,150768,-150768
8/29/2003,0,256172,-256172
8/30/2003,0,264687,-264687
8/31/2003,0,146696,-146696
9/1/2003,0,5734042,-5734040
9/2/2003,0,5466008,-5466010
9/3/2003,0,5352054,-5352050
9/4/2003,0,2408489,-2408490
9/5/2003,0,2015205,-2015200
9/6/2003,0,1765621,-1765620
9/7/2003,0,1421846,-1421850
9/8/2003,0,1114712,-1114710
9/9/2003,0,731430,-731430
9/10/2003,0,490759,-490759
9/11/2003,0,346869,-346869
9/12/2003,0,269052,-269052
9/13/2003,0,600668,-600668
9/14/2003,0,929160,-929160
9/15/2003,0,10798401,-10798400
9/16/2003,0,1450257,-1450260
9/17/2003,0,1544392,-1544390
9/18/2003,0,1887618,-1887620
9/19/2003,0,3948344,-3948340
9/20/2003,0,1917739,-1917740
9/21/2003,0,1504195,-1504200
9/22/2003,0,2404870,-2404870
9/23/2003,0,9427646,-9427650
9/24/2003,0,2739022,-2739020
9/25/2003,0,2278908,-2278910
9/26/2003,0,1498513,-1498510
9/27/2003,0,2072769,-2072770
9/28/2003,0,2877764,-2877760
9/29/2003,0,1785230,-1785230
9/30/2003,0,1259156,-1259160
10/1/2003,0,1086501,-1086500
10/2/2003,0,873247,-873247
10/3/2003,0,680254,-680254
10/4/2003,0,1841468,-1841470
10/5/2003,0,823846,-823846
10/6/2003,0,696111,-696111
10/7/2003,0,601963,-601963
10/8/2003,0,532296,-532296
10/9/2003,0,472421,-472421
10/10/2003,0,422248,-422248
10/11/2003,0,382740,-382740
10/12/2003,0,339542,-339542
10/13/2003,0,308355,-308355
10/14/2003,0,4466064,-4466060
10/15/2003,0,2182940,-2182940
10/16/2003,0,1071126,-1071130
10/17/2003,0,1261801,-1261800
10/18/2003,0,1126977,-1126980
10/19/2003,0,1399652,-1399650
10/20/2003,0,1109448,-1109450
10/21/2003,0,1281204,-1281200
10/22/2003,0,861728,-861728
10/23/2003,0,677361,-677361
10/24/2003,0,559477,-559477
10/25/2003,0,477409,-477409
10/26/2003,0,878027,-878027
10/27/2003,0,8949388,-8949390
10/28/2003,0,2564553,-2564550
10/29/2003,0,9677779,-9677780
10/30/2003,0,3221144,-3221140
10/31/2003,0,2825244,-2825240
11/1/2003,0,2320224,-2320220
11/2/2003,0,2774724,-2774720
11/3/2003,0,1814564,-1814560
11/4/2003,0,1304654,-1304650
11/5/2003,0,2044324,-2044320
11/6/2003,0,1354894,-1354890
11/7/2003,0,884671,-884671
11/8/2003,0,735824,-735824
11/9/2003,0,647469,-647469
11/10/2003,0,578784,-578784
11/11/2003,0,610234,-610234
11/12/2003,0,864374,-864374
11/13/2003,0,812697,-812697
11/14/2003,0,556033,-556033
11/15/2003,0,521672,-521672
11/16/2003,0,494440,-494440
11/17/2003,0,526192,-526192
11/18/2003,0,471173,-471173
11/19/2003,0,8419054,-8419050
11/20/2003,0,2185534,-2185530
11/21/2003,0,1867994,-1867990
11/22/2003,0,1788214,-1788210
11/23/2003,0,1632014,-1632010
11/24/2003,0,2991924,-2991920
11/25/2003,0,1600464,-1600460
11/26/2003,0,1395954,-1395950
