Scenario,cannonsville,pepacton,neversink,wallenpaupack,prompton,shoholaMarsh,mongaupeCombined,beltzvilleCombined,fewalter,merrillCreek,hopatcong,nockamixon,assunpink,ontelaunee,stillCreek,blueMarsh,greenLane,1425000,1417000,delLordville,1436000,1433500,delMontague,1449800,1447800,delDRCanal,delTrenton,1463620,outletAssunpink,1470960,outletSchuylkill
0,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509,1.6690389554314509
1,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515,2.499228762536515
2,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708,2.9202595047356708
3,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137,2.959941074718137
4,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111,0.9729658845828111
5,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447,2.3938988333104447
6,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035,1.9435508082566035
7,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168,1.163003492839168
8,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177,1.1749176080460177
9,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308,0.9869943814636308
