# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-07-28 16:16:28 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01470761 Maiden Creek at Berkley, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01470761
#            TS   parameter     Description
#        262018       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	262018_00060	262018_00060_cd
5s	15s	20d	6s	14n	10s
USGS	01470761	2020-03-13 08:45	EDT	237	A
USGS	01470761	2020-03-13 09:00	EDT	237	A
USGS	01470761	2020-03-13 09:30	EDT	237	A
USGS	01470761	2020-03-13 09:45	EDT	237	A
USGS	01470761	2020-03-13 10:00	EDT	237	A
USGS	01470761	2020-03-13 10:30	EDT	239	A
USGS	01470761	2020-03-13 10:45	EDT	241	A
USGS	01470761	2020-03-13 11:00	EDT	241	A
USGS	01470761	2020-03-13 11:15	EDT	241	A
USGS	01470761	2020-03-13 11:30	EDT	243	A
USGS	01470761	2020-03-13 11:45	EDT	243	A
USGS	01470761	2020-03-13 12:00	EDT	243	A
USGS	01470761	2020-03-13 12:15	EDT	243	A
USGS	01470761	2020-03-13 12:30	EDT	241	A
USGS	01470761	2020-03-13 12:45	EDT	241	A
USGS	01470761	2020-03-13 13:00	EDT	241	A
USGS	01470761	2020-03-13 13:15	EDT	241	A
USGS	01470761	2020-03-13 13:30	EDT	243	A
USGS	01470761	2020-03-13 13:45	EDT	243	A
USGS	01470761	2020-03-13 14:00	EDT	241	A
USGS	01470761	2020-03-13 14:15	EDT	241	A
USGS	01470761	2020-03-13 14:30	EDT	241	A
USGS	01470761	2020-03-13 14:45	EDT	243	A
USGS	01470761	2020-03-13 15:00	EDT	243	A
USGS	01470761	2020-03-13 15:15	EDT	243	A
USGS	01470761	2020-03-13 15:30	EDT	246	A
USGS	01470761	2020-03-13 15:45	EDT	248	A
USGS	01470761	2020-03-13 16:00	EDT	248	A
USGS	01470761	2020-03-13 16:15	EDT	248	A
USGS	01470761	2020-03-13 16:30	EDT	246	A
USGS	01470761	2020-03-13 16:45	EDT	246	A
USGS	01470761	2020-03-13 17:00	EDT	248	A
USGS	01470761	2020-03-13 17:15	EDT	257	A
USGS	01470761	2020-03-13 17:30	EDT	262	A
USGS	01470761	2020-03-13 17:45	EDT	264	A
USGS	01470761	2020-03-13 18:00	EDT	264	A
USGS	01470761	2020-03-13 18:15	EDT	266	A
USGS	01470761	2020-03-13 18:30	EDT	266	A
USGS	01470761	2020-03-13 18:45	EDT	266	A
USGS	01470761	2020-03-13 19:00	EDT	269	A
USGS	01470761	2020-03-13 19:15	EDT	271	A
USGS	01470761	2020-03-13 19:30	EDT	271	A
USGS	01470761	2020-03-13 19:45	EDT	271	A
USGS	01470761	2020-03-13 20:00	EDT	271	A
USGS	01470761	2020-03-13 20:15	EDT	271	A
USGS	01470761	2020-03-13 20:30	EDT	271	A
USGS	01470761	2020-03-13 20:45	EDT	271	A
USGS	01470761	2020-03-13 21:00	EDT	271	A
USGS	01470761	2020-03-13 21:15	EDT	273	A
USGS	01470761	2020-03-13 21:30	EDT	273	A
USGS	01470761	2020-03-13 21:45	EDT	276	A
USGS	01470761	2020-03-13 22:00	EDT	276	A
USGS	01470761	2020-03-13 22:15	EDT	276	A
USGS	01470761	2020-03-13 22:30	EDT	276	A
USGS	01470761	2020-03-13 22:45	EDT	276	A
USGS	01470761	2020-03-13 23:00	EDT	276	A
USGS	01470761	2020-03-13 23:15	EDT	276	A
USGS	01470761	2020-03-13 23:30	EDT	278	A
USGS	01470761	2020-03-13 23:45	EDT	278	A
USGS	01470761	2020-03-14 00:00	EDT	278	A
USGS	01470761	2020-03-14 00:15	EDT	276	A
USGS	01470761	2020-03-14 00:30	EDT	276	A
USGS	01470761	2020-03-14 00:45	EDT	276	A
USGS	01470761	2020-03-14 01:00	EDT	281	A
USGS	01470761	2020-03-14 01:15	EDT	283	A
USGS	01470761	2020-03-14 01:30	EDT	283	A
USGS	01470761	2020-03-14 01:45	EDT	283	A
USGS	01470761	2020-03-14 02:00	EDT	281	A
USGS	01470761	2020-03-14 02:15	EDT	281	A
USGS	01470761	2020-03-14 02:30	EDT	278	A
USGS	01470761	2020-03-14 02:45	EDT	276	A
USGS	01470761	2020-03-14 03:00	EDT	271	A
USGS	01470761	2020-03-14 03:15	EDT	271	A
USGS	01470761	2020-03-14 03:30	EDT	269	A
USGS	01470761	2020-03-14 03:45	EDT	269	A
USGS	01470761	2020-03-14 04:00	EDT	269	A
USGS	01470761	2020-03-14 04:15	EDT	269	A
USGS	01470761	2020-03-14 04:30	EDT	269	A
USGS	01470761	2020-03-14 04:45	EDT	266	A
USGS	01470761	2020-03-14 05:00	EDT	266	A
USGS	01470761	2020-03-14 05:15	EDT	266	A
USGS	01470761	2020-03-14 05:30	EDT	266	A
USGS	01470761	2020-03-14 05:45	EDT	266	A
USGS	01470761	2020-03-14 06:00	EDT	269	A
USGS	01470761	2020-03-14 06:15	EDT	266	A
USGS	01470761	2020-03-14 06:30	EDT	266	A
USGS	01470761	2020-03-14 06:45	EDT	266	A
USGS	01470761	2020-03-14 07:00	EDT	266	A
USGS	01470761	2020-03-14 07:15	EDT	264	A
USGS	01470761	2020-03-14 07:30	EDT	264	A
USGS	01470761	2020-03-14 07:45	EDT	262	A
USGS	01470761	2020-03-14 08:00	EDT	262	A
USGS	01470761	2020-03-14 08:15	EDT	259	A
USGS	01470761	2020-03-14 08:30	EDT	259	A
USGS	01470761	2020-03-14 08:45	EDT	259	A
USGS	01470761	2020-03-14 09:00	EDT	257	A
USGS	01470761	2020-03-14 09:15	EDT	257	A
USGS	01470761	2020-03-14 09:30	EDT	257	A
USGS	01470761	2020-03-14 09:45	EDT	257	A
USGS	01470761	2020-03-14 10:00	EDT	257	A
USGS	01470761	2020-03-14 10:15	EDT	257	A
USGS	01470761	2020-03-14 10:30	EDT	257	A
USGS	01470761	2020-03-14 10:45	EDT	257	A
USGS	01470761	2020-03-14 11:00	EDT	255	A
USGS	01470761	2020-03-14 11:15	EDT	255	A
USGS	01470761	2020-03-14 11:30	EDT	255	A
USGS	01470761	2020-03-14 11:45	EDT	255	A
USGS	01470761	2020-03-14 12:00	EDT	255	A
USGS	01470761	2020-03-14 12:15	EDT	252	A
USGS	01470761	2020-03-14 12:30	EDT	250	A
USGS	01470761	2020-03-14 12:45	EDT	250	A
USGS	01470761	2020-03-14 13:00	EDT	248	A
USGS	01470761	2020-03-14 13:15	EDT	248	A
USGS	01470761	2020-03-14 13:30	EDT	246	A
USGS	01470761	2020-03-14 13:45	EDT	246	A
USGS	01470761	2020-03-14 14:00	EDT	246	A
USGS	01470761	2020-03-14 14:15	EDT	248	A
USGS	01470761	2020-03-14 14:30	EDT	246	A
USGS	01470761	2020-03-14 14:45	EDT	248	A
USGS	01470761	2020-03-14 15:00	EDT	246	A
USGS	01470761	2020-03-14 15:15	EDT	243	A
USGS	01470761	2020-03-14 15:30	EDT	243	A
USGS	01470761	2020-03-14 15:45	EDT	243	A
USGS	01470761	2020-03-14 16:00	EDT	241	A
USGS	01470761	2020-03-14 16:15	EDT	241	A
USGS	01470761	2020-03-14 16:30	EDT	239	A
USGS	01470761	2020-03-14 16:45	EDT	239	A
USGS	01470761	2020-03-14 17:00	EDT	239	A
USGS	01470761	2020-03-14 17:15	EDT	239	A
USGS	01470761	2020-03-14 17:30	EDT	239	A
USGS	01470761	2020-03-14 17:45	EDT	239	A
USGS	01470761	2020-03-14 18:00	EDT	239	A
USGS	01470761	2020-03-14 18:15	EDT	239	A
USGS	01470761	2020-03-14 18:30	EDT	239	A
USGS	01470761	2020-03-14 18:45	EDT	239	A
USGS	01470761	2020-03-14 19:00	EDT	239	A
USGS	01470761	2020-03-14 19:15	EDT	237	A
USGS	01470761	2020-03-14 19:30	EDT	237	A
USGS	01470761	2020-03-14 19:45	EDT	237	A
USGS	01470761	2020-03-14 20:00	EDT	237	A
USGS	01470761	2020-03-14 20:15	EDT	237	A
USGS	01470761	2020-03-14 20:30	EDT	235	A
USGS	01470761	2020-03-14 20:45	EDT	235	A
USGS	01470761	2020-03-14 21:00	EDT	232	A
USGS	01470761	2020-03-14 21:15	EDT	232	A
USGS	01470761	2020-03-14 21:30	EDT	232	A
USGS	01470761	2020-03-14 21:45	EDT	230	A
USGS	01470761	2020-03-14 22:00	EDT	230	A
USGS	01470761	2020-03-14 22:15	EDT	230	A
USGS	01470761	2020-03-14 22:30	EDT	230	A
USGS	01470761	2020-03-14 22:45	EDT	228	A
