# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-07-28 16:21:05 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01432055 Lackawaxen River near Baoba, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01432055
#            TS   parameter     Description
#        292366       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	292366_00060	292366_00060_cd
5s	15s	20d	6s	14n	10s
USGS	01432055	2021-06-10 15:30	EDT	1300	A
USGS	01432055	2021-06-10 15:45	EDT	1330	A
USGS	01432055	2021-06-10 16:00	EDT	1330	A
USGS	01432055	2021-06-10 16:15	EDT	1330	A
USGS	01432055	2021-06-10 16:30	EDT	1310	A
USGS	01432055	2021-06-10 16:45	EDT	1330	A
USGS	01432055	2021-06-10 17:00	EDT	1340	A
USGS	01432055	2021-06-10 17:15	EDT	1340	A
USGS	01432055	2021-06-10 17:30	EDT	1360	A
USGS	01432055	2021-06-10 17:45	EDT	1390	A
USGS	01432055	2021-06-10 18:00	EDT	1380	A
USGS	01432055	2021-06-10 18:15	EDT	1380	A
USGS	01432055	2021-06-10 18:30	EDT	1370	A
USGS	01432055	2021-06-10 18:45	EDT	1360	A
USGS	01432055	2021-06-10 19:00	EDT	1360	A
USGS	01432055	2021-06-10 19:15	EDT	1380	A
USGS	01432055	2021-06-10 19:30	EDT	1350	A
USGS	01432055	2021-06-10 19:45	EDT	1360	A
USGS	01432055	2021-06-10 20:00	EDT	1360	A
