# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-04-29 16:45:08 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01482100 DELAWARE RIVER AT DEL MEM BRIDGE AT WILMINGTON DE
# -----------------------------------------------------------------------------------
#
# Data provided for site 01482100
#            TS   parameter     Description
#        275837       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	275837_00060	275837_00060_cd
5s	15s	20d	6s	14n	10s
USGS	01482100	2021-12-30 00:00	EST	444000	P
USGS	01482100	2021-12-30 00:06	EST	462000	P
USGS	01482100	2021-12-30 00:12	EST	469000	P
USGS	01482100	2021-12-30 00:18	EST	460000	P
USGS	01482100	2021-12-30 00:24	EST	453000	P
USGS	01482100	2021-12-30 00:30	EST	464000	P
USGS	01482100	2021-12-30 00:36	EST	363000	P
USGS	01482100	2021-12-30 00:42	EST	450000	P
USGS	01482100	2021-12-30 00:48	EST	498000	P
USGS	01482100	2021-12-30 00:54	EST	409000	P
USGS	01482100	2021-12-30 01:00	EST	419000	P
USGS	01482100	2021-12-30 01:06	EST	410000	P
USGS	01482100	2021-12-30 01:12	EST	409000	P
USGS	01482100	2021-12-30 01:18	EST	407000	P
USGS	01482100	2021-12-30 01:24	EST	438000	P
USGS	01482100	2021-12-30 01:30	EST	374000	P
USGS	01482100	2021-12-30 01:36	EST	421000	P
USGS	01482100	2021-12-30 01:42	EST	418000	P
USGS	01482100	2021-12-30 01:48	EST	349000	P
USGS	01482100	2021-12-30 01:54	EST	409000	P
USGS	01482100	2021-12-30 02:00	EST	364000	P
USGS	01482100	2021-12-30 02:06	EST	417000	P
USGS	01482100	2021-12-30 02:12	EST	333000	P
USGS	01482100	2021-12-30 02:18	EST	363000	P
USGS	01482100	2021-12-30 02:24	EST	330000	P
USGS	01482100	2021-12-30 02:30	EST	318000	P
USGS	01482100	2021-12-30 02:36	EST	342000	P
USGS	01482100	2021-12-30 02:42	EST	317000	P
USGS	01482100	2021-12-30 02:48	EST	276000	P
USGS	01482100	2021-12-30 02:54	EST	206000	P
USGS	01482100	2021-12-30 03:00	EST	149000	P
USGS	01482100	2021-12-30 03:06	EST	196000	P
USGS	01482100	2021-12-30 03:12	EST	149000	P
USGS	01482100	2021-12-30 03:18	EST	108000	P
USGS	01482100	2021-12-30 03:24	EST	58600	P
USGS	01482100	2021-12-30 03:30	EST	15400	P
USGS	01482100	2021-12-30 03:36	EST	-13800	P
USGS	01482100	2021-12-30 03:42	EST	-56800	P
USGS	01482100	2021-12-30 03:48	EST	-86000	P
USGS	01482100	2021-12-30 03:54	EST	-78600	P
USGS	01482100	2021-12-30 04:00	EST	-138000	P
USGS	01482100	2021-12-30 04:06	EST	-308000	P
USGS	01482100	2021-12-30 04:12	EST	-300000	P
USGS	01482100	2021-12-30 04:18	EST	-292000	P
USGS	01482100	2021-12-30 04:24	EST	-419000	P
USGS	01482100	2021-12-30 04:30	EST	-360000	P
USGS	01482100	2021-12-30 04:36	EST	-454000	P
USGS	01482100	2021-12-30 04:42	EST	-425000	P
USGS	01482100	2021-12-30 04:48	EST	-478000	P
USGS	01482100	2021-12-30 04:54	EST	-438000	P
USGS	01482100	2021-12-30 05:00	EST	-471000	P
USGS	01482100	2021-12-30 05:06	EST	-452000	P
USGS	01482100	2021-12-30 05:12	EST	-500000	P
USGS	01482100	2021-12-30 05:18	EST	-510000	P
USGS	01482100	2021-12-30 05:24	EST	-497000	P
USGS	01482100	2021-12-30 05:30	EST	-477000	P
USGS	01482100	2021-12-30 05:36	EST	-538000	P
USGS	01482100	2021-12-30 05:42	EST	-459000	P
USGS	01482100	2021-12-30 05:48	EST	-506000	P
USGS	01482100	2021-12-30 05:54	EST	-485000	P
USGS	01482100	2021-12-30 06:00	EST	-510000	P
USGS	01482100	2021-12-30 06:06	EST	-469000	P
USGS	01482100	2021-12-30 06:12	EST	-468000	P
USGS	01482100	2021-12-30 06:18	EST	-455000	P
USGS	01482100	2021-12-30 06:24	EST	-491000	P
USGS	01482100	2021-12-30 06:30	EST	-463000	P
USGS	01482100	2021-12-30 06:36	EST	-498000	P
USGS	01482100	2021-12-30 06:42	EST	-453000	P
USGS	01482100	2021-12-30 06:48	EST	-470000	P
USGS	01482100	2021-12-30 06:54	EST	-472000	P
USGS	01482100	2021-12-30 07:00	EST	-525000	P
USGS	01482100	2021-12-30 07:06	EST	-421000	P
USGS	01482100	2021-12-30 07:12	EST	-447000	P
USGS	01482100	2021-12-30 07:18	EST	-417000	P
USGS	01482100	2021-12-30 07:24	EST	-380000	P
USGS	01482100	2021-12-30 07:30	EST	-424000	P
USGS	01482100	2021-12-30 07:36	EST	-371000	P
USGS	01482100	2021-12-30 07:42	EST	-429000	P
USGS	01482100	2021-12-30 07:48	EST	-373000	P
USGS	01482100	2021-12-30 07:54	EST	-365000	P
USGS	01482100	2021-12-30 08:00	EST	-377000	P
USGS	01482100	2021-12-30 08:06	EST	-314000	P
USGS	01482100	2021-12-30 08:12	EST	-303000	P
USGS	01482100	2021-12-30 08:18	EST	-319000	P
USGS	01482100	2021-12-30 08:24	EST	-333000	P
USGS	01482100	2021-12-30 08:30	EST	-271000	P
USGS	01482100	2021-12-30 08:36	EST	-283000	P
USGS	01482100	2021-12-30 08:42	EST	-323000	P
USGS	01482100	2021-12-30 08:48	EST	-293000	P
USGS	01482100	2021-12-30 08:54	EST	-211000	P
USGS	01482100	2021-12-30 09:00	EST	-192000	P
USGS	01482100	2021-12-30 09:06	EST	-194000	P
USGS	01482100	2021-12-30 09:12	EST	-150000	P
USGS	01482100	2021-12-30 09:18	EST	-125000	P
USGS	01482100	2021-12-30 09:24	EST	-45600	P
USGS	01482100	2021-12-30 09:30	EST	-19600	P
USGS	01482100	2021-12-30 09:36	EST	-10500	P
