$DateFormat=mm/dd/yyyy,,
8/1/1990,144,144
8/2/1990,149,149
8/3/1990,154,154
8/4/1990,151,151
8/5/1990,149,149
8/6/1990,89,89
8/7/1990,81,81
8/8/1990,141,141
8/9/1990,150,150
8/10/1990,118,118
8/11/1990,108,108
8/12/1990,143,143
8/13/1990,143,143
8/14/1990,137,137
8/15/1990,147,147
8/16/1990,151,151
8/17/1990,152,152
8/18/1990,152,152
8/19/1990,150,150
8/20/1990,151,151
8/21/1990,171,171
8/22/1990,222,222
8/23/1990,161,161
8/24/1990,162,162
8/25/1990,156,156
8/26/1990,153,153
8/27/1990,150,150
8/28/1990,150,150
8/29/1990,152,152
8/30/1990,154,154
8/31/1990,152,152
9/1/1990,155,155
9/2/1990,154,154
9/3/1990,155,155
9/4/1990,155,155
9/5/1990,156,156
9/6/1990,158,158
9/7/1990,161,161
9/8/1990,163,163
9/9/1990,155,155
9/10/1990,160,160
9/11/1990,151,151
9/12/1990,152,152
9/13/1990,155,155
9/14/1990,154,154
9/15/1990,154,154
9/16/1990,151,151
9/17/1990,153,153
9/18/1990,153,153
9/19/1990,152,152
9/20/1990,158,158
9/21/1990,157,157
9/22/1990,149,149
9/23/1990,151,151
9/24/1990,153,153
9/25/1990,153,153
9/26/1990,154,154
9/27/1990,157,157
9/28/1990,153,153
9/29/1990,152,152
9/30/1990,151,151
10/1/1990,154,154
10/2/1990,154,154
10/3/1990,154,154
10/4/1990,153,153
10/5/1990,154,154
10/6/1990,152,152
10/7/1990,153,153
10/8/1990,151,151
10/9/1990,156,156
10/10/1990,154,154
10/11/1990,151,151
10/12/1990,155,155
10/13/1990,153,153
10/14/1990,151,151
10/15/1990,153,153
10/16/1990,155,155
10/17/1990,155,155
10/18/1990,156,156
10/19/1990,144,144
10/20/1990,156,156
10/21/1990,160,160
10/22/1990,165,165
10/23/1990,165,165
10/24/1990,152,152
10/25/1990,157,157
10/26/1990,154,154
10/27/1990,158,158
10/28/1990,158,158
10/29/1990,158,158
10/30/1990,159,159
10/31/1990,163,163
11/1/1990,159,159
11/2/1990,159,159
