Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Pepacton Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Pepacton Reservoir","Increase in Storage for Pepacton Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
2/26/2002, ,-235276,1486618,-34000.6,-1217340
2/27/2002, ,-311143,1496767,24218.3,-1209840
2/28/2002,162367, ,1079594,-24619.1,-1217340
3/1/2002,337129, ,916921,-25339,-1228710
3/2/2002, ,-117287,963202,-25322.7,-820593
3/3/2002, ,-1806020,1997473,-22105,-169344
3/4/2002, ,-1924600,2186439,120881,-382717
3/5/2002, ,-716959,1084501,15176,-382717
3/6/2002, ,-731571,1034418,-21252.1,-281595
3/7/2002, ,-197400,1030497,-31132.7,-801965
3/8/2002, ,-414907,969222,-29349.3,-524966
3/9/2002, ,-1301740,1516978,-45889.8,-169344
3/10/2002, ,-1333910,1534190,96314.5,-296594
3/11/2002, ,-530702,1241818,-43900.7,-667215
3/12/2002, ,-272017,1047082,-29225.5,-745839
3/13/2002, ,-603474,1222299,-26604.7,-592220
3/14/2002, ,-1088520,1277054,-19193.7,-169344
3/15/2002, ,-884574,1068137,-14218.7,-169344
3/16/2002, ,-1167950,1387828,-50531.7,-169344
3/17/2002, ,-1139080,1372881,70290.4,-304093
3/18/2002,17382.7, ,1055544,-31461.2,-1041470
3/19/2002, ,-123653,1158507,-4516.61,-1030340
3/20/2002, ,-978350,1854687,-14617.5,-861719
3/21/2002, ,-1525340,1781492,107938,-364090
3/22/2002, ,-735535,1230211,123914,-618589
3/23/2002, ,-848700,1044475,-26431.4,-169344
3/24/2002, ,-933454,1342604,-22804.2,-386346
3/25/2002, ,-789415,1636262,-14884,-831963
3/26/2002, ,-3987590,4780004,35683.2,-828092
3/27/2002, ,-7745710,8183615,296561,-734469
3/28/2002, ,-7112320,6918400,363266,-169344
3/29/2002, ,-4503750,4647704,25394.1,-169344
3/30/2002, ,-3751310,4337174,50810.6,-636672
3/31/2002, ,-2945780,3782516,-60959.7,-775779
4/1/2002, ,-1437740,3134208,-149.9,-1696320
4/2/2002, ,-720070,2457196,-43006.6,-1694120
4/3/2002, ,-549233,2290307,-49746.7,-1691330
4/4/2002, ,-295922,1999736,-720.181,-1703090
4/5/2002,343606, ,1262657,-48703.9,-1557560
4/6/2002, ,-364965,1041928,-29422,-647541
4/7/2002, ,-94328.1,905611,-28568.7,-782714
4/8/2002,896288, ,835662,-28378.7,-1703570
4/9/2002,734321, ,1077910,-38575.9,-1773650
4/10/2002,535166, ,1103183,48328.7,-1686680
4/11/2002,916288, ,856780,-72011.8,-1701060
4/12/2002,751010, ,793223,-61244.3,-1482990
4/13/2002, ,-527016,1236905,-66267,-643622
4/14/2002, ,-1827000,2521412,92075.3,-786483
4/15/2002, ,-1171610,2677812,195650,-1701850
4/16/2002, ,-467870,2224254,-53169.3,-1703210
4/17/2002,196246, ,1621215,-98703.7,-1718760
4/18/2002,321178, ,1437108,-88383.9,-1669900
4/19/2002,471502, ,1223277,-115001,-1579780
4/20/2002, ,-493886,1248714,-107716,-647112
4/21/2002, ,-298500,1101757,-65818.6,-737438
4/22/2002,257036, ,1006353,-61359.4,-1202030
4/23/2002,223017, ,920732,-24270.6,-1119480
4/24/2002,383122, ,787595,-55369.1,-1115350
4/25/2002,351968, ,1405128,-54568.8,-1702530
4/26/2002, ,-941885,1546094,188290,-792499
4/27/2002,482556, ,1175524,-55990.5,-1602090
4/28/2002, ,-2077870,3687820,-23177.9,-1586770
4/29/2002, ,-3437330,4612562,604828,-1780060
4/30/2002, ,-2943540,3641740,-44640.7,-653562
5/1/2002, ,-2800210,3540018,-10250.7,-729557
5/2/2002, ,-3004730,3782828,-45289.8,-732810
5/3/2002, ,-3317050,3929695,123651,-736300
5/4/2002, ,-1861830,2664544,-62564.3,-740154
5/5/2002, ,-1256420,2063287,-64551.3,-742317
5/6/2002, ,-792667,1613016,-76572.6,-743776
5/7/2002, ,-471249,1277488,-61542.1,-744697
5/8/2002, ,-227707,1049628,-76676.3,-745244
5/9/2002,276153, ,1174924,-54319.8,-1396760
5/10/2002,673018, ,1090526,78266.7,-1841810
5/11/2002, ,-51017.8,878427,-83002.6,-744406
5/12/2002, ,-601751,1497877,-76906.6,-819219
5/13/2002, ,-3595940,4725307,210919,-1340290
5/14/2002, ,-6103170,6321912,530603,-749342
5/15/2002, ,-3628050,4367755,16722.1,-756432
5/16/2002, ,-2820330,3655112,-74134.6,-760647
5/17/2002, ,-2980370,3794523,-50235.1,-763923
5/18/2002, ,-5285120,6037918,14587.1,-767385
5/19/2002, ,-5968170,6405420,336272,-773525
5/20/2002, ,-3279970,4119868,-59439.3,-780458
5/21/2002, ,-2071310,2901242,-45666.4,-784268
5/22/2002, ,-1224830,2058861,-47357.5,-786674
5/23/2002, ,-655303,1519418,-76018.5,-788097
5/24/2002, ,-365653,1236877,-82365.5,-788858
5/25/2002, ,-167711,1045908,-88913.7,-789283
5/26/2002, ,-33469.6,913199,-90251.8,-789478
5/27/2002, ,-672034,1556167,-94616.4,-789517
5/28/2002, ,-1358240,2072271,76264.1,-790298
5/29/2002, ,-1161280,1838737,114421,-791875
5/30/2002, ,-800019,1678571,-85327.9,-793224
5/31/2002, ,-1898700,2707984,-15130,-794154
6/1/2002, ,-1890420,2644630,90532.4,-844744
6/2/2002, ,-1058170,2012592,-107479,-846940
6/3/2002, ,-730118,1689376,-111090,-848169
6/4/2002, ,-488535,1425918,-88366.3,-849017
6/5/2002, ,-3239390,4173630,-84652.2,-849585
6/6/2002, ,-9493180,9910710,435822,-853348
6/7/2002, ,-8864500,9168203,560669,-864376
6/8/2002, ,-4485290,5445878,-85916.4,-874673
6/9/2002, ,-2376000,3382204,-126316,-879884
6/10/2002, ,-1424160,2443446,-136642,-882644
6/11/2002, ,-811977,1832058,-135783,-884298
6/12/2002, ,-803749,1833883,-144892,-885242
6/13/2002, ,-791205,1724816,-47435.3,-886176
6/14/2002, ,-949114,1973544,-137335,-887095
6/15/2002, ,-2537390,3135238,290351,-888197
6/16/2002, ,-2903060,3523016,271190,-891145
6/17/2002, ,-1932700,2777472,49745.6,-894517
6/18/2002, ,-1295370,2289275,-97138.9,-896762
6/19/2002, ,-1056850,1991222,-36100.8,-898267
6/20/2002, ,-531275,1553797,-123027,-899495
6/21/2002,237965, ,1271592,-134072,-1375480
6/22/2002, ,-160892,1203049,-142321,-899836
6/23/2002, ,-456329,1505032,-66427.5,-982275
6/24/2002,307326, ,1403838,-17114.1,-1694050
6/25/2002,573626, ,1111518,-156198,-1528950
6/26/2002,226229, ,1346133,-17713.1,-1554650
6/27/2002, ,-847303,1760056,57638.3,-970391
6/28/2002,261077, ,1611163,4883.98,-1877120
6/29/2002, ,-118779,1163558,-144831,-899948
6/30/2002,100950, ,1003207,-136576,-967581
7/1/2002,1231490, ,868027,-144052,-1955470
7/2/2002,1332988, ,772956,-155538,-1950410
7/3/2002,1436845, ,687915,-164774,-1959990
7/4/2002,2107553, ,654007,-170623,-2590940
7/5/2002,2134410, ,600111,-146032,-2588490
7/6/2002,2175205, ,567738,-156934,-2586010
7/7/2002,2160250, ,549971,-130609,-2579610
7/8/2002,2172114, ,538233,-129374,-2580970
7/9/2002,2094191, ,626947,-139059,-2582080
7/10/2002,1946905, ,569608,59504.2,-2576020
7/11/2002,2176190, ,542882,-145316,-2573760
7/12/2002,2159631, ,527958,-116362,-2571230
7/13/2002,2162699, ,522266,-116247,-2568720
7/14/2002,2167508, ,517123,-118424,-2566210
7/15/2002,2196831, ,512507,-142021,-2567320
7/16/2002,2196122, ,508436,-143422,-2561140
7/17/2002,2199536, ,504158,-141480,-2562210
7/18/2002,2151430, ,545809,-137581,-2559660
7/19/2002,1664937, ,1043295,-154702,-2553530
7/20/2002,1376059, ,1102181,73356.1,-2551600
7/21/2002,2074218, ,603447,-127668,-2550000
7/22/2002,2061402, ,610279,-120464,-2551220
7/23/2002,1232652, ,1440478,-131807,-2541320
7/24/2002,761527, ,1636772,141592,-2539890
7/25/2002,1599212, ,1061759,-121965,-2539010
7/26/2002,1586670, ,1060032,-113183,-2533520
7/27/2002,1531719, ,1062102,-62144.3,-2531680
7/28/2002,1654677, ,939325,-64105.1,-2529900
7/29/2002,1843740, ,787043,-91680.7,-2539100
7/30/2002,1972531, ,689853,-136551,-2525830
7/31/2002,2054952, ,608478,-136260,-2527170
8/1/2002,2095093, ,554391,-124701,-2524780
8/2/2002,792363, ,690300,-131690,-1350970
8/3/2002,662235, ,666625,-8806.17,-1320050
8/4/2002,2100278, ,549098,-135974,-2513400
8/5/2002,1600251, ,1041329,-123360,-2518220
8/6/2002,1410471, ,1023371,78890.3,-2512730
8/7/2002,1937417, ,688319,-114642,-2511090
8/8/2002,1948936, ,670332,-95426.5,-2523840
8/9/2002,1962480, ,650839,-99241.5,-2514080
8/10/2002,1996361, ,616217,-100780,-2511800
8/11/2002,2035692, ,581684,-107896,-2509480
8/12/2002,2070491, ,553076,-120323,-2503240
8/13/2002,2096084, ,519513,-122016,-2493580
8/14/2002,2041220, ,578507,-128581,-2491150
8/15/2002,2049424, ,527639,-88288.3,-2488770
8/16/2002,1885065, ,718100,-109513,-2493650
8/17/2002,1919034, ,655301,-82873.3,-2491460
8/18/2002,2088354, ,529966,-129088,-2489230
8/19/2002,1887197, ,727272,-127662,-2486810
8/20/2002,1759836, ,714119,7030.42,-2480990
8/21/2002,1960062, ,611648,-96398.6,-2475310
8/22/2002,1916845, ,664269,-100821,-2480290
8/23/2002,1827668, ,679137,-35996.9,-2470810
8/24/2002,616465, ,1917287,-68937.6,-2464810
8/25/2002,145126, ,1988280,334563,-2467970
8/26/2002,1365695, ,1199383,-97277.8,-2467800
8/27/2002,1466257, ,1093313,-97226.2,-2462340
8/28/2002,1562062, ,1001928,-99479.1,-2464510
8/29/2002, ,-994620,3536194,-78878,-2462700
8/30/2002, ,-2687640,4869488,282001,-2463850
8/31/2002, ,-60088.5,2616857,-89794.8,-2466970
9/1/2002,477541, ,2060403,-95092.9,-2442850
9/2/2002,941815, ,1590772,-90290,-2442300
9/3/2002,255538, ,2271026,-85361.1,-2441200
9/4/2002, ,-414791,2810911,44785.8,-2440910
9/5/2002,144967, ,2220247,76173.3,-2441390
9/6/2002,995037, ,1539442,-97129.8,-2437350
9/7/2002,1361052, ,1156371,-81230.2,-2436190
9/8/2002,1591134, ,931102,-87624.6,-2434610
9/9/2002,1739670, ,788363,-95269.4,-2432760
9/10/2002,1841482, ,693131,-99999.8,-2434610
9/11/2002,1923188, ,614733,-105447,-2432470
9/12/2002,1967879, ,559815,-101325,-2426370
9/13/2002,1968389, ,526053,-70359.5,-2424080
9/14/2002,1993700, ,503698,-75601.5,-2421800
9/15/2002,1294747, ,1142306,-86278.3,-2350770
9/16/2002,642464, ,1704442,189369,-2536270
9/17/2002,658092, ,1322971,7968.57,-1989030
9/18/2002,1683838, ,940077,-81651.4,-2542260
9/19/2002,1672085, ,942381,-77787.1,-2536680
9/20/2002,1693686, ,919416,-78365.4,-2534740
9/21/2002,1054110, ,1100822,-86031.6,-2068900
9/22/2002, ,-2967690,5076960,-36739.6,-2072530
9/23/2002, ,-4282340,6014966,809865,-2542490
9/24/2002, ,-956653,3477298,15450.5,-2536100
9/25/2002, ,-18307.6,2627327,-67941.3,-2541080
9/26/2002, ,-63620.3,2673134,-68414.6,-2541100
9/27/2002, ,-5847720,8321274,63751.3,-2537300
9/28/2002, ,-9423280,11295662,671709,-2544100
9/29/2002, ,-2827090,5432171,-50037.3,-2555040
9/30/2002, ,-1022570,3642472,-61571.1,-2558330
10/1/2002,156642, ,2440312,-61630.9,-2535320
10/2/2002,515949, ,2091299,-72107.1,-2535140
10/3/2002,584493, ,1943066,3353.83,-2530910
10/4/2002,786670, ,1799312,-52120.5,-2533860
10/5/2002,768074, ,1770625,-5750.72,-2532950
10/6/2002,1270524, ,1330231,-68699.1,-2532060
10/7/2002,1548633, ,1040222,-58274.4,-2530580
10/8/2002,1648526, ,934244,-53989.1,-2528780
10/9/2002,1738367, ,840958,-52458.8,-2526870
10/10/2002,1710593, ,864568,-50313.9,-2524850
10/11/2002, ,-317053,2800165,39747,-2522860
10/12/2002, ,-5285920,7239968,569180,-2523230
10/13/2002, ,-6242550,8433010,338904,-2529370
10/14/2002, ,-2631250,5163331,4543.46,-2536620
10/15/2002, ,-2787200,4101565,-47188.1,-1267180
10/16/2002, ,-10228200,10937527,-37956.3,-671421
10/17/2002, ,-16072400,15961378,794371,-683303
10/18/2002, ,-7657620,8365161,-5565.45,-701974
10/19/2002, ,-4914610,5662037,-36555.9,-710870
10/20/2002, ,-3327100,4030344,13334.8,-716579
10/21/2002, ,-1857770,2609063,-30852.7,-720444
10/22/2002, ,-1169980,1930970,-38384.1,-722602
10/23/2002, ,-837696,1597362,-35704.8,-723961
10/24/2002, ,-150469,1328854,-30574.3,-1147810
10/25/2002,442004, ,1297562,-30084.7,-1709480
10/26/2002, ,-1441690,2042653,123633,-724596
10/27/2002, ,-2146570,2677098,195742,-726271
10/28/2002, ,-316599,1867506,16352.3,-1567260
10/29/2002, ,-66670.5,1688080,-35154.5,-1586250
10/30/2002, ,-20430.5,1617626,-29490.8,-1567700
10/31/2002,18053.8, ,1538169,-29621,-1526600
11/1/2002,111136, ,1487177,-26977.1,-1571340
11/2/2002, ,-669332,1404318,-5902.87,-729083
11/3/2002, ,-528076,1271157,-13220.5,-729861
11/4/2002, ,-445543,1192332,-16314.9,-730474
11/5/2002, ,-529242,1275062,-14828.1,-730992
11/6/2002, ,-1399630,2072694,58541.5,-731607
11/7/2002, ,-1763590,2337348,159474,-733233
11/8/2002, ,-873488,1629545,-20776.4,-735281
11/9/2002,249975, ,1639638,-30324.7,-1859290
11/10/2002,186029, ,1715807,-42838.1,-1859000
11/11/2002,176386, ,1734051,-51654.2,-1858780
11/12/2002, ,-2259870,4216067,-18993.5,-1937200
11/13/2002, ,-3149280,4591949,418532,-1861200
11/14/2002, ,-424754,2315036,-25421.5,-1864860
11/15/2002, ,-82643.9,1982999,-35001,-1865350
11/16/2002, ,-1362330,3246493,-18715.7,-1865450
11/17/2002, ,-2272720,3752186,323942,-1803410
11/18/2002, ,-1142930,2777075,235528,-1869670
11/19/2002, ,-400777,2263437,19468.7,-1882130
11/20/2002, ,-46613.4,1931306,-13226,-1871470
11/21/2002,70943.1, ,1844782,-25576.9,-1890150
11/22/2002, ,-954670,2819826,24909,-1890070
11/23/2002, ,-3451800,3984352,217005,-749555
11/24/2002, ,-3273810,3999601,27773.6,-753564
11/25/2002, ,-3477790,4155364,79795.7,-757368
11/26/2002, ,-3420300,4154883,26827.8,-761408
11/27/2002, ,-2627900,3375956,17327.7,-765381
11/28/2002, ,-1972990,2741583,-158.504,-768434
11/29/2002, ,-1544780,2331044,-15533.7,-770726
11/30/2002, ,-1187780,1975900,-15595.7,-772520
12/1/2002, ,-853288,1640473,-13284.4,-773900
12/2/2002, ,-491595,1355254,-17643.4,-846016
12/3/2002,752822, ,1162443,-16810.4,-1898460
12/4/2002,897304, ,1022388,-14612.3,-1905080
12/5/2002,981958, ,927216,-12636.2,-1896540
12/6/2002,1052101, ,861297,-14371,-1899030
12/7/2002,1097077, ,813936,-16837.4,-1894180
12/8/2002,1132945, ,778404,-14819.4,-1896530
12/9/2002,1176617, ,750793,-17197.8,-1910210
12/10/2002,1253396, ,728757,-13311.4,-1968840
12/11/2002,1012345, ,872769,-11352,-1873760
12/12/2002,1109552, ,786546,-16011.5,-1880090
12/13/2002,991148, ,921748,-7971.23,-1904920
12/14/2002,614164, ,1274055,15554.2,-1903770
12/15/2002,120098, ,1137611,39099.5,-1296810
12/16/2002,1144666, ,787420,-18038.2,-1914050
12/17/2002,1173684, ,787032,-6629.25,-1954090
12/18/2002,1213539, ,780963,-15650.9,-1978850
12/19/2002,1211050, ,771962,-13070.4,-1969940
12/20/2002, ,-10222.2,1903002,-17868.4,-1874910
12/21/2002, ,-722152,2500722,96354.5,-1874920
12/22/2002,821008, ,1075274,-20518.6,-1875760
12/23/2002,853735, ,1053175,-24601.5,-1882310
12/24/2002,811215, ,1028454,-25606.8,-1814060
12/25/2002, ,-228071,1002233,-20408.6,-753753
12/26/2002, ,-201112,974624,-19494.9,-754018
12/27/2002, ,-174204,947093,-18636.8,-754251
12/28/2002, ,-124496,898161,-19211.3,-754454
12/29/2002, ,-65411.3,836489,-16479.2,-754598
12/30/2002, ,-12477.1,787296,-20144.2,-754674
12/31/2002, ,-37495.8,812180,-19995.4,-754689
1/1/2003, ,-1017660,1775340,-2952.58,-754732
1/2/2003, ,-1461570,1744541,472946,-755915
1/3/2003, ,-141914,918281,-18754.1,-757612
1/4/2003, ,-130726,905452,-16948.9,-757777
1/5/2003, ,-114596,891651,-19126.1,-757929
1/6/2003, ,-100035,877083,-18985.7,-758062
1/7/2003, ,-85690.8,861954,-18084.9,-758179
1/8/2003, ,-70416.6,844598,-15903.3,-758278
1/9/2003, ,-70989.5,844366,-15017,-758360
1/10/2003,1654355, ,801312,-12735.4,-2442930
1/11/2003,1720557, ,736503,-19921.2,-2437140
1/12/2003,1743286, ,706943,-15089.1,-2435140
1/13/2003,1770490, ,682268,-15771.8,-2436990
1/14/2003,1789913, ,661494,-12849,-2438560
1/15/2003,1799937, ,644024,-11112.1,-2432850
1/16/2003,1812650, ,629061,-10951.8,-2430760
1/17/2003,1825055, ,615751,-12152.8,-2428650
1/18/2003,149555, ,604164,-11675.4,-742044
1/19/2003,156440, ,594066,-8635.25,-741870
1/20/2003,165865, ,584941,-9117.8,-741688
1/21/2003,176277, ,576680,-11461,-741496
1/22/2003,181215, ,569301,-9224.32,-741291
1/23/2003,186672, ,562676,-8267.8,-741080
1/24/2003,1307920, ,556584,-8146.4,-1856360
1/25/2003,1694797, ,550794,-9003.53,-2236590
1/26/2003,1701382, ,545140,-11903.7,-2234620
1/27/2003,1707574, ,539753,-14684.8,-2232640
1/28/2003,1705680, ,534880,-9902.46,-2230660
1/29/2003,1705448, ,530310,-7081.04,-2228680
1/30/2003,1712450, ,525749,-11503.9,-2226700
1/31/2003,1715513, ,521232,-12039.2,-2224710
2/1/2003,1589838, ,646208,-13332.3,-2222710
2/2/2003,1373322, ,832227,15318,-2220870
2/3/2003,1386406, ,751084,85409.3,-2222900
2/4/2003,677344, ,1370161,166285,-2213790
2/5/2003,523220, ,1297945,395708,-2216870
2/6/2003,1223995, ,778130,214141,-2216270
2/7/2003,1535785, ,694047,-14988.2,-2214840
2/8/2003,1510150, ,716299,-13389.5,-2213060
2/9/2003,1493834, ,729382,-11910.5,-2211310
2/10/2003,1494042, ,730662,-15134.2,-2209570
2/11/2003,1501228, ,722038,-15431.7,-2207830
2/12/2003,1523012, ,696164,-13084.7,-2206090
2/13/2003,1548044, ,663570,-11163.5,-2200450
2/14/2003,1766114, ,635181,-11525.4,-2389770
2/15/2003,1785435, ,612056,-9773.22,-2387720
2/16/2003,1803452, ,593106,-10914.6,-2385640
2/17/2003,1816932, ,577405,-10788.1,-2383550
2/18/2003,1829949, ,563962,-12473.6,-2381440
2/19/2003,1844667, ,552040,-17394.7,-2379310
2/20/2003,74960.7, ,635617,-17898.3,-692680
2/21/2003, ,-746226,1329164,109654,-692593
2/22/2003, ,-3398380,4026465,65378.7,-693460
2/23/2003, ,-3899250,4092823,503839,-697408
2/24/2003, ,-1467890,1740916,428908,-701937
2/25/2003, ,-825185,1551945,-23117,-703642
2/26/2003, ,-876836,1596731,-15294.4,-704601
2/27/2003, ,-17654,1588342,-11574.8,-1559110
2/28/2003,311221, ,1532494,-15082.3,-1828630
3/1/2003,206858, ,1634563,-20649.3,-1820770
3/2/2003, ,-1555830,3208760,175097,-1828030
3/3/2003, ,-1611270,3112854,328252,-1829840
3/4/2003,289111, ,1563560,-20960.6,-1831710
3/5/2003, ,-1060550,2905377,-13456,-1831370
3/6/2003, ,-1811030,3435846,200290,-1825110
3/7/2003, ,-377310,1857678,350471,-1830840
3/8/2003, ,-934521,2679685,-15009.1,-1730160
3/9/2003, ,-264318,2064596,-20169.5,-1780110
3/10/2003, ,-98619.2,1720158,218631,-1840170
3/11/2003,415910, ,1420186,-18310.7,-1817790
3/12/2003, ,-1265890,3097385,-14191.9,-1817300
3/13/2003, ,-1858140,3689933,5847.09,-1837640
3/14/2003, ,-535860,1894979,476812,-1835930
3/15/2003, ,-1837150,3686139,-23564.4,-1825430
3/16/2003, ,-6503060,8154922,175699,-1827560
3/17/2003, ,-12037200,13464103,363256,-1790120
3/18/2003, ,-17765600,19314590,116727,-1665720
3/19/2003, ,-21378900,23289646,-63497,-1847240
3/20/2003, ,-8672430,25696382,-50009.7,-16973900
3/21/2003, ,0,27458314,426879,-27885200
3/22/2003, ,0,18328452,141655,-18470100
3/23/2003, ,0,11247141,-54674,-11192500
3/24/2003, ,0,5126896,-60985.6,-5065910
3/25/2003, ,0,3258647,-53211.7,-3205440
3/26/2003, ,0,2239427,-66064.6,-2173360
3/27/2003, ,0,1738131,-5289.72,-1732840
3/28/2003, ,0,1251532,-55303.2,-1196230
3/29/2003, ,0,1736067,-63804.8,-1672260
3/30/2003, ,0,2225934,213008,-2438940
3/31/2003, ,0,1565862,67509.3,-1633370
4/1/2003, ,0,1379969,-39621,-1340350
4/2/2003, ,0,1839969,-26640.8,-1813330
4/3/2003, ,0,2305552,-32719.8,-2272830
4/4/2003, ,0,2417905,127316,-2545220
4/5/2003, ,0,2729562,-10910.6,-2718650
4/6/2003, ,0,2513260,46448.7,-2559710
4/7/2003, ,0,2018221,-30270.2,-1987950
4/8/2003,277938, ,1994980,-16521.1,-2256400
4/9/2003,387833, ,2295687,-15699,-2667820
4/10/2003, ,-73160.1,2680527,60004.4,-2667370
4/11/2003, ,-592611,3392862,141239,-2941490
4/12/2003, ,0,3079759,97635.5,-3177390
4/13/2003,444149, ,2280578,-56582.6,-2668140
4/14/2003,871545, ,1712896,-70188.9,-2514250
4/15/2003,1075719, ,1472815,-68922.2,-2479610
4/16/2003,1301260, ,1268076,-90973.6,-2478360
4/17/2003,1493073, ,1103029,-119252,-2476850
4/18/2003,1538825, ,1032582,-96290.3,-2475120
4/19/2003,1552600, ,961954,-37595.9,-2476960
4/20/2003,1667735, ,859559,-52140.4,-2475150
4/21/2003,1679042, ,888770,-90967,-2476850
4/22/2003,814002, ,1168651,-9258.58,-1973390
4/23/2003,680696, ,1166858,57640.8,-1905200
4/24/2003,1078215, ,889595,-67276.2,-1900530
4/25/2003,1084398, ,863706,-48822.9,-1899280
4/26/2003, ,-265665,2222581,-55023.4,-1901890
4/27/2003, ,-1128450,2544623,474660,-1890830
4/28/2003,302784, ,1680678,-91320,-1892140
4/29/2003, ,-16343.9,1593620,-93363,-1483910
4/30/2003,515626, ,1431738,-107810,-1839550
5/1/2003, ,-1669080,2741478,-89117.6,-983284
5/2/2003, ,-3748940,4432263,170778,-854102
5/3/2003, ,-3143290,3947474,54269,-858457
5/4/2003, ,-1572440,2527822,-93272.7,-862109
5/5/2003, ,-1094330,2094659,-87770.9,-912561
5/6/2003,405613, ,1794780,-47688.3,-2152710
5/7/2003,1019453, ,1571264,-86489.6,-2504230
5/8/2003,1183838, ,1600910,-45833.4,-2738920
5/9/2003,1372639, ,1417169,-52268,-2737540
5/10/2003,1748429, ,1080555,-93038.8,-2735950
5/11/2003,846968, ,1990455,-103508,-2733910
5/12/2003, ,-77485.6,2589286,221130,-2732930
5/13/2003,888270, ,1917357,-72606.6,-2733020
5/14/2003,1064268, ,1719373,-48023.4,-2735620
5/15/2003,1377803, ,1437332,-84382.9,-2730750
5/16/2003,1347468, ,1274785,-91475.2,-2530780
5/17/2003,1495317, ,1140240,-106345,-2529210
5/18/2003,1592023, ,1035132,-99680.3,-2527470
5/19/2003,1716850, ,907914,-99138.9,-2525630
5/20/2003,1752071, ,880343,-105154,-2527260
5/21/2003,1650458, ,941453,-70315.8,-2521600
5/22/2003,1658976, ,895059,-34355.9,-2519680
5/23/2003,1825374, ,782369,-89992.4,-2517750
5/24/2003,1376309, ,1203731,-64409.8,-2515630
5/25/2003,1135015, ,1303312,75704.4,-2514030
5/26/2003,528981, ,2094920,-111187,-2512710
5/27/2003, ,-1244330,2743766,151672,-1651110
5/28/2003, ,-1114050,2048752,-98147.4,-836555
5/29/2003, ,-1164140,2056096,-54105.3,-837849
5/30/2003, ,-733534,1678112,-105376,-839201
5/31/2003, ,-2250220,3208300,-118022,-840053
6/1/2003, ,-7312120,7788730,414440,-891052
6/2/2003, ,-8429670,8930676,398542,-899546
6/3/2003, ,-3629670,4626310,-87306.6,-909338
6/4/2003, ,-2598520,3545995,-33921.1,-913555
6/5/2003, ,-893520,2794153,-61747.1,-1838890
6/6/2003,112238, ,2169960,-77088.3,-2205110
6/7/2003,34757.5, ,2620540,-124452,-2530850
6/8/2003, ,-146996,2654490,176304,-2683800
6/9/2003,58908.1, ,1713159,-117083,-1654980
6/10/2003, ,-58908.1,1253552,-123734,-1070910
6/11/2003, ,0,1429902,-127930,-1301970
6/12/2003, ,0,2841928,59862.9,-2901790
6/13/2003, ,0,4311406,239559,-4550960
6/14/2003, ,0,3713826,206916,-3920740
6/15/2003, ,0,2573201,-89994,-2483210
6/16/2003, ,0,1919300,-133653,-1785650
6/17/2003,861460, ,1589505,-118363,-2332600
6/18/2003,892300, ,1617978,-92795.6,-2417480
6/19/2003,967917, ,1455571,-7042.29,-2416450
6/20/2003, ,-1369880,3121425,-92218.7,-1659320
6/21/2003, ,-1351790,5152832,700372,-4501410
6/22/2003, ,0,5691627,176352,-5867980
6/23/2003, ,0,4021168,-32149.5,-3989020
6/24/2003, ,0,2526034,-131360,-2394670
6/25/2003,96609.3, ,1938746,-148370,-1886980
6/26/2003,874249, ,1503534,-150287,-2227500
6/27/2003,1361377, ,1206603,-161753,-2406230
6/28/2003,1596230, ,972508,-164093,-2404650
6/29/2003,1721028, ,818554,-136791,-2402790
6/30/2003,1824832, ,707833,-131873,-2400790
7/1/2003,1897642, ,645647,-144617,-2398670
7/2/2003,1911995, ,608329,-123857,-2396470
7/3/2003,1947447, ,587923,-141123,-2394250
7/4/2003,1399953, ,604020,-147357,-1856620
7/5/2003,1100889, ,659323,-73599.5,-1686610
7/6/2003,1842804, ,631147,-122370,-2351580
7/7/2003,1143454, ,1369028,-163042,-2349440
7/8/2003,1045506, ,1193595,109011,-2348110
7/9/2003,1317234, ,1219270,-155737,-2380770
7/10/2003,727503, ,1654740,-3007.21,-2379240
7/11/2003, ,-1818980,3611439,65558.5,-1858020
7/12/2003, ,-3629230,4102519,421103,-894390
7/13/2003, ,-1356960,2450830,-116643,-977230
7/14/2003, ,-29015.1,2104687,-127492,-1948180
7/15/2003,429271, ,1631821,-131507,-1929590
7/16/2003, ,-87050,2133076,-128309,-1917720
7/17/2003,362733, ,2172980,48594.1,-2584310
7/18/2003,591273, ,2140720,-140849,-2591140
7/19/2003,747065, ,1858855,-15463.3,-2590460
7/20/2003,1453121, ,1249577,-113109,-2589590
7/21/2003, ,-924107,2882952,-126944,-1831900
7/22/2003, ,-2525120,4832594,318996,-2626470
7/23/2003, ,-2272920,4698955,195873,-2621910
7/24/2003, ,-940905,3433147,95048.3,-2587290
7/25/2003,39747.6, ,2678438,-129802,-2588380
7/26/2003,779922, ,1943076,-134661,-2588340
7/27/2003,1134704, ,1590304,-137577,-2587430
7/28/2003,1325042, ,1306725,-45654,-2586110
7/29/2003,1704369, ,1017289,-137084,-2584570
7/30/2003,1889563, ,817889,-124858,-2582590
7/31/2003,2010289, ,702407,-132298,-2580400
8/1/2003, ,-748437,3252558,-113303,-2390820
8/2/2003, ,-2284240,4113846,562083,-2391690
8/3/2003, ,-972833,3495166,-127993,-2394340
