Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Lake Ontelaunee"
Cubic Meter
"Sources and Destinations","Increase in Storage for Lake Ontelaunee","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
5/19/2001,0,178429,0,-178429
5/20/2001,0,181686,0,-181686
5/21/2001,0,1310563,0,-1310560
5/22/2001,0,2075864,0,-2075860
5/23/2001,0,856345,0,-856345
5/24/2001,0,806398,0,-806398
5/25/2001,0,801594,0,-801594
5/26/2001,0,3642104,0,-3642100
5/27/2001,0,3391172,0,-3391170
5/28/2001,0,2640948,0,-2640950
5/29/2001,0,1577909,0,-1577910
5/30/2001,0,977118,0,-977118
5/31/2001,0,755907,0,-755907
6/1/2001,0,1331851,0,-1331850
6/2/2001,0,985461,0,-985461
6/3/2001,0,839176,0,-839176
6/4/2001,0,649428,0,-649428
6/5/2001,0,562263,0,-562263
6/6/2001,0,506888,0,-506888
6/7/2001,0,467253,0,-467253
6/8/2001,0,436234,0,-436234
6/9/2001,0,406989,0,-406989
6/10/2001,0,383935,0,-383935
6/11/2001,0,365276,0,-365276
6/12/2001,0,459202,0,-459202
6/13/2001,0,343861,0,-343861
6/14/2001,0,331396,0,-331396
6/15/2001,0,323084,0,-323084
6/16/2001,0,2160536,0,-2160540
6/17/2001,0,712828,0,-712828
6/18/2001,0,653311,0,-653311
6/19/2001,0,604340,0,-604340
6/20/2001,0,711558,0,-711558
6/21/2001,0,594089,0,-594089
6/22/2001,0,2636118,0,-2636120
6/23/2001,0,1813744,0,-1813740
6/24/2001,0,972312,0,-972312
6/25/2001,0,693524,0,-693524
6/26/2001,0,560724,0,-560724
6/27/2001,0,484907,0,-484907
6/28/2001,0,433245,0,-433245
6/29/2001,0,397620,0,-397620
6/30/2001,0,422555,0,-422555
7/1/2001,0,670355,0,-670355
7/2/2001,0,392411,0,-392411
7/3/2001,0,402228,0,-402228
7/4/2001,0,700558,0,-700558
7/5/2001,0,1139130,0,-1139130
7/6/2001,0,592234,0,-592234
7/7/2001,0,549077,0,-549077
7/8/2001,0,971903,0,-971903
7/9/2001,0,614790,0,-614790
7/10/2001,0,716671,0,-716671
7/11/2001,0,556361,0,-556361
7/12/2001,0,444929,0,-444929
7/13/2001,0,374844,0,-374844
7/14/2001,0,334959,0,-334959
7/15/2001,0,308622,0,-308622
7/16/2001,0,287852,0,-287852
7/17/2001,0,407434,0,-407434
7/18/2001,0,292642,0,-292642
7/19/2001,0,264579,0,-264579
7/20/2001,0,249757,0,-249757
7/21/2001,0,237543,0,-237543
7/22/2001,0,226866,0,-226866
7/23/2001,0,216978,0,-216978
7/24/2001,0,207792,0,-207792
7/25/2001,0,1965615,0,-1965620
7/26/2001,0,599941,0,-599941
7/27/2001,0,472598,0,-472598
7/28/2001,0,455731,0,-455731
7/29/2001,0,417569,0,-417569
7/30/2001,0,370270,0,-370270
7/31/2001,0,400020,0,-400020
8/1/2001,0,335015,0,-335015
8/2/2001,0,265783,0,-265783
8/3/2001,0,358258,0,-358258
8/4/2001,0,443890,0,-443890
8/5/2001,0,268803,0,-268803
8/6/2001,0,235915,0,-235915
8/7/2001,0,213769,0,-213769
8/8/2001,0,196668,0,-196668
8/9/2001,0,183979,0,-183979
8/10/2001,0,334608,0,-334608
8/11/2001,0,1016513,0,-1016510
8/12/2001,0,1140196,0,-1140200
8/13/2001,0,547683,0,-547683
8/14/2001,0,584132,0,-584132
8/15/2001,0,440165,0,-440165
8/16/2001,0,375823,0,-375823
8/17/2001,0,342725,0,-342725
8/18/2001,0,285342,0,-285342
8/19/2001,0,287523,0,-287523
8/20/2001,0,238116,0,-238116
8/21/2001,0,202672,0,-202672
8/22/2001,0,185540,0,-185540
8/23/2001,0,243914,0,-243914
8/24/2001,0,177239,0,-177239
8/25/2001,0,166541,0,-166541
8/26/2001,0,158431,0,-158431
8/27/2001,0,308483,0,-308483
8/28/2001,0,207361,0,-207361
8/29/2001,0,167819,0,-167819
8/30/2001,0,162465,0,-162465
8/31/2001,0,429985,0,-429985
9/1/2001,0,217014,0,-217014
9/2/2001,0,206416,0,-206416
9/3/2001,0,195148,0,-195148
9/4/2001,0,514305,0,-514305
9/5/2001,0,256927,0,-256927
9/6/2001,0,231434,0,-231434
9/7/2001,0,209801,0,-209801
9/8/2001,0,181184,0,-181184
9/9/2001,0,161666,0,-161666
9/10/2001,0,337178,0,-337178
9/11/2001,0,200231,0,-200231
9/12/2001,0,170734,0,-170734
9/13/2001,0,410408,0,-410408
9/14/2001,0,320188,0,-320188
9/15/2001,0,231907,0,-231907
9/16/2001,0,217899,0,-217899
9/17/2001,0,202575,0,-202575
9/18/2001,0,178276,0,-178276
9/19/2001,0,159786,0,-159786
9/20/2001,0,2623202,0,-2623200
9/21/2001,0,869255,0,-869255
9/22/2001,0,718213,0,-718213
9/23/2001,0,574470,0,-574470
9/24/2001,0,8226115,0,-8226120
9/25/2001,0,3725428,0,-3725430
9/26/2001,0,2014126,0,-2014130
9/27/2001,0,1379274,0,-1379270
9/28/2001,0,946036,0,-946036
9/29/2001,0,762297,0,-762297
9/30/2001,0,660661,0,-660661
10/1/2001,0,593020,0,-593020
10/2/2001,0,512999,0,-512999
10/3/2001,0,465131,0,-465131
10/4/2001,0,431984,0,-431984
10/5/2001,0,406179,0,-406179
10/6/2001,0,430859,0,-430859
10/7/2001,0,373013,0,-373013
10/8/2001,0,355606,0,-355606
10/9/2001,0,339799,0,-339799
10/10/2001,0,325101,0,-325101
10/11/2001,0,311277,0,-311277
10/12/2001,0,300253,0,-300253
10/13/2001,0,286230,0,-286230
10/14/2001,0,611976,0,-611976
10/15/2001,0,318525,0,-318525
10/16/2001,0,559264,0,-559264
10/17/2001,0,388534,0,-388534
10/18/2001,0,398915,0,-398915
10/19/2001,0,399578,0,-399578
10/20/2001,0,389921,0,-389921
10/21/2001,0,372732,0,-372732
10/22/2001,0,329066,0,-329066
10/23/2001,0,297178,0,-297178
10/24/2001,0,268730,0,-268730
10/25/2001,0,248074,0,-248074
10/26/2001,0,232579,0,-232579
10/27/2001,0,220295,0,-220295
10/28/2001,0,209924,0,-209924
10/29/2001,0,200813,0,-200813
10/30/2001,0,192551,0,-192551
10/31/2001,0,184999,0,-184999
11/1/2001,0,177980,0,-177980
11/2/2001,0,171356,0,-171356
11/3/2001,0,171404,0,-171404
11/4/2001,0,162412,0,-162412
11/5/2001,0,155971,0,-155971
11/6/2001,0,149253,0,-149253
11/7/2001,0,144126,0,-144126
11/8/2001,0,139194,0,-139194
11/9/2001,0,134467,0,-134467
11/10/2001,0,129949,0,-129949
11/11/2001,0,125576,0,-125576
11/12/2001,0,121369,0,-121369
11/13/2001,0,117316,0,-117316
11/14/2001,0,113412,0,-113412
11/15/2001,0,109648,0,-109648
11/16/2001,0,106016,0,-106016
11/17/2001,0,102520,0,-102520
11/18/2001,0,99154,0,-99154
11/19/2001,0,95906.7,0,-95906.7
11/20/2001,0,115527,0,-115527
11/21/2001,0,90762.8,0,-90762.8
11/22/2001,0,88013.7,0,-88013.7
11/23/2001,0,85342.7,0,-85342.7
11/24/2001,0,121666,0,-121666
11/25/2001,0,827954,0,-827954
11/26/2001,0,207600,0,-207600
11/27/2001,0,282747,0,-282747
11/28/2001,0,344537,0,-344537
11/29/2001,0,394218,0,-394218
11/30/2001,0,857790,0,-857790
12/1/2001,0,611632,0,-611632
12/2/2001,0,523812,0,-523812
12/3/2001,0,389758,0,-389758
12/4/2001,0,311599,0,-311599
12/5/2001,0,261151,0,-261151
12/6/2001,0,276186,0,-276186
12/7/2001,0,257730,0,-257730
12/8/2001,0,1091284,0,-1091280
12/9/2001,0,524816,0,-524816
12/10/2001,0,500460,0,-500460
12/11/2001,0,503076,0,-503076
12/12/2001,0,468405,0,-468405
12/13/2001,0,579792,0,-579792
12/14/2001,0,1421313,0,-1421310
12/15/2001,0,904512,0,-904512
12/16/2001,0,682917,0,-682917
12/17/2001,0,1372610,0,-1372610
12/18/2001,0,1467503,0,-1467500
12/19/2001,0,1004786,0,-1004790
12/20/2001,0,852395,0,-852395
12/21/2001,0,721760,0,-721760
12/22/2001,0,599207,0,-599207
12/23/2001,0,575767,0,-575767
12/24/2001,0,634740,0,-634740
12/25/2001,0,513079,0,-513079
12/26/2001,0,451924,0,-451924
12/27/2001,0,412141,0,-412141
12/28/2001,0,383014,0,-383014
12/29/2001,0,360249,0,-360249
12/30/2001,0,341387,0,-341387
12/31/2001,0,324177,0,-324177
1/1/2002,0,306773,0,-306773
1/2/2002,0,291680,0,-291680
1/3/2002,0,278165,0,-278165
1/4/2002,0,265843,0,-265843
1/5/2002,0,254463,0,-254463
1/6/2002,0,824478,0,-824478
1/7/2002,0,387231,0,-387231
1/8/2002,0,277542,0,-277542
1/9/2002,0,287255,0,-287255
1/10/2002,0,272182,0,-272182
1/11/2002,0,841437,0,-841437
1/12/2002,0,385417,0,-385417
1/13/2002,0,500156,0,-500156
1/14/2002,0,585072,0,-585072
1/15/2002,0,521693,0,-521693
1/16/2002,0,419896,0,-419896
1/17/2002,0,385178,0,-385178
1/18/2002,0,354990,0,-354990
1/19/2002,0,511116,0,-511116
1/20/2002,0,315296,0,-315296
1/21/2002,0,356620,0,-356620
1/22/2002,0,538610,0,-538610
1/23/2002,0,696002,0,-696002
1/24/2002,0,2127594,0,-2127590
1/25/2002,0,763966,0,-763966
1/26/2002,0,727382,0,-727382
1/27/2002,0,663348,0,-663348
1/28/2002,0,595214,0,-595214
1/29/2002,0,531738,0,-531738
1/30/2002,0,789544,0,-789544
1/31/2002,0,736774,0,-736774
2/1/2002,0,1015274,0,-1015270
2/2/2002,0,495986,0,-495986
2/3/2002,0,439384,0,-439384
2/4/2002,0,421074,0,-421074
2/5/2002,0,381287,0,-381287
2/6/2002,0,365354,0,-365354
2/7/2002,0,355029,0,-355029
2/8/2002,0,336132,0,-336132
2/9/2002,0,309326,0,-309326
2/10/2002,0,520584,0,-520584
2/11/2002,0,379484,0,-379484
2/12/2002,0,355115,0,-355115
2/13/2002,0,340450,0,-340450
2/14/2002,0,326607,0,-326607
2/15/2002,0,312921,0,-312921
2/16/2002,0,296587,0,-296587
2/17/2002,0,281218,0,-281218
2/18/2002,0,260198,0,-260198
2/19/2002,0,243056,0,-243056
2/20/2002,0,324043,0,-324043
2/21/2002,0,235761,0,-235761
2/22/2002,0,218046,0,-218046
2/23/2002,0,207467,0,-207467
2/24/2002,0,198297,0,-198297
2/25/2002,0,189896,0,-189896
2/26/2002,0,319969,0,-319969
2/27/2002,0,184895,0,-184895
2/28/2002,0,177233,0,-177233
3/1/2002,0,170397,0,-170397
3/2/2002,0,683438,0,-683438
3/3/2002,0,904964,0,-904964
3/4/2002,0,502727,0,-502727
3/5/2002,0,547694,0,-547694
3/6/2002,0,536037,0,-536037
3/7/2002,0,495665,0,-495665
3/8/2002,0,444126,0,-444126
3/9/2002,0,1029964,0,-1029960
3/10/2002,0,566036,0,-566036
3/11/2002,0,439046,0,-439046
3/12/2002,0,367290,0,-367290
3/13/2002,0,527245,0,-527245
3/14/2002,0,324029,0,-324029
3/15/2002,0,292901,0,-292901
3/16/2002,0,301650,0,-301650
3/17/2002,0,352653,0,-352653
3/18/2002,0,663898,0,-663898
3/19/2002,0,425599,0,-425599
3/20/2002,0,1970643,0,-1970640
3/21/2002,0,924921,0,-924921
3/22/2002,0,856794,0,-856794
3/23/2002,0,766442,0,-766442
3/24/2002,0,667540,0,-667540
3/25/2002,0,572038,0,-572038
3/26/2002,0,1836439,0,-1836440
3/27/2002,0,1110476,0,-1110480
3/28/2002,0,789069,0,-789069
3/29/2002,0,630526,0,-630526
3/30/2002,0,534226,0,-534226
3/31/2002,0,867671,0,-867671
4/1/2002,0,593362,0,-593362
4/2/2002,0,532813,0,-532813
4/3/2002,0,570233,0,-570233
4/4/2002,0,451706,0,-451706
4/5/2002,0,412108,0,-412108
4/6/2002,0,383258,0,-383258
4/7/2002,0,360097,0,-360097
4/8/2002,0,334241,0,-334241
4/9/2002,0,502211,0,-502211
4/10/2002,0,354468,0,-354468
4/11/2002,0,326337,0,-326337
4/12/2002,0,308281,0,-308281
4/13/2002,0,500336,0,-500336
4/14/2002,0,2745827,0,-2745830
4/15/2002,0,1283938,0,-1283940
4/16/2002,0,1002768,0,-1002770
4/17/2002,0,784397,0,-784397
4/18/2002,0,807610,0,-807610
4/19/2002,0,788625,0,-788625
4/20/2002,0,639829,0,-639829
4/21/2002,0,616943,0,-616943
4/22/2002,0,608493,0,-608493
4/23/2002,0,459724,0,-459724
4/24/2002,0,407812,0,-407812
4/25/2002,0,630932,0,-630932
4/26/2002,0,440706,0,-440706
4/27/2002,0,652145,0,-652145
4/28/2002,0,3598309,0,-3598310
4/29/2002,0,1416049,0,-1416050
4/30/2002,0,1502919,0,-1502920
5/1/2002,0,1120568,0,-1120570
5/2/2002,0,2180734,0,-2180730
5/3/2002,0,1346746,0,-1346750
5/4/2002,0,1030450,0,-1030450
5/5/2002,0,829285,0,-829285
5/6/2002,0,658052,0,-658052
5/7/2002,0,568722,0,-568722
5/8/2002,0,520072,0,-520072
5/9/2002,0,1416499,0,-1416500
5/10/2002,0,733234,0,-733234
5/11/2002,0,653606,0,-653606
5/12/2002,0,1354552,0,-1354550
5/13/2002,0,4534234,0,-4534230
5/14/2002,0,2170893,0,-2170890
5/15/2002,0,1630306,0,-1630310
5/16/2002,0,1277819,0,-1277820
5/17/2002,0,1629600,0,-1629600
5/18/2002,0,4543670,0,-4543670
5/19/2002,0,2382887,0,-2382890
5/20/2002,0,1615488,0,-1615490
5/21/2002,0,1194216,0,-1194220
5/22/2002,0,1004335,0,-1004330
5/23/2002,0,889978,0,-889978
5/24/2002,0,807664,0,-807664
5/25/2002,0,737212,0,-737212
5/26/2002,0,684728,0,-684728
5/27/2002,0,628613,0,-628613
5/28/2002,0,686805,0,-686805
5/29/2002,0,607700,0,-607700
5/30/2002,0,547412,0,-547412
5/31/2002,0,566138,0,-566138
6/1/2002,0,495971,0,-495971
6/2/2002,0,470001,0,-470001
6/3/2002,0,446902,0,-446902
6/4/2002,0,430061,0,-430061
6/5/2002,0,561000,0,-561000
6/6/2002,0,3744853,0,-3744850
6/7/2002,0,1210173,0,-1210170
6/8/2002,0,1074455,0,-1074450
6/9/2002,0,948149,0,-948149
6/10/2002,0,802848,0,-802848
6/11/2002,0,683322,0,-683322
6/12/2002,0,1025568,0,-1025570
6/13/2002,0,781702,0,-781702
6/14/2002,0,1356739,0,-1356740
6/15/2002,0,1019622,0,-1019620
6/16/2002,0,728780,0,-728780
6/17/2002,0,639056,0,-639056
6/18/2002,0,1042372,0,-1042370
6/19/2002,0,1708630,0,-1708630
6/20/2002,0,981557,0,-981557
6/21/2002,0,789629,0,-789629
6/22/2002,0,633281,0,-633281
6/23/2002,0,540333,0,-540333
6/24/2002,0,507469,0,-507469
6/25/2002,0,452133,0,-452133
6/26/2002,0,427314,0,-427314
6/27/2002,0,1108717,0,-1108720
6/28/2002,0,575136,0,-575136
6/29/2002,0,477635,0,-477635
6/30/2002,0,433290,0,-433290
7/1/2002,0,397474,0,-397474
7/2/2002,0,366814,0,-366814
7/3/2002,0,341360,0,-341360
7/4/2002,0,320395,0,-320395
7/5/2002,0,301018,0,-301018
7/6/2002,0,286239,0,-286239
7/7/2002,0,273394,0,-273394
7/8/2002,0,261744,0,-261744
7/9/2002,0,274619,0,-274619
7/10/2002,0,243038,0,-243038
7/11/2002,0,233822,0,-233822
7/12/2002,0,224865,0,-224865
7/13/2002,0,216271,0,-216271
7/14/2002,0,209225,0,-209225
7/15/2002,0,201021,0,-201021
7/16/2002,0,192962,0,-192962
7/17/2002,0,185737,0,-185737
7/18/2002,0,178888,0,-178888
7/19/2002,0,193426,0,-193426
7/20/2002,0,167402,0,-167402
7/21/2002,0,161202,0,-161202
7/22/2002,0,155378,0,-155378
7/23/2002,0,317896,0,-317896
7/24/2002,0,155811,0,-155811
7/25/2002,0,150009,0,-150009
7/26/2002,0,145937,0,-145937
7/27/2002,0,139676,0,-139676
7/28/2002,0,147656,0,-147656
7/29/2002,0,130573,0,-130573
7/30/2002,0,123828,0,-123828
7/31/2002,0,117795,0,-117795
8/1/2002,0,112768,0,-112768
8/2/2002,0,113551,0,-113551
8/3/2002,0,156278,0,-156278
8/4/2002,0,103755,0,-103755
8/5/2002,0,160872,0,-160872
8/6/2002,0,101008,0,-101008
8/7/2002,0,96910.4,0,-96910.4
8/8/2002,0,93187.9,0,-93187.9
8/9/2002,0,89472.7,0,-89472.7
8/10/2002,0,85649.3,0,-85649.3
8/11/2002,0,81826.9,0,-81826.9
8/12/2002,0,78360.9,0,-78360.9
8/13/2002,0,74985.7,0,-74985.7
8/14/2002,0,72025.7,0,-72025.7
8/15/2002,0,88351,0,-88351
8/16/2002,0,67986.4,0,-67986.4
8/17/2002,0,65086.5,0,-65086.5
8/18/2002,0,62548.9,0,-62548.9
8/19/2002,0,61985.1,0,-61985.1
8/20/2002,0,125854,0,-125854
8/21/2002,0,59937.5,0,-59937.5
8/22/2002,0,138999,0,-138999
8/23/2002,0,82608.6,0,-82608.6
8/24/2002,0,610577,0,-610577
8/25/2002,0,154988,0,-154988
8/26/2002,0,160702,0,-160702
8/27/2002,0,154937,0,-154937
8/28/2002,0,268137,0,-268137
8/29/2002,0,1312536,0,-1312540
8/30/2002,0,590652,0,-590652
8/31/2002,0,459306,0,-459306
9/1/2002,0,1603089,0,-1603090
9/2/2002,0,769406,0,-769406
9/3/2002,0,553183,0,-553183
9/4/2002,0,414648,0,-414648
9/5/2002,0,321518,0,-321518
9/6/2002,0,245897,0,-245897
9/7/2002,0,206457,0,-206457
9/8/2002,0,182515,0,-182515
9/9/2002,0,160579,0,-160579
9/10/2002,0,147312,0,-147312
9/11/2002,0,138310,0,-138310
9/12/2002,0,131529,0,-131529
9/13/2002,0,125814,0,-125814
9/14/2002,0,121085,0,-121085
9/15/2002,0,1412994,0,-1412990
9/16/2002,0,396045,0,-396045
9/17/2002,0,354656,0,-354656
9/18/2002,0,381121,0,-381121
9/19/2002,0,370334,0,-370334
9/20/2002,0,336365,0,-336365
9/21/2002,0,524430,0,-524430
9/22/2002,0,668428,0,-668428
9/23/2002,0,427037,0,-427037
9/24/2002,0,306771,0,-306771
9/25/2002,0,247857,0,-247857
9/26/2002,0,2842018,0,-2842020
9/27/2002,0,5753688,0,-5753690
9/28/2002,0,2072522,0,-2072520
9/29/2002,0,1442483,0,-1442480
9/30/2002,0,1040245,0,-1040240
10/1/2002,0,813739,0,-813739
10/2/2002,0,674088,0,-674088
10/3/2002,0,716186,0,-716186
10/4/2002,0,895845,0,-895845
10/5/2002,0,641375,0,-641375
10/6/2002,0,509789,0,-509789
10/7/2002,0,451118,0,-451118
10/8/2002,0,413409,0,-413409
10/9/2002,0,402990,0,-402990
10/10/2002,0,1764818,0,-1764820
10/11/2002,0,10231542,0,-10231500
10/12/2002,0,2851361,0,-2851360
10/13/2002,0,2180398,0,-2180400
10/14/2002,0,1626463,0,-1626460
10/15/2002,0,1332607,0,-1332610
10/16/2002,0,7374244,0,-7374240
10/17/2002,0,3673416,0,-3673420
10/18/2002,0,2125418,0,-2125420
10/19/2002,0,1557101,0,-1557100
10/20/2002,0,1266307,0,-1266310
10/21/2002,0,1111637,0,-1111640
10/22/2002,0,1007652,0,-1007650
10/23/2002,0,927704,0,-927704
10/24/2002,0,858999,0,-858999
10/25/2002,0,1574330,0,-1574330
10/26/2002,0,1340927,0,-1340930
10/27/2002,0,1054096,0,-1054100
10/28/2002,0,1016328,0,-1016330
10/29/2002,0,1600923,0,-1600920
10/30/2002,0,1832970,0,-1832970
10/31/2002,0,1606385,0,-1606390
11/1/2002,0,1396909,0,-1396910
11/2/2002,0,1150492,0,-1150490
11/3/2002,0,990218,0,-990218
11/4/2002,0,891786,0,-891786
11/5/2002,0,1341626,0,-1341630
11/6/2002,0,1091096,0,-1091100
11/7/2002,0,924131,0,-924131
11/8/2002,0,831906,0,-831906
11/9/2002,0,764931,0,-764931
11/10/2002,0,710024,0,-710024
11/11/2002,0,806881,0,-806881
11/12/2002,0,2057110,0,-2057110
11/13/2002,0,1136751,0,-1136750
11/14/2002,0,1028231,0,-1028230
11/15/2002,0,934181,0,-934181
11/16/2002,0,3690053,0,-3690050
11/17/2002,0,4688765,0,-4688760
11/18/2002,0,2681266,0,-2681270
11/19/2002,0,1986889,0,-1986890
11/20/2002,0,1506866,0,-1506870
11/21/2002,0,1619184,0,-1619180
11/22/2002,0,1805775,0,-1805780
11/23/2002,0,1479867,0,-1479870
11/24/2002,0,1198464,0,-1198460
11/25/2002,0,1020930,0,-1020930
11/26/2002,0,1048570,0,-1048570
11/27/2002,0,986914,0,-986914
11/28/2002,0,889733,0,-889733
11/29/2002,0,826770,0,-826770
11/30/2002,0,764482,0,-764482
12/1/2002,0,714912,0,-714912
12/2/2002,0,682482,0,-682482
12/3/2002,0,639886,0,-639886
12/4/2002,0,604080,0,-604080
12/5/2002,0,570251,0,-570251
12/6/2002,0,539924,0,-539924
12/7/2002,0,512613,0,-512613
12/8/2002,0,487736,0,-487736
12/9/2002,0,464772,0,-464772
12/10/2002,0,443409,0,-443409
12/11/2002,0,568556,0,-568556
12/12/2002,0,410464,0,-410464
12/13/2002,0,1015079,0,-1015080
12/14/2002,0,791453,0,-791453
12/15/2002,0,472744,0,-472744
12/16/2002,0,760425,0,-760425
12/17/2002,0,563192,0,-563192
12/18/2002,0,480227,0,-480227
12/19/2002,0,486733,0,-486733
12/20/2002,0,3108825,0,-3108820
12/21/2002,0,905896,0,-905896
12/22/2002,0,1268663,0,-1268660
12/23/2002,0,1485304,0,-1485300
12/24/2002,0,1790473,0,-1790470
12/25/2002,0,4365126,0,-4365130
12/26/2002,0,1567278,0,-1567280
12/27/2002,0,1279210,0,-1279210
12/28/2002,0,1018246,0,-1018250
12/29/2002,0,870485,0,-870485
12/30/2002,0,775573,0,-775573
12/31/2002,0,692123,0,-692123
1/1/2003,0,3473990,0,-3473990
1/2/2003,0,1308917,0,-1308920
1/3/2003,0,1924560,0,-1924560
1/4/2003,0,1190783,0,-1190780
1/5/2003,0,1109382,0,-1109380
1/6/2003,0,1039677,0,-1039680
1/7/2003,0,925862,0,-925862
1/8/2003,0,855148,0,-855148
1/9/2003,0,747559,0,-747559
1/10/2003,0,673769,0,-673769
1/11/2003,0,612856,0,-612856
1/12/2003,0,567422,0,-567422
1/13/2003,0,530694,0,-530694
1/14/2003,0,499703,0,-499703
1/15/2003,0,472958,0,-472958
1/16/2003,0,449368,0,-449368
1/17/2003,0,428111,0,-428111
1/18/2003,0,408711,0,-408711
1/19/2003,0,390771,0,-390771
1/20/2003,0,373993,0,-373993
1/21/2003,0,358269,0,-358269
1/22/2003,0,343530,0,-343530
1/23/2003,0,329669,0,-329669
1/24/2003,0,316580,0,-316580
1/25/2003,0,304166,0,-304166
1/26/2003,0,292341,0,-292341
1/27/2003,0,281125,0,-281125
1/28/2003,0,270538,0,-270538
1/29/2003,0,260450,0,-260450
1/30/2003,0,250802,0,-250802
1/31/2003,0,330893,0,-330893
2/1/2003,0,665096,0,-665096
2/2/2003,0,1212809,0,-1212810
2/3/2003,0,2071159,0,-2071160
2/4/2003,0,5379252,0,-5379250
2/5/2003,0,1948994,0,-1948990
2/6/2003,0,1388099,0,-1388100
2/7/2003,0,1251170,0,-1251170
2/8/2003,0,1072237,0,-1072240
2/9/2003,0,898650,0,-898650
2/10/2003,0,1157244,0,-1157240
2/11/2003,0,718576,0,-718576
2/12/2003,0,590684,0,-590684
2/13/2003,0,513271,0,-513271
2/14/2003,0,464790,0,-464790
2/15/2003,0,430733,0,-430733
2/16/2003,0,404804,0,-404804
2/17/2003,0,383716,0,-383716
2/18/2003,0,363657,0,-363657
2/19/2003,0,422449,0,-422449
2/20/2003,0,481397,0,-481397
2/21/2003,0,751881,0,-751881
2/22/2003,0,4416500,0,-4416500
2/23/2003,0,4085517,0,-4085520
2/24/2003,0,2461926,0,-2461930
2/25/2003,0,1511533,0,-1511530
2/26/2003,0,1174012,0,-1174010
2/27/2003,0,958896,0,-958896
2/28/2003,0,1880335,0,-1880330
3/1/2003,0,3188618,0,-3188620
3/2/2003,0,5768444,0,-5768440
3/3/2003,0,1636412,0,-1636410
3/4/2003,0,1225679,0,-1225680
3/5/2003,0,2315672,0,-2315670
3/6/2003,0,2544048,0,-2544050
3/7/2003,0,1430849,0,-1430850
3/8/2003,0,2445459,0,-2445460
3/9/2003,0,2420654,0,-2420650
3/10/2003,0,1270425,0,-1270420
3/11/2003,0,1096275,0,-1096280
3/12/2003,0,1738055,0,-1738050
3/13/2003,0,2789642,0,-2789640
3/14/2003,0,1296637,0,-1296640
3/15/2003,0,1190648,0,-1190650
3/16/2003,0,1012669,0,-1012670
3/17/2003,0,895363,0,-895363
3/18/2003,0,815722,0,-815722
3/19/2003,0,756482,0,-756482
3/20/2003,0,6391286,0,-6391290
3/21/2003,0,1652373,0,-1652370
3/22/2003,0,1327094,0,-1327090
3/23/2003,0,1179781,0,-1179780
3/24/2003,0,1056069,0,-1056070
3/25/2003,0,953594,0,-953594
3/26/2003,0,1281116,0,-1281120
3/27/2003,0,1039934,0,-1039930
3/28/2003,0,895095,0,-895095
3/29/2003,0,1332638,0,-1332640
3/30/2003,0,1675589,0,-1675590
3/31/2003,0,1146138,0,-1146140
4/1/2003,0,1139429,0,-1139430
4/2/2003,0,1080023,0,-1080020
4/3/2003,0,919765,0,-919765
4/4/2003,0,900624,0,-900624
4/5/2003,0,1020496,0,-1020500
4/6/2003,0,827533,0,-827533
4/7/2003,0,1196936,0,-1196940
4/8/2003,0,1107888,0,-1107890
4/9/2003,0,1093346,0,-1093350
4/10/2003,0,916532,0,-916532
4/11/2003,0,2011947,0,-2011950
4/12/2003,0,1282210,0,-1282210
4/13/2003,0,1078536,0,-1078540
4/14/2003,0,931026,0,-931026
4/15/2003,0,797425,0,-797425
4/16/2003,0,699690,0,-699690
4/17/2003,0,655229,0,-655229
4/18/2003,0,656433,0,-656433
4/19/2003,0,565130,0,-565130
4/20/2003,0,520015,0,-520015
4/21/2003,0,546959,0,-546959
4/22/2003,0,501230,0,-501230
4/23/2003,0,454350,0,-454350
4/24/2003,0,431284,0,-431284
4/25/2003,0,474564,0,-474564
4/26/2003,0,851807,0,-851807
4/27/2003,0,505412,0,-505412
4/28/2003,0,484901,0,-484901
4/29/2003,0,519815,0,-519815
4/30/2003,0,449996,0,-449996
5/1/2003,0,419072,0,-419072
5/2/2003,0,404421,0,-404421
5/3/2003,0,369566,0,-369566
5/4/2003,0,338485,0,-338485
5/5/2003,0,335520,0,-335520
5/6/2003,0,302856,0,-302856
5/7/2003,0,419954,0,-419954
5/8/2003,0,318244,0,-318244
5/9/2003,0,327168,0,-327168
5/10/2003,0,280212,0,-280212
5/11/2003,0,331188,0,-331188
5/12/2003,0,283373,0,-283373
5/13/2003,0,261096,0,-261096
5/14/2003,0,249075,0,-249075
5/15/2003,0,234243,0,-234243
5/16/2003,0,328885,0,-328885
5/17/2003,0,236783,0,-236783
5/18/2003,0,234701,0,-234701
5/19/2003,0,212992,0,-212992
5/20/2003,0,240303,0,-240303
5/21/2003,0,281845,0,-281845
5/22/2003,0,208284,0,-208284
5/23/2003,0,288706,0,-288706
5/24/2003,0,431160,0,-431160
5/25/2003,0,496774,0,-496774
5/26/2003,0,1733281,0,-1733280
5/27/2003,0,820876,0,-820876
5/28/2003,0,1048092,0,-1048090
5/29/2003,0,716808,0,-716808
5/30/2003,0,575910,0,-575910
5/31/2003,0,2306242,0,-2306240
6/1/2003,0,3529279,0,-3529280
6/2/2003,0,1668322,0,-1668320
6/3/2003,0,3585788,0,-3585790
6/4/2003,0,3068585,0,-3068580
