Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Cannonsville Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Cannonsville Reservoir","Increase in Storage for Cannonsville Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
2/13/2002, ,-1587610,2556531,-14791.6,-954132
2/14/2002, ,-1255870,2220684,-6806.6,-958003
2/15/2002, ,-2239410,3208112,-14568.5,-954132
2/16/2002, ,-3949530,4873654,30011.3,-954132
2/17/2002, ,-3440250,4357886,36499.2,-954132
2/18/2002, ,-2246780,3211738,-10822.1,-954132
2/19/2002, ,-1882820,3138045,-20227.6,-1235000
2/20/2002, ,-4038320,5383542,-20468.2,-1324750
2/21/2002, ,-4149710,5329404,14176.8,-1193880
2/22/2002, ,-3396040,4616991,-12079.6,-1208870
2/23/2002, ,-1795560,3023130,-18694.7,-1208870
2/24/2002, ,-1220340,2422989,-27638.5,-1175010
2/25/2002, ,-955262,2048151,-30134.2,-1062750
2/26/2002, ,-1526970,2627042,-33444.7,-1066630
2/27/2002, ,-785232,1826127,25729.9,-1066630
2/28/2002, ,-140478,1415905,-14298.5,-1261130
3/1/2002,108260, ,1199840,-24473,-1283630
3/2/2002, ,-594107,1375841,-25975.1,-755758
3/3/2002, ,-1340760,2653488,-21599.6,-1291130
3/4/2002, ,-329035,1524844,95317.8,-1291130
3/5/2002,168508, ,1135637,-13018.8,-1291130
3/6/2002,226925, ,1084164,-19962,-1291130
3/7/2002,235864, ,1074666,-19402.2,-1291130
3/8/2002,346935, ,981116,-40794.5,-1287260
3/9/2002, ,-946054,2314571,-47391.5,-1321130
3/10/2002,50405, ,1194026,76694.2,-1321130
3/11/2002,329433, ,1037470,-45777.7,-1321130
3/12/2002,267598, ,1086560,-29404.6,-1324750
3/13/2002,231108, ,1114410,-20763.9,-1324750
3/14/2002,345322, ,1002794,-23362.1,-1324750
3/15/2002,486529, ,869624,-31399.1,-1324750
3/16/2002, ,-223287,1609042,-61000.5,-1324750
3/17/2002,272651, ,977491,74611.4,-1324750
3/18/2002,284584, ,1069674,-29504.2,-1324750
3/19/2002,186070, ,1142466,-3782.39,-1324750
3/20/2002, ,-894301,2222618,-3563.34,-1324750
3/21/2002, ,-378772,1614388,89138.1,-1324750
3/22/2002,9873.43, ,1138135,173117,-1321130
3/23/2002,265569, ,1087566,-32010.2,-1321130
3/24/2002, ,-247981,1598081,-25346.7,-1324750
3/25/2002, ,-165258,1509624,-23241.2,-1321130
3/26/2002, ,-6560140,7875734,9161.57,-1324750
3/27/2002, ,-8973460,10057343,240872,-1324750
3/28/2002, ,-6656520,7650868,326773,-1321130
3/29/2002, ,-4983840,6098353,157981,-1272500
3/30/2002, ,-3686970,4570356,85743.8,-969132
3/31/2002, ,-3142860,4162684,-65692.7,-954132
4/1/2002, ,-2549560,3522427,-18731.8,-954132
4/2/2002, ,-1602380,2563012,-10129,-950504
4/3/2002, ,-1642410,2646132,-49584.7,-954132
4/4/2002, ,-781833,1739650,-3684.26,-954132
4/5/2002, ,-311669,1307716,-41915.3,-954132
4/6/2002, ,-266693,1081804,-36853.9,-778257
4/7/2002,69303.5, ,946642,-27944.6,-988001
4/8/2002,143718, ,876074,-28161.4,-991630
4/9/2002, ,-469847,1495438,-37589,-988001
4/10/2002, ,-152593,1121198,23025.4,-991630
4/11/2002,160538, ,896848,-69384.7,-988001
4/12/2002,216836, ,832277,-61111.4,-988001
4/13/2002, ,-380961,1666607,-65643.6,-1220000
4/14/2002, ,-2829970,4009652,40324.9,-1220000
4/15/2002, ,-1733100,2788370,168365,-1223630
4/16/2002, ,-656266,1848652,-43508,-1148880
4/17/2002, ,-533149,1690989,-102585,-1055260
4/18/2002,50685.2, ,1331526,-79956.4,-1302260
4/19/2002,305044, ,1129269,-109559,-1324750
4/20/2002,264721, ,1170330,-102798,-1332250
4/21/2002,361675, ,1021355,-50776.9,-1332250
4/22/2002,361965, ,1019199,-52539.6,-1328620
4/23/2002,486453, ,871346,-25546,-1332250
4/24/2002,616341, ,761575,-53162.2,-1324750
4/25/2002, ,-546664,1925063,-57274.2,-1321130
4/26/2002, ,-526717,1334250,135471,-943004
4/27/2002,181182, ,1123496,-54676.8,-1250000
4/28/2002, ,-5150200,6446090,-34759.8,-1261130
4/29/2002, ,-3260450,3925628,595947,-1261130
4/30/2002, ,-3608910,3859543,-41375.6,-209261
5/1/2002, ,-2743480,3180830,10202.8,-447552
5/2/2002, ,-2707120,4079519,-63850.6,-1308550
5/3/2002, ,-1261750,3259590,83867.1,-2081710
5/4/2002, ,-131579,2388120,-67976.1,-2188560
5/5/2002, ,-131579,1876880,-66084.5,-1679220
5/6/2002, ,-131579,1646215,-76174.5,-1438460
5/7/2002,129609, ,1434814,-53874.5,-1510550
5/8/2002,393088, ,1244314,-74356.5,-1563050
5/9/2002, ,-362579,1975808,-50184.5,-1563050
5/10/2002,87517.1, ,1354224,117433,-1559170
5/11/2002,598101, ,1043221,-85776.6,-1555550
5/12/2002, ,-1211110,2834580,-67926.1,-1555550
5/13/2002, ,-555680,8904474,219176,-8567970
5/14/2002, ,-131579,7253784,483594,-7605800
5/15/2002, ,-131579,4354434,18485.4,-4241340
5/16/2002, ,-131579,4041657,-77029.8,-3833050
5/17/2002, ,-131579,4358172,-46076.8,-4180520
5/18/2002, ,-131579,8353724,11381.3,-8233530
5/19/2002, ,-131579,6400372,320433,-6589230
5/20/2002, ,-131579,3986838,-64099,-3791160
5/21/2002, ,-131579,2819560,-60933.9,-2627050
5/22/2002, ,-131579,1989818,-61608.7,-1796630
5/23/2002,146714, ,1491313,-82481,-1555550
5/24/2002,384172, ,1258069,-83066.9,-1559170
5/25/2002,608223, ,1043638,-92686,-1559170
5/26/2002,709454, ,935052,-85332,-1559170
5/27/2002, ,-386147,2026984,-81662,-1559170
5/28/2002, ,-915118,2534366,-60073.2,-1559170
5/29/2002,278407, ,1909895,22120.7,-2210420
5/30/2002,241345, ,2126196,-89622.7,-2277920
5/31/2002, ,-1481790,3632662,127047,-2277920
6/1/2002,110061, ,2441868,190994,-2742920
6/2/2002,881203, ,1866600,-99054.8,-2648750
6/3/2002,1282246, ,1579757,-102376,-2759630
6/4/2002,1477373, ,1476196,-86229,-2867340
6/5/2002, ,-2028980,7327393,-65896.6,-5232510
6/6/2002,655738, ,13988328,521185,-15165300
6/7/2002,655738, ,8493914,405393,-9555040
6/8/2002,655738, ,4442456,-91328.3,-5006870
6/9/2002,655738, ,2982501,-109669,-3528570
6/10/2002,803399, ,2168993,-116561,-2855830
6/11/2002,1456712, ,1643276,-112414,-2987570
6/12/2002,1404840, ,1834264,-123802,-3115300
6/13/2002,1442799, ,1403605,-33358.3,-2813050
6/14/2002,186141, ,2333109,-111835,-2407420
6/15/2002, ,-1359460,3977072,214964,-2832570
6/16/2002,655738, ,4200360,214594,-5070690
6/17/2002,655738, ,2693059,20841.6,-3369640
6/18/2002,791940, ,2049612,-88329.9,-2753220
6/19/2002,1695337, ,1665533,-58628.1,-3302240
6/20/2002,2058736, ,1356800,-107965,-3307570
6/21/2002,2345024, ,1138283,-113385,-3369920
6/22/2002,1759186, ,1287295,-119215,-2927270
6/23/2002,1457004, ,1627578,-11587.5,-3072990
6/24/2002,1585563, ,1172200,69278.9,-2827040
6/25/2002,2227582, ,1344124,-129496,-3442210
6/26/2002,745422, ,2119912,66108.5,-2931440
6/27/2002,740331, ,2127186,41893.4,-2909410
6/28/2002,923937, ,1571478,-41119.9,-2454300
6/29/2002,1610178, ,1080715,-115367,-2575530
6/30/2002,1995597, ,935428,-114460,-2816570
7/1/2002,1566257, ,817930,-121717,-2262470
7/2/2002,2240495, ,727532,-132251,-2835780
7/3/2002,2188552, ,660606,-141310,-2707850
7/4/2002,2049505, ,663316,-142933,-2569890
7/5/2002,2253881, ,612921,-123000,-2743800
7/6/2002,2057886, ,570538,-127384,-2501040
7/7/2002,2010435, ,554464,-111796,-2453100
7/8/2002,2065004, ,543575,-108370,-2500210
7/9/2002,2496214, ,655255,-117531,-3033940
7/10/2002,1951423, ,557121,3928.59,-2512470
7/11/2002,2273236, ,537261,-116027,-2694470
7/12/2002,2328998, ,525660,-95279.3,-2759380
7/13/2002,2406221, ,518768,-90916.2,-2834070
7/14/2002,2384857, ,513005,-84970.6,-2812890
7/15/2002,2225827, ,508564,-120499,-2613890
7/16/2002,2847112, ,503851,-112761,-3238200
7/17/2002,2517831, ,499637,-115080,-2902390
7/18/2002,2612259, ,529549,-118739,-3023070
7/19/2002,1686036, ,1132530,-108797,-2709770
7/20/2002,1691121, ,858443,47605.7,-2597170
7/21/2002,3038482, ,525327,-122986,-3440820
7/22/2002,2101024, ,524878,-120707,-2505200
7/23/2002,1848827, ,1278158,-132375,-2994610
7/24/2002,1511187, ,1052260,126004,-2689450
7/25/2002,2834056, ,672848,-112315,-3394590
7/26/2002,2158604, ,750330,-109015,-2799920
7/27/2002,2614817, ,839582,-75138.8,-3379260
7/28/2002,3092752, ,823362,-69736.4,-3846380
7/29/2002,2790463, ,620911,-69460.9,-3341910
7/30/2002,3036077, ,566955,-115075,-3487960
7/31/2002,2793332, ,528260,-108721,-3212870
8/1/2002,2614134, ,504495,-104478,-3014150
8/2/2002,1685599, ,800974,-110338,-2376240
8/3/2002,2132321, ,574305,33976.5,-2740600
8/4/2002,2615873, ,528834,-110938,-3033770
8/5/2002,3050676, ,1113293,-102459,-4061510
8/6/2002,2251762, ,882941,25073.3,-3159780
8/7/2002,2591740, ,562038,-90853.6,-3062920
8/8/2002,3556255, ,550703,-79868.6,-4027090
8/9/2002,2481504, ,537682,-81402,-2937780
8/10/2002,3552335, ,517381,-84123.1,-3985590
8/11/2002,3601380, ,497541,-91759.4,-4007160
8/12/2002,3044418, ,481725,-103296,-3422850
8/13/2002,3521786, ,468256,-99101.8,-3890940
8/14/2002,2650812, ,495916,-98328.3,-3048400
8/15/2002,2755534, ,479569,-84107.2,-3151000
8/16/2002,2701789, ,609579,-71881.1,-3239490
8/17/2002,3557572, ,606729,-93841,-4070460
8/18/2002,3559016, ,459945,-107923,-3911040
8/19/2002,3712124, ,605936,-106319,-4211740
8/20/2002,3001166, ,551332,-3813.55,-3548680
8/21/2002,2574208, ,485805,-79896.4,-2980120
8/22/2002,3461964, ,557382,-84060.2,-3935290
8/23/2002,3454634, ,571570,-13993.3,-4012210
8/24/2002, ,-134359,3526270,-59891.6,-3332020
8/25/2002,804849, ,1950549,320069,-3075470
8/26/2002,2250256, ,998372,-80351.4,-3168280
8/27/2002,3069087, ,981489,-81293.4,-3969280
8/28/2002,3645318, ,948851,-83214.3,-4510960
8/29/2002,33547.1, ,3141218,-69490.7,-3105270
8/30/2002,976904, ,2707868,67320.1,-3752090
8/31/2002,2323603, ,1693870,-77392.8,-3940080
9/1/2002,2104089, ,1338676,-79282.4,-3363480
9/2/2002,2296623, ,1037570,-60981.2,-3273210
9/3/2002,1293365, ,2752267,-59620.3,-3986010
9/4/2002,87602.2, ,2606424,60786.1,-2754810
9/5/2002,1905649, ,1589305,15857.9,-3510810
9/6/2002,2886105, ,1211029,-64051.3,-4033080
9/7/2002,1601078, ,975413,-55407.8,-2521080
9/8/2002,2409279, ,819690,-59886,-3169080
9/9/2002,2538746, ,712528,-64461.8,-3186810
9/10/2002,3413500, ,636527,-67643.2,-3982380
9/11/2002,2482256, ,574788,-72130.9,-2984910
9/12/2002,1846432, ,530891,-61906.5,-2315420
9/13/2002,1597468, ,494683,-43813.8,-2048340
9/14/2002,2477774, ,477648,-53039.2,-2902380
9/15/2002,1981233, ,1154834,-57255.3,-3078810
9/16/2002,2034564, ,1358935,81889,-3475390
9/17/2002,1446770, ,917082,811.827,-2364660
9/18/2002,2384084, ,648707,-57175.9,-2975620
9/19/2002,1842798, ,644017,-51199.1,-2435620
9/20/2002,2009209, ,629616,-52008.2,-2586820
9/21/2002,1059330, ,1006457,-62171.4,-2003620
9/22/2002, ,-11629500,14016467,27045.2,-2414020
9/23/2002, ,-7288900,8765711,764405,-2241220
9/24/2002, ,-2127360,4464175,12402.4,-2349220
9/25/2002, ,-1794390,3585198,-46387.8,-1744420
9/26/2002, ,-1447550,3756327,-45958.9,-2262820
9/27/2002, ,-10131500,11827820,4870.19,-1701220
9/28/2002, ,-7646800,9195522,346897,-1895620
9/29/2002, ,-1790370,5102560,-34178,-3278020
9/30/2002, ,-950632,3179294,-52246.9,-2176420
10/1/2002, ,-66498.5,2030632,-52101.1,-1912030
10/2/2002,157177, ,2145233,-63312.8,-2239100
10/3/2002,554834, ,1972620,45259.4,-2572710
10/4/2002,1230893, ,1659171,-19130.8,-2870930
10/5/2002,1257632, ,1357920,-38518.4,-2577030
10/6/2002,678941, ,1041912,-51994.6,-1668860
10/7/2002,1302981, ,887304,-37308.5,-2152980
10/8/2002,580585, ,825094,-42287.2,-1363390
10/9/2002,1339296, ,757908,-29513.4,-2067690
10/10/2002,1833878, ,849615,-34134.5,-2649360
10/11/2002, ,-2207430,3985888,12333.2,-1790790
10/12/2002, ,-5473890,6429064,321540,-1276710
10/13/2002, ,-2938940,4858996,225810,-2145870
10/14/2002, ,-1424550,3199952,14412.5,-1789820
10/15/2002, ,-909573,2838538,-38393.8,-1890570
10/16/2002, ,-15031300,16769058,-29856.2,-1707880
10/17/2002, ,-11501200,13079244,700198,-2278260
10/18/2002, ,-5408330,7451627,2931.13,-2046230
10/19/2002, ,-4136090,6152642,-23418.7,-1993140
10/20/2002, ,-2527090,4306457,24111.4,-1803470
10/21/2002, ,-1578690,2889171,-32511,-1277970
10/22/2002, ,-273332,2188764,-30295.1,-1885140
10/23/2002, ,-811174,1811016,-25249.2,-974592
10/24/2002,525606, ,1472458,-30536.9,-1967530
10/25/2002,605530, ,1660255,-26843.3,-2238940
10/26/2002, ,-186815,2890655,81534.4,-2785370
10/27/2002, ,-488988,2903946,154115,-2569070
10/28/2002,643386, ,1908051,-339.718,-2551100
10/29/2002,534452, ,1687299,-27541.8,-2194210
10/30/2002,1010835, ,1595879,-23286.8,-2583430
10/31/2002,870078, ,1510270,-25045.4,-2355300
11/1/2002,542249, ,1510761,-22264.2,-2030750
11/2/2002,773242, ,1395514,-3226.8,-2165530
11/3/2002,541082, ,1297404,-8763.51,-1829720
11/4/2002,878841, ,1269494,-10453.8,-2137880
11/5/2002,664153, ,1585527,-11401.8,-2238280
11/6/2002, ,-721574,2845228,53971.8,-2177630
11/7/2002, ,-252070,1964760,77864,-1790550
11/8/2002,124460, ,1674340,-14870.7,-1783930
11/9/2002, ,-714536,1552009,-23584.9,-813888
11/10/2002, ,-572354,1516524,-30922.8,-913248
11/11/2002, ,-1017420,1667522,-35511.9,-614592
11/12/2002, ,-5525090,6305270,-16401.6,-763776
11/13/2002, ,-2653510,3238966,242259,-827712
11/14/2002, ,-1550460,2154159,-16177.8,-587520
11/15/2002, ,-1374020,2136277,-26704.5,-735552
11/16/2002, ,-3398950,4053155,-12248.9,-641952
11/17/2002, ,-2719710,3311763,174030,-766080
11/18/2002, ,-2135330,2569568,157030,-591264
11/19/2002, ,-1827850,2306067,7354.91,-485568
11/20/2002, ,-1422370,1947971,-9505.04,-516096
11/21/2002, ,-1496490,1912479,-20273.4,-395712
11/22/2002, ,-3196030,3584978,8487.72,-397440
11/23/2002, ,-3280790,3570787,192110,-482112
11/24/2002, ,-3413990,3801178,22059.2,-409248
11/25/2002, ,-3712330,4002064,42045.1,-331776
11/26/2002, ,-3630460,3915205,15930.2,-300672
11/27/2002, ,-2907000,3207068,1183.23,-301248
11/28/2002, ,-2264080,2568710,-6547.8,-298080
11/29/2002, ,-1974890,2269422,-10567,-283968
11/30/2002, ,-1812140,2052398,-11585.5,-228672
12/1/2002, ,-1484870,1697670,-7166.27,-205632
12/2/2002, ,-1220320,1437335,-11388.4,-205632
12/3/2002, ,-1028310,1247948,-14004.9,-205632
12/4/2002, ,-886146,1103396,-11618.7,-205632
12/5/2002, ,-779900,996375,-10843.2,-205632
12/6/2002, ,-701415,919286,-12238.6,-205632
12/7/2002, ,-641924,862349,-14792.4,-205632
12/8/2002, ,-600578,818299,-12089,-205632
12/9/2002, ,-563659,783551,-14260,-205632
12/10/2002, ,-539539,755637,-10465.8,-205632
12/11/2002, ,-680862,896330,-9835.41,-205632
12/12/2002, ,-671238,889740,-12870.5,-205632
12/13/2002, ,-805500,1018088,-6956.05,-205632
12/14/2002, ,-1294710,1469626,30720.4,-205632
12/15/2002, ,-977242,1116039,66835,-205632
12/16/2002, ,-571779,788426,-11015.1,-205632
12/17/2002, ,-551931,763135,-5571.68,-205632
12/18/2002, ,-537953,756415,-12829.8,-205632
12/19/2002, ,-533713,751004,-11658.9,-205632
12/20/2002, ,-1772560,1994382,-16191,-205632
12/21/2002, ,-1490630,1636061,60204.7,-205632
12/22/2002, ,-655865,879996,-18498.5,-205632
12/23/2002, ,-631065,857748,-21050.5,-205632
12/24/2002, ,-611837,838774,-21304.8,-205632
12/25/2002, ,-594553,816706,-16521.1,-205632
12/26/2002, ,-575016,797067,-16419.1,-205632
12/27/2002, ,-557243,778523,-15647.9,-205632
12/28/2002, ,-528314,750497,-16551.5,-205632
12/29/2002, ,-498786,717308,-12890.1,-205632
12/30/2002, ,-465426,689214,-18155.6,-205632
12/31/2002, ,-552083,773925,-16209.8,-205632
1/1/2003, ,-1813490,2005774,13343.2,-205632
1/2/2003, ,-1001690,934317,273009,-205632
1/3/2003, ,-552484,774598,-16481.8,-205632
1/4/2003, ,-548401,769501,-15467.5,-205632
1/5/2003, ,-541110,763103,-16360.3,-205632
1/6/2003, ,-533762,755775,-16380.5,-205632
1/7/2003, ,-526634,747798,-15531.5,-205632
1/8/2003, ,-519586,737868,-12650.1,-205632
1/9/2003, ,-553642,772628,-13353.8,-205632
1/10/2003, ,-478578,694098,-9887.81,-205632
1/11/2003, ,-441484,663724,-16608.9,-205632
1/12/2003, ,-424596,642388,-12160.1,-205632
1/13/2003, ,-404375,623978,-13971.1,-205632
1/14/2003, ,-392110,608165,-10423.8,-205632
1/15/2003, ,-380020,594497,-8844.8,-205632
1/16/2003, ,-367620,582416,-9164.02,-205632
1/17/2003, ,-355132,571421,-10656.4,-205632
1/18/2003, ,-346493,561761,-9636.14,-205632
1/19/2003, ,-340599,553147,-6915.83,-205632
1/20/2003, ,-331103,545178,-8442.93,-205632
1/21/2003, ,-322269,537867,-9965.84,-205632
1/22/2003, ,-318099,531267,-7536.37,-205632
1/23/2003, ,-312915,525249,-6701.37,-205632
1/24/2003, ,-127579,519619,-6662,-385379
1/25/2003, ,-301320,514184,-7231.52,-205632
1/26/2003, ,-292463,508808,-10712.7,-205632
1/27/2003, ,-285748,503720,-12339.9,-205632
1/28/2003, ,-284426,499129,-9071.51,-205632
1/29/2003, ,-281516,494691,-7542.1,-205632
1/30/2003, ,-271222,490225,-13371,-205632
1/31/2003, ,-268684,485812,-11495.4,-205632
2/1/2003, ,-501392,720322,-13298.3,-205632
2/2/2003, ,-862135,1049861,17906.8,-205632
2/3/2003, ,-703191,828879,79944.3,-205632
2/4/2003, ,-2126520,2165441,166715,-205632
2/5/2003, ,-1783090,1568790,419936,-205632
2/6/2003,187672, ,744301,205777,-1137750
2/7/2003,536818, ,787814,-14877.1,-1309750
2/8/2003, ,-590154,811642,-12227.1,-209261
2/9/2003, ,-594471,811254,-11151.4,-205632
2/10/2003, ,-563519,784852,-15700.8,-205632
2/11/2003, ,-523865,744404,-14906.7,-205632
2/12/2003, ,-469140,687036,-12263.4,-205632
2/13/2003,516355, ,635516,-10492.4,-1141380
2/14/2003,722530, ,598067,-10841.5,-1309750
2/15/2003,749104, ,570207,-9555.81,-1309750
2/16/2003, ,-330025,549005,-9719.72,-209261
2/17/2003, ,-314442,532353,-12278.4,-205632
2/18/2003, ,-297290,518547,-15624.7,-205632
2/19/2003, ,-403167,506646,102153,-205632
2/20/2003, ,-488373,713373,-19367.9,-205632
2/21/2003, ,-1356370,1460563,101435,-205632
2/22/2003, ,-4853370,5081301,-22303.5,-205632
2/23/2003, ,-3484540,3401570,288601,-205632
2/24/2003, ,-1194230,1096506,303359,-205632
2/25/2003, ,-956487,1180660,-18540.4,-205632
2/26/2003, ,-1019370,1239912,-14907.3,-205632
2/27/2003, ,-67495.1,1269204,-11704.8,-1190000
2/28/2003,72842, ,1257368,-16584,-1313630
3/1/2003, ,-424599,1678050,60174.7,-1313630
3/2/2003, ,-3485900,4540408,259119,-1313630
3/3/2003, ,-1610680,2528728,395580,-1313630
3/4/2003, ,-102454,1435428,-19348.7,-1313630
3/5/2003, ,-3130640,4461134,-16866.2,-1313630
3/6/2003, ,-2400980,3524679,189926,-1313630
3/7/2003, ,-1166380,1790723,315031,-939375
3/8/2003, ,-3226340,4180708,-14995.8,-939375
3/9/2003, ,-2576330,3305962,209739,-939375
3/10/2003, ,-535168,1888555,309290,-1662680
3/11/2003, ,-131579,1654543,-16698.7,-1506270
3/12/2003, ,-131579,4903950,-14923.5,-4757450
3/13/2003, ,-131579,4509605,203573,-4581600
3/14/2003, ,-131579,1956261,353339,-2178020
3/15/2003, ,-131579,6104186,-22980.2,-5949630
3/16/2003, ,-131579,11313073,110571,-11292100
3/17/2003, ,-131579,17385644,-16607.9,-17237500
3/18/2003, ,-131579,22700996,-54915,-22514500
3/19/2003, ,-131579,26994930,-49583.8,-26813800
3/20/2003, ,-131579,36512584,-38165.9,-36342800
3/21/2003, ,-131579,32865600,280344,-33014400
3/22/2003, ,-131579,18858306,69608.3,-18796300
3/23/2003, ,-131579,8336614,-44585.5,-8160450
3/24/2003, ,-131579,4801037,-48767.7,-4620690
3/25/2003, ,-131579,3107629,-45917.4,-2930130
3/26/2003, ,-131579,2826656,-55731.2,-2639350
3/27/2003, ,-131579,1838501,18541.9,-1725460
3/28/2003, ,-131579,1422224,-49818.5,-1240830
3/29/2003, ,-131579,2528909,-55393.5,-2341940
3/30/2003, ,-131579,2196420,146880,-2211720
3/31/2003, ,-131579,1544662,76093.7,-1489180
4/1/2003, ,-131579,1435123,-31888.7,-1271660
4/2/2003, ,-131579,2321768,-21629.4,-2168560
4/3/2003, ,-131579,2681527,10431,-2560380
4/4/2003, ,-131579,2732711,77790,-2678920
4/5/2003, ,-131579,3501763,31533.3,-3401720
4/6/2003, ,-131579,2669396,50646,-2588460
4/7/2003, ,-131579,2223774,-20724.9,-2071470
4/8/2003, ,-131579,2708265,-30731.7,-2545950
4/9/2003, ,-131579,3243993,7468.77,-3119880
4/10/2003, ,-131579,3339589,111758,-3319770
4/11/2003, ,-131579,3821157,66160.3,-3755740
4/12/2003, ,-131579,2705512,24351.5,-2598280
4/13/2003, ,-131579,1988878,-50341.5,-1806960
4/14/2003, ,-131579,1640824,-56022.6,-1453220
4/15/2003, ,-131579,1396515,-60972.6,-1203960
4/16/2003, ,-131579,1193538,-81755.4,-980204
4/17/2003, ,-131579,1040043,-91219.4,-817245
4/18/2003, ,-131579,1217649,-76059.5,-1010010
4/19/2003, ,-131579,976988,-12008.5,-833401
4/20/2003, ,-131579,829805,-46038.5,-652188
4/21/2003, ,-131579,1001631,-78700.5,-791351
4/22/2003, ,-131579,1575382,20669.3,-1464470
4/23/2003, ,-131579,1271952,117397,-1257770
4/24/2003, ,-131579,1023208,-37087.8,-854541
4/25/2003, ,-131579,945165,-43384.1,-770202
4/26/2003, ,-131579,4612661,-66130.7,-4414950
4/27/2003, ,-131579,3094003,403171,-3365600
4/28/2003, ,-131579,1985940,-81308.7,-1773050
4/29/2003, ,-131579,1846243,-81559.6,-1633100
4/30/2003, ,-131579,1619582,-85965.7,-1402040
5/1/2003, ,-131579,4817544,-72014.5,-4613950
5/2/2003, ,-131579,5170428,175386,-5214240
5/3/2003, ,-131579,3596939,3939.93,-3469300
5/4/2003, ,-131579,2453707,-77772.8,-2244360
5/5/2003, ,-131579,2136728,-74167.2,-1930980
5/6/2003, ,-105245,1693827,-33036.5,-1555550
5/7/2003,147892, ,1471053,-63400,-1555550
5/8/2003,23861.4, ,1586513,-58699.8,-1551670
5/9/2003,313266, ,1275618,-37209.6,-1551670
5/10/2003,638762, ,991037,-78123.8,-1551670
5/11/2003, ,-1108910,2748855,-88268.7,-1551670
5/12/2003, ,-830678,2589549,135652,-1894520
5/13/2003, ,-131579,2073066,-39778.8,-1901710
5/14/2003, ,-131579,1697516,-22562.3,-1543370
5/15/2003, ,-131579,1374056,-66291.8,-1176190
5/16/2003, ,-131579,1230406,-81192.2,-1017630
5/17/2003, ,-131579,1105737,-87461.2,-886697
5/18/2003, ,-131579,1006023,-87961.9,-786482
5/19/2003, ,-131579,886036,-87507.3,-666950
5/20/2003, ,-131579,912502,-89205.3,-691718
5/21/2003, ,-131579,1001738,-67282.1,-802877
5/22/2003,783285, ,820857,-52467.3,-1551670
5/23/2003,53586.9, ,746788,-79694.8,-720680
5/24/2003, ,-918862,1428060,-61646.8,-447552
5/25/2003, ,-444326,1091497,76233.6,-723405
5/26/2003, ,-131579,2229524,-97142.3,-2000800
5/27/2003, ,-131579,1914445,76003,-1858870
5/28/2003, ,-131579,1474921,-89736.2,-1253610
5/29/2003, ,-131579,1387266,-49073.1,-1206610
5/30/2003, ,-131579,1156824,-93518.7,-931726
5/31/2003, ,-131579,3547351,-102036,-3313740
6/1/2003, ,-131579,9145241,358206,-9371870
6/2/2003,655738, ,6274182,382927,-7312850
6/3/2003,655738, ,3775026,-80450.8,-4350310
6/4/2003,655738, ,3237261,-25093.5,-3867910
6/5/2003,655738, ,2905471,-24051.3,-3537160
6/6/2003,655738, ,2089322,-51368.7,-2693690
6/7/2003,655738, ,2895904,-104558,-3447080
6/8/2003,655738, ,2160094,71543.2,-2887380
6/9/2003,655738, ,1421300,-102535,-1974500
6/10/2003,655738, ,1064851,-103325,-1617260
6/11/2003,655738, ,1673766,-98422.4,-2231080
6/12/2003,655738, ,2706394,77818,-3439950
6/13/2003,655738, ,4910822,98373.5,-5664930
6/14/2003,655738, ,2879479,185089,-3720310
6/15/2003,655738, ,1798640,-92243.8,-2362130
6/16/2003,655738, ,1463334,-111065,-2008010
6/17/2003,655738, ,1314298,-96528,-1873510
6/18/2003,655738, ,1689141,-66815.1,-2278060
6/19/2003,655738, ,1301733,13331.1,-1970800
6/20/2003,655738, ,5942401,-87677.8,-6510460
6/21/2003,655738, ,6289263,656097,-7601100
6/22/2003,655738, ,4632048,115883,-5403670
6/23/2003,655738, ,2766181,-39180.6,-3382740
6/24/2003,655738, ,1939822,-117904,-2477660
6/25/2003,890263, ,1512516,-122476,-2280300
6/26/2003,800138, ,1187862,-123869,-1864130
6/27/2003,1427456, ,972320,-137341,-2262440
6/28/2003,1572278, ,799494,-132232,-2239540
6/29/2003,1621424, ,698795,-113367,-2206850
6/30/2003,1642804, ,628686,-115787,-2155700
7/1/2003,2604037, ,601272,-117995,-3087310
7/2/2003,2439375, ,569218,-107998,-2900600
7/3/2003,2458649, ,555412,-116695,-2897370
7/4/2003,1361203, ,605144,-122896,-1843450
7/5/2003,1288610, ,599270,-29005.4,-1858870
7/6/2003,2278387, ,572759,-109301,-2741850
7/7/2003,1415988, ,1161660,-134858,-2442790
7/8/2003,2102026, ,841673,4422.7,-2948120
7/9/2003,1920721, ,1078848,-125305,-2874260
7/10/2003,1575230, ,1416981,3292.07,-2995500
7/11/2003, ,-3324480,5223453,29860.7,-1928840
7/12/2003, ,-1147450,3372642,330089,-2555280
7/13/2003,1473411, ,1755858,-103083,-3126190
7/14/2003,1420154, ,1649591,-104932,-2964810
7/15/2003,1275529, ,1406151,-112913,-2568770
7/16/2003,185970, ,2716267,-107437,-2794800
7/17/2003,1261157, ,2169406,18368.5,-3448930
7/18/2003, ,-27074.1,2775824,-117274,-2631480
7/19/2003,1233895, ,2009905,77761.2,-3321560
