Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Swinging Bridge Monagup and Rio Reservoirs"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Swinging Bridge Monagup and Rio Reservoirs","Increase in Storage for Swinging Bridge Monagup and Rio Reservoirs","Inflow from Upstream","Outflow to Downstream"
4/27/2001,0,0,27459.5,-27459.5
4/28/2001,0,0,21816.2,-21816.2
4/29/2001,0,0,15501.9,-15501.9
4/30/2001,0,0,11050,-11050
5/1/2001,0,0,7835.26,-7835.26
5/2/2001,0,0,5363.61,-5363.61
5/3/2001,0,0,3575.57,-3575.57
5/4/2001,0,0,2331.86,-2331.86
5/5/2001,0,0,1509.72,-1509.72
5/6/2001,0,0,1006.51,-1006.51
5/7/2001,0,0,691.23,-691.23
5/8/2001,0,0,710.109,-710.109
5/9/2001,0,0,765.002,-765.002
5/10/2001,0,0,222.565,-222.565
5/11/2001,0,0,147.787,-147.787
5/12/2001,0,0,9097.45,-9097.45
5/13/2001,0,0,128.374,-128.374
5/14/2001,0,0,95.7206,-95.7206
5/15/2001,0,0,72.3601,-72.3601
5/16/2001,0,0,54.4591,-54.4591
5/17/2001,0,0,5345.1,-5345.1
5/18/2001,0,0,8757.07,-8757.07
5/19/2001,0,0,665.548,-665.548
5/20/2001,0,0,68.4305,-68.4305
5/21/2001,0,0,29697.2,-29697.2
5/22/2001,0,0,1895236,-1895240
5/23/2001,0,0,1271576,-1271580
5/24/2001,0,0,511886,-511886
5/25/2001,0,0,289427,-289427
5/26/2001,0,0,3324427,-3324430
5/27/2001,0,0,3437308,-3437310
5/28/2001,0,0,2322278,-2322280
5/29/2001,0,0,1681719,-1681720
5/30/2001,0,0,1105459,-1105460
5/31/2001,0,0,748960,-748960
6/1/2001,0,0,3566390,-3566390
6/2/2001,0,0,2945160,-2945160
6/3/2001,0,0,3013030,-3013030
6/4/2001,0,0,1155339,-1155340
6/5/2001,0,0,751946,-751946
6/6/2001,0,0,505504,-505504
6/7/2001,0,0,348043,-348043
6/8/2001,0,0,244303,-244303
6/9/2001,0,0,147376,-147376
6/10/2001,0,0,85408.5,-85408.5
6/11/2001,0,0,354671,-354671
6/12/2001,0,0,67227.3,-67227.3
6/13/2001,0,0,40896.2,-40896.2
6/14/2001,0,0,24833.6,-24833.6
6/15/2001,0,0,14905.1,-14905.1
6/16/2001,0,0,2145732,-2145730
6/17/2001,0,0,1769351,-1769350
6/18/2001,0,0,342384,-342384
6/19/2001,0,0,308390,-308390
6/20/2001,0,0,859702,-859702
6/21/2001,0,0,456900,-456900
6/22/2001,0,0,318856,-318856
6/23/2001,0,0,2139368,-2139370
6/24/2001,0,0,558096,-558096
6/25/2001,0,0,355136,-355136
6/26/2001,0,0,229391,-229391
6/27/2001,0,0,148419,-148419
6/28/2001,0,0,90969.3,-90969.3
6/29/2001,0,0,60491.6,-60491.6
6/30/2001,0,0,197978,-197978
7/1/2001,0,0,543763,-543763
7/2/2001,0,0,75060.9,-75060.9
7/3/2001,0,0,52580.2,-52580.2
7/4/2001,0,0,334176,-334176
7/5/2001,0,0,164342,-164342
7/6/2001,0,0,56066.6,-56066.6
7/7/2001,0,0,162291,-162291
7/8/2001,0,0,624533,-624533
7/9/2001,0,0,144504,-144504
7/10/2001,0,0,594075,-594075
7/11/2001,0,0,885344,-885344
7/12/2001,0,0,247688,-247688
7/13/2001,0,0,166348,-166348
7/14/2001,0,0,135129,-135129
7/15/2001,0,0,108944,-108944
7/16/2001,0,0,71266.4,-71266.4
7/17/2001,0,0,112552,-112552
7/18/2001,0,0,38462.6,-38462.6
7/19/2001,0,0,21588.8,-21588.8
7/20/2001,0,0,12053.4,-12053.4
7/21/2001,0,0,6836.49,-6836.49
7/22/2001,0,0,3890.23,-3890.23
7/23/2001,0,0,3732.77,-3732.77
7/24/2001,0,0,2983.51,-2983.51
7/25/2001,0,0,14002.3,-14002.3
7/26/2001,0,0,374204,-374204
7/27/2001,0,0,10637.1,-10637.1
7/28/2001,0,0,9070.95,-9070.95
7/29/2001,0,0,8382.15,-8382.15
7/30/2001,0,0,7441.06,-7441.06
7/31/2001,0,0,6404.44,-6404.44
8/1/2001,0,0,5326.48,-5326.48
8/2/2001,0,0,4180.54,-4180.54
8/3/2001,0,0,257847,-257847
8/4/2001,0,0,717577,-717577
8/5/2001,0,0,44461.5,-44461.5
8/6/2001,0,0,52135.6,-52135.6
8/7/2001,0,0,169880,-169880
8/8/2001,0,0,39986.2,-39986.2
8/9/2001,0,0,32167.9,-32167.9
8/10/2001,0,0,90370.9,-90370.9
8/11/2001,0,0,24363.9,-24363.9
8/12/2001,0,0,443543,-443543
8/13/2001,0,0,182907,-182907
8/14/2001,0,0,134271,-134271
8/15/2001,0,0,40511.7,-40511.7
8/16/2001,0,0,38243.5,-38243.5
8/17/2001,0,0,468864,-468864
8/18/2001,0,0,64213.2,-64213.2
8/19/2001,0,0,66180.2,-66180.2
8/20/2001,0,0,137545,-137545
8/21/2001,0,0,131419,-131419
8/22/2001,0,0,37615.6,-37615.6
8/23/2001,0,0,124471,-124471
8/24/2001,0,0,31447.6,-31447.6
8/25/2001,0,0,21138.7,-21138.7
8/26/2001,0,0,14371,-14371
8/27/2001,0,0,43654.3,-43654.3
8/28/2001,0,0,217575,-217575
8/29/2001,0,0,19468.5,-19468.5
8/30/2001,0,0,14943.8,-14943.8
8/31/2001,0,0,399747,-399747
9/1/2001,0,0,34606.8,-34606.8
9/2/2001,0,0,31064.8,-31064.8
9/3/2001,0,0,28234.3,-28234.3
9/4/2001,0,0,237549,-237549
9/5/2001,0,0,40654.4,-40654.4
9/6/2001,0,0,34473.5,-34473.5
9/7/2001,0,0,29174.5,-29174.5
9/8/2001,0,0,20587.1,-20587.1
9/9/2001,0,0,14448.2,-14448.2
9/10/2001,0,0,279572,-279572
9/11/2001,0,0,119532,-119532
9/12/2001,0,0,29719.1,-29719.1
9/13/2001,0,0,465352,-465352
9/14/2001,0,0,644612,-644612
9/15/2001,0,0,118479,-118479
9/16/2001,0,0,131982,-131982
9/17/2001,0,0,124011,-124011
9/18/2001,0,0,107638,-107638
9/19/2001,0,0,89990.8,-89990.8
9/20/2001,0,0,5040850,-5040850
9/21/2001,0,0,1040289,-1040290
9/22/2001,0,0,769810,-769810
9/23/2001,0,0,661674,-661674
9/24/2001,0,0,6137686,-6137690
9/25/2001,0,0,3732705,-3732710
9/26/2001,0,0,1911404,-1911400
9/27/2001,0,0,1641063,-1641060
9/28/2001,0,0,1829282,-1829280
9/29/2001,0,0,1014382,-1014380
9/30/2001,0,0,702227,-702227
10/1/2001,0,0,521517,-521517
10/2/2001,0,0,330762,-330762
10/3/2001,0,0,207166,-207166
10/4/2001,0,0,134965,-134965
10/5/2001,0,0,90688.2,-90688.2
10/6/2001,0,0,228380,-228380
10/7/2001,0,0,66571.9,-66571.9
10/8/2001,0,0,50890.8,-50890.8
10/9/2001,0,0,40427.5,-40427.5
10/10/2001,0,0,32634.3,-32634.3
10/11/2001,0,0,26252.9,-26252.9
10/12/2001,0,0,21286.8,-21286.8
10/13/2001,0,0,16926,-16926
10/14/2001,0,0,418024,-418024
10/15/2001,0,0,177573,-177573
10/16/2001,0,0,191143,-191143
10/17/2001,0,0,78470,-78470
10/18/2001,0,0,68187.8,-68187.8
10/19/2001,0,0,68218.9,-68218.9
10/20/2001,0,0,67407.7,-67407.7
10/21/2001,0,0,65420.6,-65420.6
10/22/2001,0,0,87798.9,-87798.9
10/23/2001,0,0,302111,-302111
10/24/2001,0,0,103014,-103014
10/25/2001,0,0,65298.3,-65298.3
10/26/2001,0,0,55181.8,-55181.8
10/27/2001,0,0,54322.3,-54322.3
10/28/2001,0,0,43563.1,-43563.1
10/29/2001,0,0,39307.1,-39307.1
10/30/2001,0,0,35121.4,-35121.4
10/31/2001,0,0,28816.8,-28816.8
11/1/2001,0,0,23660.5,-23660.5
11/2/2001,0,0,19367.2,-19367.2
11/3/2001,0,0,29872.9,-29872.9
11/4/2001,0,0,67241.8,-67241.8
11/5/2001,0,0,18714.1,-18714.1
11/6/2001,0,0,14095.1,-14095.1
11/7/2001,0,0,12411.1,-12411.1
11/8/2001,0,0,10982.7,-10982.7
11/9/2001,0,0,9772,-9772
11/10/2001,0,0,8799.14,-8799.14
11/11/2001,0,0,7938.1,-7938.1
11/12/2001,0,0,6905.01,-6905.01
11/13/2001,0,0,6067.23,-6067.23
11/14/2001,0,0,5314.61,-5314.61
11/15/2001,0,0,4618.38,-4618.38
11/16/2001,0,0,3969.64,-3969.64
11/17/2001,0,0,3409.66,-3409.66
11/18/2001,0,0,2961.82,-2961.82
11/19/2001,0,0,2579.8,-2579.8
11/20/2001,0,0,55860.1,-55860.1
11/21/2001,0,0,3821.34,-3821.34
11/22/2001,0,0,3675.1,-3675.1
11/23/2001,0,0,3940.64,-3940.64
11/24/2001,0,0,3498.37,-3498.37
11/25/2001,0,0,424078,-424078
11/26/2001,0,0,24167.4,-24167.4
11/27/2001,0,0,30095.9,-30095.9
11/28/2001,0,0,80798.1,-80798.1
11/29/2001,0,0,135175,-135175
11/30/2001,0,0,962731,-962731
12/1/2001,0,0,184109,-184109
12/2/2001,0,0,217425,-217425
12/3/2001,0,0,214377,-214377
12/4/2001,0,0,242121,-242121
12/5/2001,0,0,208034,-208034
12/6/2001,0,0,198076,-198076
12/7/2001,0,0,225503,-225503
12/8/2001,0,0,1242545,-1242540
12/9/2001,0,0,488795,-488795
12/10/2001,0,0,376309,-376309
12/11/2001,0,0,370592,-370592
12/12/2001,0,0,359675,-359675
12/13/2001,0,0,661707,-661707
12/14/2001,0,0,1790685,-1790680
12/15/2001,0,0,791736,-791736
12/16/2001,0,0,743166,-743166
12/17/2001,0,0,1595985,-1595980
12/18/2001,0,0,1748575,-1748570
12/19/2001,0,0,936581,-936581
12/20/2001,0,0,937552,-937552
12/21/2001,0,0,753764,-753764
12/22/2001,0,0,607022,-607022
12/23/2001,0,0,502708,-502708
12/24/2001,0,0,682508,-682508
12/25/2001,0,0,364531,-364531
12/26/2001,0,0,285685,-285685
12/27/2001,0,0,230556,-230556
12/28/2001,0,0,189631,-189631
12/29/2001,0,0,159326,-159326
12/30/2001,0,0,136176,-136176
12/31/2001,0,0,118385,-118385
1/1/2002,0,0,102950,-102950
1/2/2002,0,0,90541.5,-90541.5
1/3/2002,0,0,80256.7,-80256.7
1/4/2002,0,0,71498.1,-71498.1
1/5/2002,0,0,63882.1,-63882.1
1/6/2002,0,0,384810,-384810
1/7/2002,0,0,169810,-169810
1/8/2002,0,0,66038.3,-66038.3
1/9/2002,0,0,71415.2,-71415.2
1/10/2002,0,0,71165.4,-71165.4
1/11/2002,0,0,445862,-445862
1/12/2002,0,0,72505.9,-72505.9
1/13/2002,0,0,112042,-112042
1/14/2002,0,0,67637.7,-67637.7
1/15/2002,0,0,63453.2,-63453.2
1/16/2002,0,0,58889,-58889
1/17/2002,0,0,130339,-130339
1/18/2002,0,0,54903.1,-54903.1
1/19/2002,0,0,49895.7,-49895.7
1/20/2002,0,0,45685.6,-45685.6
1/21/2002,0,0,41709,-41709
1/22/2002,0,0,37981.7,-37981.7
1/23/2002,0,0,34492.4,-34492.4
1/24/2002,0,0,347781,-347781
1/25/2002,0,0,484330,-484330
1/26/2002,0,0,1140302,-1140300
1/27/2002,0,0,1775413,-1775410
1/28/2002,0,0,2219494,-2219490
1/29/2002,0,0,2719756,-2719760
1/30/2002,0,0,3571357,-3571360
1/31/2002,0,0,2790698,-2790700
2/1/2002,0,0,1797819,-1797820
2/2/2002,0,0,1474100,-1474100
2/3/2002,0,0,1109540,-1109540
2/4/2002,0,0,915530,-915530
2/5/2002,0,0,731044,-731044
2/6/2002,0,0,567505,-567505
2/7/2002,0,0,504069,-504069
2/8/2002,0,0,476466,-476466
2/9/2002,0,0,334495,-334495
2/10/2002,0,0,2437116,-2437120
2/11/2002,0,0,1321756,-1321760
2/12/2002,0,0,587679,-587679
2/13/2002,0,0,540629,-540629
2/14/2002,0,0,502924,-502924
2/15/2002,0,0,603945,-603945
2/16/2002,0,0,1022440,-1022440
2/17/2002,0,0,517354,-517354
2/18/2002,0,0,368644,-368644
2/19/2002,0,0,294387,-294387
2/20/2002,0,0,558076,-558076
2/21/2002,0,0,394473,-394473
2/22/2002,0,0,189419,-189419
2/23/2002,0,0,155782,-155782
2/24/2002,0,0,127885,-127885
2/25/2002,0,0,105960,-105960
2/26/2002,0,0,332524,-332524
2/27/2002,0,0,202132,-202132
2/28/2002,0,0,82038.9,-82038.9
3/1/2002,0,0,72034.9,-72034.9
3/2/2002,0,0,192585,-192585
3/3/2002,0,0,1644631,-1644630
3/4/2002,0,0,277120,-277120
3/5/2002,0,0,193148,-193148
3/6/2002,0,0,200062,-200062
3/7/2002,0,0,223156,-223156
3/8/2002,0,0,187200,-187200
3/9/2002,0,0,1099984,-1099980
3/10/2002,0,0,529075,-529075
3/11/2002,0,0,224450,-224450
3/12/2002,0,0,236596,-236596
3/13/2002,0,0,449258,-449258
3/14/2002,0,0,327710,-327710
3/15/2002,0,0,154124,-154124
3/16/2002,0,0,828643,-828643
3/17/2002,0,0,293627,-293627
3/18/2002,0,0,371711,-371711
3/19/2002,0,0,396886,-396886
3/20/2002,0,0,1765989,-1765990
3/21/2002,0,0,1039439,-1039440
3/22/2002,0,0,545616,-545616
3/23/2002,0,0,472800,-472800
3/24/2002,0,0,670178,-670178
3/25/2002,0,0,990380,-990380
3/26/2002,0,0,3334401,-3334400
3/27/2002,0,0,2300872,-2300870
3/28/2002,0,0,1632752,-1632750
3/29/2002,0,0,1542663,-1542660
3/30/2002,0,0,1047003,-1047000
3/31/2002,0,0,1834134,-1834130
4/1/2002,0,0,770057,-770057
4/2/2002,0,0,563266,-563266
4/3/2002,0,0,1345045,-1345040
4/4/2002,0,0,418817,-418817
4/5/2002,0,0,288031,-288031
4/6/2002,0,0,215782,-215782
4/7/2002,0,0,167894,-167894
4/8/2002,0,0,130172,-130172
4/9/2002,0,0,456921,-456921
4/10/2002,0,0,137514,-137514
4/11/2002,0,0,107208,-107208
4/12/2002,0,0,102763,-102763
4/13/2002,0,0,700739,-700739
4/14/2002,0,0,1570160,-1570160
4/15/2002,0,0,985032,-985032
4/16/2002,0,0,404345,-404345
4/17/2002,0,0,416464,-416464
4/18/2002,0,0,287893,-287893
4/19/2002,0,0,447267,-447267
4/20/2002,0,0,521983,-521983
4/21/2002,0,0,308011,-308011
4/22/2002,0,0,342123,-342123
4/23/2002,0,0,169678,-169678
4/24/2002,0,0,131193,-131193
4/25/2002,0,0,1633904,-1633900
4/26/2002,0,0,363463,-363463
4/27/2002,0,0,465663,-465663
4/28/2002,0,0,6520556,-6520560
4/29/2002,0,0,1795546,-1795550
4/30/2002,0,0,2134526,-2134530
5/1/2002,0,0,1463817,-1463820
5/2/2002,0,0,4044198,-4044200
5/3/2002,0,0,1788178,-1788180
5/4/2002,0,0,1262008,-1262010
5/5/2002,0,0,916760,-916760
5/6/2002,0,0,555752,-555752
5/7/2002,0,0,339782,-339782
5/8/2002,0,0,272740,-272740
5/9/2002,0,0,545096,-545096
5/10/2002,0,0,172017,-172017
5/11/2002,0,0,114580,-114580
5/12/2002,0,0,1210632,-1210630
5/13/2002,0,0,5666492,-5666490
5/14/2002,0,0,1729383,-1729380
5/15/2002,0,0,1132083,-1132080
5/16/2002,0,0,1096704,-1096700
5/17/2002,0,0,1539204,-1539200
5/18/2002,0,0,4695254,-4695250
5/19/2002,0,0,1844885,-1844880
5/20/2002,0,0,1403785,-1403790
5/21/2002,0,0,899114,-899114
5/22/2002,0,0,584863,-584863
5/23/2002,0,0,390876,-390876
5/24/2002,0,0,274277,-274277
5/25/2002,0,0,178538,-178538
5/26/2002,0,0,233692,-233692
5/27/2002,0,0,216417,-216417
5/28/2002,0,0,3845779,-3845780
5/29/2002,0,0,750561,-750561
5/30/2002,0,0,632666,-632666
5/31/2002,0,0,1676200,-1676200
6/1/2002,0,0,634609,-634609
6/2/2002,0,0,502450,-502450
6/3/2002,0,0,399265,-399265
6/4/2002,0,0,310765,-310765
6/5/2002,0,0,2445586,-2445590
6/6/2002,0,0,8382046,-8382050
6/7/2002,0,0,2906475,-2906470
6/8/2002,0,0,1460514,-1460510
6/9/2002,0,0,1067454,-1067450
6/10/2002,0,0,759034,-759034
6/11/2002,0,0,528269,-528269
6/12/2002,0,0,763593,-763593
6/13/2002,0,0,357844,-357844
6/14/2002,0,0,2554860,-2554860
6/15/2002,0,0,1755600,-1755600
6/16/2002,0,0,920663,-920663
6/17/2002,0,0,714331,-714331
6/18/2002,0,0,1064048,-1064050
6/19/2002,0,0,488443,-488443
6/20/2002,0,0,342982,-342982
6/21/2002,0,0,249756,-249756
6/22/2002,0,0,232485,-232485
6/23/2002,0,0,257094,-257094
6/24/2002,0,0,83774.5,-83774.5
6/25/2002,0,0,112894,-112894
6/26/2002,0,0,698650,-698650
6/27/2002,0,0,610160,-610160
6/28/2002,0,0,132048,-132048
6/29/2002,0,0,88536,-88536
6/30/2002,0,0,65446.5,-65446.5
7/1/2002,0,0,45746.4,-45746.4
7/2/2002,0,0,31656.9,-31656.9
7/3/2002,0,0,20940.6,-20940.6
7/4/2002,0,0,13076.8,-13076.8
7/5/2002,0,0,5783.33,-5783.33
7/6/2002,0,0,3009.73,-3009.73
7/7/2002,0,0,1602.77,-1602.77
7/8/2002,0,0,843.166,-843.166
7/9/2002,0,0,202528,-202528
7/10/2002,0,0,4368.04,-4368.04
7/11/2002,0,0,3523.83,-3523.83
7/12/2002,0,0,2925.72,-2925.72
7/13/2002,0,0,2398.2,-2398.2
7/14/2002,0,0,1898.05,-1898.05
7/15/2002,0,0,1462.09,-1462.09
7/16/2002,0,0,1112.71,-1112.71
7/17/2002,0,0,612.029,-612.029
7/18/2002,0,0,330.5,-330.5
7/19/2002,0,0,343476,-343476
7/20/2002,0,0,6086.04,-6086.04
7/21/2002,0,0,5844.77,-5844.77
7/22/2002,0,0,5237.31,-5237.31
7/23/2002,0,0,1080197,-1080200
7/24/2002,0,0,58533.4,-58533.4
7/25/2002,0,0,64603.2,-64603.2
7/26/2002,0,0,97009,-97009
7/27/2002,0,0,66325.5,-66325.5
7/28/2002,0,0,59951.1,-59951.1
7/29/2002,0,0,33384.8,-33384.8
7/30/2002,0,0,23990.8,-23990.8
7/31/2002,0,0,12559.2,-12559.2
8/1/2002,0,0,9850.04,-9850.04
8/2/2002,0,0,135129,-135129
8/3/2002,0,0,8288.17,-8288.17
8/4/2002,0,0,5061.22,-5061.22
8/5/2002,0,0,258049,-258049
8/6/2002,0,0,12331.4,-12331.4
8/7/2002,0,0,10435.4,-10435.4
8/8/2002,0,0,8943.21,-8943.21
8/9/2002,0,0,7523.83,-7523.83
8/10/2002,0,0,5438.68,-5438.68
8/11/2002,0,0,3914.24,-3914.24
8/12/2002,0,0,2784.93,-2784.93
8/13/2002,0,0,1544.63,-1544.63
8/14/2002,0,0,74040.2,-74040.2
8/15/2002,0,0,9686.59,-9686.59
8/16/2002,0,0,108450,-108450
8/17/2002,0,0,4467.34,-4467.34
8/18/2002,0,0,2804.74,-2804.74
8/19/2002,0,0,234415,-234415
8/20/2002,0,0,393195,-393195
8/21/2002,0,0,32083.2,-32083.2
8/22/2002,0,0,252407,-252407
8/23/2002,0,0,68769.1,-68769.1
8/24/2002,0,0,1289358,-1289360
8/25/2002,0,0,177515,-177515
8/26/2002,0,0,180973,-180973
8/27/2002,0,0,155350,-155350
8/28/2002,0,0,173214,-173214
8/29/2002,0,0,6187705,-6187700
8/30/2002,0,0,1047984,-1047980
8/31/2002,0,0,994630,-994630
9/1/2002,0,0,807470,-807470
9/2/2002,0,0,606915,-606915
9/3/2002,0,0,614568,-614568
9/4/2002,0,0,1438180,-1438180
9/5/2002,0,0,608982,-608982
9/6/2002,0,0,361901,-361901
9/7/2002,0,0,225441,-225441
9/8/2002,0,0,144231,-144231
9/9/2002,0,0,93454.8,-93454.8
9/10/2002,0,0,61085.7,-61085.7
9/11/2002,0,0,40021.1,-40021.1
9/12/2002,0,0,24207,-24207
9/13/2002,0,0,15345,-15345
9/14/2002,0,0,9728.45,-9728.45
9/15/2002,0,0,4524550,-4524550
9/16/2002,0,0,882736,-882736
9/17/2002,0,0,542273,-542273
9/18/2002,0,0,510823,-510823
9/19/2002,0,0,512323,-512323
9/20/2002,0,0,478856,-478856
9/21/2002,0,0,552790,-552790
9/22/2002,0,0,917754,-917754
9/23/2002,0,0,429557,-429557
9/24/2002,0,0,260422,-260422
9/25/2002,0,0,173928,-173928
9/26/2002,0,0,1097420,-1097420
9/27/2002,0,0,8699569,-8699570
9/28/2002,0,0,1494318,-1494320
9/29/2002,0,0,1415068,-1415070
9/30/2002,0,0,1214807,-1214810
10/1/2002,0,0,1003776,-1003780
10/2/2002,0,0,901491,-901491
10/3/2002,0,0,734587,-734587
10/4/2002,0,0,1027293,-1027290
10/5/2002,0,0,765286,-765286
10/6/2002,0,0,362803,-362803
10/7/2002,0,0,244125,-244125
10/8/2002,0,0,172108,-172108
10/9/2002,0,0,128580,-128580
10/10/2002,0,0,720628,-720628
10/11/2002,0,0,14199967,-14200000
10/12/2002,0,0,4730036,-4730040
10/13/2002,0,0,3214245,-3214250
10/14/2002,0,0,2305194,-2305190
10/15/2002,0,0,1963213,-1963210
10/16/2002,0,0,11151163,-11151200
10/17/2002,0,0,4261862,-4261860
10/18/2002,0,0,2785891,-2785890
10/19/2002,0,0,1744430,-1744430
10/20/2002,0,0,1056299,-1056300
10/21/2002,0,0,669313,-669313
10/22/2002,0,0,461163,-461163
10/23/2002,0,0,372488,-372488
10/24/2002,0,0,256574,-256574
10/25/2002,0,0,940682,-940682
10/26/2002,0,0,1870444,-1870440
10/27/2002,0,0,566103,-566103
10/28/2002,0,0,498874,-498874
10/29/2002,0,0,465455,-465455
10/30/2002,0,0,450673,-450673
10/31/2002,0,0,418326,-418326
11/1/2002,0,0,488269,-488269
11/2/2002,0,0,374950,-374950
11/3/2002,0,0,308236,-308236
11/4/2002,0,0,250641,-250641
11/5/2002,0,0,613074,-613074
11/6/2002,0,0,1143040,-1143040
11/7/2002,0,0,458743,-458743
11/8/2002,0,0,389436,-389436
11/9/2002,0,0,348647,-348647
11/10/2002,0,0,372384,-372384
11/11/2002,0,0,888138,-888138
11/12/2002,0,0,4010540,-4010540
11/13/2002,0,0,818808,-818808
11/14/2002,0,0,581888,-581888
11/15/2002,0,0,541472,-541472
11/16/2002,0,0,4627280,-4627280
11/17/2002,0,0,4194650,-4194650
11/18/2002,0,0,2058150,-2058150
11/19/2002,0,0,1671950,-1671950
11/20/2002,0,0,1302080,-1302080
11/21/2002,0,0,1576310,-1576310
11/22/2002,0,0,3019440,-3019440
11/23/2002,0,0,2412540,-2412540
11/24/2002,0,0,2179980,-2179980
11/25/2002,0,0,1502490,-1502490
11/26/2002,0,0,1222330,-1222330
11/27/2002,0,0,951168,-951168
11/28/2002,0,0,711956,-711956
11/29/2002,0,0,581357,-581357
11/30/2002,0,0,486763,-486763
12/1/2002,0,0,354479,-354479
12/2/2002,0,0,277659,-277659
12/3/2002,0,0,223504,-223504
12/4/2002,0,0,182873,-182873
12/5/2002,0,0,151815,-151815
12/6/2002,0,0,128305,-128305
12/7/2002,0,0,110430,-110430
12/8/2002,0,0,96224.5,-96224.5
12/9/2002,0,0,84848.2,-84848.2
12/10/2002,0,0,75735.9,-75735.9
12/11/2002,0,0,67978.5,-67978.5
12/12/2002,0,0,155280,-155280
12/13/2002,0,0,464621,-464621
12/14/2002,0,0,837276,-837276
12/15/2002,0,0,106938,-106938
12/16/2002,0,0,292936,-292936
12/17/2002,0,0,117142,-117142
12/18/2002,0,0,117360,-117360
12/19/2002,0,0,116919,-116919
12/20/2002,0,0,1954070,-1954070
12/21/2002,0,0,239094,-239094
12/22/2002,0,0,226622,-226622
12/23/2002,0,0,216295,-216295
12/24/2002,0,0,209021,-209021
12/25/2002,0,0,434000,-434000
12/26/2002,0,0,199338,-199338
12/27/2002,0,0,188652,-188652
12/28/2002,0,0,162566,-162566
12/29/2002,0,0,141242,-141242
12/30/2002,0,0,150506,-150506
12/31/2002,0,0,364587,-364587
1/1/2003,0,0,5612372,-5612370
1/2/2003,0,0,521867,-521867
1/3/2003,0,0,558640,-558640
1/4/2003,0,0,576525,-576525
1/5/2003,0,0,575737,-575737
1/6/2003,0,0,560080,-560080
1/7/2003,0,0,533578,-533578
1/8/2003,0,0,495790,-495790
1/9/2003,0,0,557616,-557616
1/10/2003,0,0,375437,-375437
1/11/2003,0,0,263846,-263846
1/12/2003,0,0,215927,-215927
1/13/2003,0,0,179751,-179751
1/14/2003,0,0,152343,-152343
1/15/2003,0,0,131488,-131488
1/16/2003,0,0,115343,-115343
1/17/2003,0,0,101607,-101607
1/18/2003,0,0,90435,-90435
1/19/2003,0,0,81457.7,-81457.7
1/20/2003,0,0,73817.2,-73817.2
1/21/2003,0,0,67206,-67206
1/22/2003,0,0,61593.2,-61593.2
1/23/2003,0,0,56760.8,-56760.8
1/24/2003,0,0,52503.4,-52503.4
1/25/2003,0,0,48602.8,-48602.8
1/26/2003,0,0,44874.9,-44874.9
1/27/2003,0,0,41471.6,-41471.6
1/28/2003,0,0,38608.7,-38608.7
1/29/2003,0,0,35994.5,-35994.5
1/30/2003,0,0,33385.5,-33385.5
1/31/2003,0,0,30839.4,-30839.4
2/1/2003,0,0,97211.7,-97211.7
2/2/2003,0,0,373308,-373308
2/3/2003,0,0,1042437,-1042440
2/4/2003,0,0,4256038,-4256040
2/5/2003,0,0,853442,-853442
2/6/2003,0,0,389281,-389281
2/7/2003,0,0,453155,-453155
2/8/2003,0,0,500382,-500382
2/9/2003,0,0,527226,-527226
2/10/2003,0,0,524606,-524606
2/11/2003,0,0,485752,-485752
2/12/2003,0,0,392675,-392675
2/13/2003,0,0,316142,-316142
2/14/2003,0,0,257295,-257295
2/15/2003,0,0,211589,-211589
2/16/2003,0,0,176299,-176299
2/17/2003,0,0,149385,-149385
2/18/2003,0,0,128049,-128049
2/19/2003,0,0,110442,-110442
2/20/2003,0,0,673099,-673099
2/21/2003,0,0,2082321,-2082320
2/22/2003,0,0,7345962,-7345960
2/23/2003,0,0,6622982,-6622980
2/24/2003,0,0,1402703,-1402700
2/25/2003,0,0,1450874,-1450870
2/26/2003,0,0,1402055,-1402050
2/27/2003,0,0,1285926,-1285930
2/28/2003,0,0,1105526,-1105530
3/1/2003,0,0,2836247,-2836250
3/2/2003,0,0,5493148,-5493150
3/3/2003,0,0,1307338,-1307340
3/4/2003,0,0,968832,-968832
3/5/2003,0,0,1293109,-1293110
3/6/2003,0,0,3545290,-3545290
3/7/2003,0,0,942896,-942896
3/8/2003,0,0,1342030,-1342030
3/9/2003,0,0,3130941,-3130940
3/10/2003,0,0,892330,-892330
3/11/2003,0,0,737721,-737721
3/12/2003,0,0,1269432,-1269430
3/13/2003,0,0,4653282,-4653280
3/14/2003,0,0,926047,-926047
3/15/2003,0,0,1551583,-1551580
3/16/2003,0,0,4784364,-4784360
3/17/2003,0,0,7558194,-7558190
3/18/2003,0,0,10852925,-10852900
3/19/2003,0,0,7102085,-7102080
3/20/2003,0,0,9635206,-9635210
3/21/2003,0,0,7842806,-7842810
3/22/2003,0,0,3079086,-3079090
3/23/2003,0,0,1845307,-1845310
3/24/2003,0,0,1366258,-1366260
3/25/2003,0,0,828804,-828804
3/26/2003,0,0,1015608,-1015610
3/27/2003,0,0,440412,-440412
3/28/2003,0,0,282997,-282997
3/29/2003,0,0,2298580,-2298580
3/30/2003,0,0,1109550,-1109550
3/31/2003,0,0,583817,-583817
4/1/2003,0,0,567079,-567079
4/2/2003,0,0,903140,-903140
4/3/2003,0,0,1025602,-1025600
4/4/2003,0,0,783715,-783715
