,cannonsville,neversink,pepacton,fewalter,beltzvilleCombined
1983-10-01,29.853216874310156,14.535126026360368,19.32240341293003,47.37561874602761,23.861200083462013
1983-10-02,30.097564745340144,15.065827218700873,21.120829377650516,49.71874381120762,25.02649596313673
1983-10-03,28.389898334340398,14.934022514822955,18.41258711931816,48.18352795021144,23.80359989870345
1983-10-04,27.816931424387032,13.941341082068236,19.49233277670274,46.64337734239866,22.60534744749033
1983-10-05,27.892292988381868,13.011398835696125,23.295847984497428,45.05191248875988,22.717417045966332
1983-10-06,30.736954569784917,13.271355472759106,39.54987332298932,45.00932024818411,23.97949577074224
1983-10-07,33.023156348971455,12.673929130201094,33.6290904233966,43.441502156503745,22.717417045966332
1983-10-08,31.572529634171776,11.812894474385182,28.459093881711745,44.96576539006527,22.717417045966332
1983-10-09,29.05227760672448,11.21399012564004,25.051755899356216,50.38524161221342,22.774989582147363
1983-10-10,27.17178663600352,11.14418102117902,22.865857589736635,48.161751244798296,22.774989582147363
1983-10-11,25.860185520396737,10.87804621547052,22.135580338593492,46.65389214226822,22.774989582147363
1983-10-12,26.339592693762256,11.934933326362017,22.09027037510478,65.27415093596824,42.61490603108739
1983-10-13,27.80021222430456,17.232504563676024,23.508114419615456,97.05212329211935,51.17983166801491
1983-10-14,88.75298106852826,32.063098447370024,47.72155451095216,309.6340657172608,44.031680281491525
1983-10-15,98.02423812664212,26.47635169562625,40.163428470930285,229.66311483744306,30.813881886574254
1983-10-16,66.49806686609851,19.579771444804827,33.01497923849914,153.03661363928353,27.09818199290403
1983-10-17,54.247218925109145,16.6968295471247,30.362361933301226,112.4161803328555,25.568943618652437
1983-10-18,49.65527638697755,15.679660788796726,30.55127851796074,99.14990807304892,27.066553751331828
1983-10-19,47.81781228281061,23.433702328328028,37.57777186052341,219.70787050019297,65.99850954182273
1983-10-20,45.27092939883183,22.923280109712334,33.95713390520092,207.79150630515076,41.883896666851754
1983-10-21,42.73009326351961,19.221508913318186,30.83126440302546,156.06092966415403,32.53172277287728
1983-10-22,40.75950893899006,17.086735295549246,27.910338422715824,121.98641485211536,30.482477992492345
1983-10-23,40.58491472580921,18.00161673593863,28.71052325514721,125.05900875272742,52.10408648038634
1983-10-24,42.86267274582754,63.30068566854342,34.63459122322419,295.07895022687876,129.1407851761547
